ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
LIGNOSTILBENE-ALPHA-BETA-DIOXYGENASE-RXN	4,4'-dihydroxy-3,3'-dimethoxystilbene alphabeta-dioxygenase	4,4'-dihydroxy-3,3'-dimethoxystilbene[s] + oxygen[s] => 2 vanillin[s]	ec-code/1.13.11.43	jgi|Cocim1|6678|CIMG_04860T0	0	1000			rhea/21341;kegg.reaction/R00043					2
RXN-1623	lysophosphatidate acyltransferase;acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase;1-acyl-sn-glycerol-3-phosphate acyltransferase gamma;1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon;1-acyl-sn-glycerol-3-phosphate acyl transferase;1-acyl-sn-glycerol-3-phosphate acyltransferase delta;1-acyl-sn-glycerol-3-phosphate acyltransferase beta;1-acyl-sn-glycero-3-phosphate acyltransferase	ACYL-COA[s] + ACYL-SN-GLYCEROL-3P[s] => coenzyme A[s] + L-PHOSPHATIDATE[s]	ec-code/2.3.1.51	jgi|Cocim1|2068|CIMG_00834T0	0	1000			rhea/19710;kegg.reaction/R02241	diacylglycerol and triacylglycerol biosynthesis;CDP-diacylglycerol biosynthesis I				2
RXN-16217	pisatin demethylase	(+)-pisatin[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => (+)-6a-hydroxymaackiain[s] + formaldehyde[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]	ec-code/1.14.14	jgi|Cocim1|6740|CIMG_04922T0	0	1000				pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)			pubmed/8076822	2
LEUKOTRIENE-A4-HYDROLASE-RXN	leukotriene A-4 hydrolase	leukotriene A4[s] + H2O[s] => leukotriene B4[s]	ec-code/3.3.2.6	jgi|Cocim1|8538|CIMG_05732T0	0	1000			rhea/22325;kegg.reaction/R03057	leukotriene biosynthesis				2
LANOSTEROL-SYNTHASE-RXN	2,3-oxidosqualene-lanosterol cyclase;lanosterol synthase	(3S)-2,3-epoxy-2,3-dihydrosqualene[s] => lanosterol[s]	ec-code/5.4.99.7	jgi|Cocim1|165|CIMG_02792T0 or jgi|Cocim1|4024|CIMG_06646T0	0	1000			rhea/14622;kegg.reaction/R03199	lanosterol biosynthesis				2
LACTALDDEHYDROG-RXN	lactaldehyde dehydrogenase;NAD+ L-lactaldehyde dehydrogenase	(S)-lactaldehyde[s] + NAD+[s] + H2O[s] => (S)-lactate[s] + NADH[s] + 2 H+[s]	ec-code/1.2.1.22	jgi|Cocim1|2931|CIMG_09805T0 or jgi|Cocim1|3085|CIMG_09637T0	0	1000			rhea/14278;kegg.reaction/R01446	L-rhamnose degradation II;methylglyoxal degradation V;lactate biosynthesis (archaea);L-lactaldehyde degradation (aerobic)				2
L-XYLULOSE-REDUCTASE-RXN	L-xylulose reductase	NADP+[s] + xylitol[s] <=> L-xylulose[s] + NADPH[s] + H+[s]	ec-code/1.1.1.10	jgi|Cocim1|4042|CIMG_06663T0	-1000	1000			rhea/17028;kegg.reaction/R01904	L-arabinose degradation II;D-glucuronate degradation I				2
RXN-16134	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA oxidase	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[s] + oxygen[s] => (2E,6Z,9Z,12Z,15Z,18Z,21Z)-tetracosaheptaenoyl-CoA[s] + hydrogen peroxide[s]	ec-code/1.3.3.6	jgi|Cocim1|1022|CIMG_10832T0	0	1000				docosahexaenoate biosynthesis III (6-desaturase, mammals)				2
RXN4FS-2	phosphatidyl-N-dimethylethanolamine N-methyltransferase	CPD-160[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + PHOSPHATIDYLCHOLINE[s] + H+[s]	ec-code/2.1.1.71	jgi|Cocim1|4526|CIMG_07168T0	0	1000			rhea/32740	phosphatidylcholine biosynthesis V;phosphatidylcholine biosynthesis IV;phosphatidylcholine biosynthesis III				2
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	glutamine:fructose-6-phosphate amidotransferase;D-glucosamine-6-phosphate synthase;glutaminemdashfructose-6-phosphate transaminase;glucosamine:fructose-6-phosphate aminotransferase;L-glutaminemdashD-fructose-6-phosphate aminotransferase;glucosamine-fructose-6-phosphate aminotransferase	beta-D-fructofuranose 6-phosphate[s] + L-glutamine[s] <=> D-GLUCOSAMINE-6-P[s] + L-glutamate[s]	ec-code/2.6.1.16	jgi|Cocim1|4607|CIMG_07258T0	-1000	1000			rhea/13237;kegg.reaction/R00768	UDP-N-acetyl-D-galactosamine biosynthesis III;UDP-N-acetyl-D-glucosamine biosynthesis II;UDP-N-acetyl-D-glucosamine biosynthesis I;CMP-legionaminate biosynthesis I				2
