keggID	kegg_pathway_name
R01593	Arachidonic acid metabolism
R03451	Lysine degradation
R00524	Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism;Carbon metabolism
R01778	Fatty acid elongation
R01975	Fatty acid degradation;Lysine degradation;Tryptophan metabolism;Butanoate metabolism;Carbon fixation pathways in prokaryotes;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Fatty acid metabolism
R04203	Valine, leucine and isoleucine degradation;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics
R04737	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R04739	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R04743	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R04748	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R05066	Valine, leucine and isoleucine degradation
R01859	Valine, leucine and isoleucine degradation;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Carbon fixation pathways in prokaryotes;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism
R01055	Pyrimidine metabolism
R00690	Phenylalanine metabolism
R02085	Valine, leucine and isoleucine degradation
R00199	Pyruvate metabolism;Methane metabolism;Carbon fixation pathways in prokaryotes;Microbial metabolism in diverse environments;Carbon metabolism
R02685	Fatty acid elongation
R03026	Fatty acid degradation;Lysine degradation;Benzoate degradation;Tryptophan metabolism;Aminobenzoate degradation;Butanoate metabolism;Carbon fixation pathways in prokaryotes;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism;Fatty acid metabolism
R03045	beta-Alanine metabolism;Propanoate metabolism;Carbon fixation pathways in prokaryotes;Microbial metabolism in diverse environments;Carbon metabolism
R04204	Valine, leucine and isoleucine degradation;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics
R04224	Valine, leucine and isoleucine degradation
R04738	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R04740	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R04744	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R04749	Fatty acid elongation;Fatty acid degradation;Fatty acid metabolism
R00183	Purine metabolism
R00511	Pyrimidine metabolism
R00963	Pyrimidine metabolism
R01227	Purine metabolism
R01569	Pyrimidine metabolism
R01664	Pyrimidine metabolism
R01968	Purine metabolism
R02088	Purine metabolism
R02102	Pyrimidine metabolism
R02719	Purine metabolism;Biosynthesis of secondary metabolites
R01101	Galactose metabolism
R01103	Galactose metabolism
R03634	Galactose metabolism
R05699	Aminobenzoate degradation;Microbial metabolism in diverse environments
R02106	Purine metabolism;Microbial metabolism in diverse environments
R01357	Valine, leucine and isoleucine degradation;Butanoate metabolism
R03130	Tryptophan metabolism
R05487	Phenylalanine metabolism;Styrene degradation;Microbial metabolism in diverse environments
R01095	Galactose metabolism
R01759	Pentose and glucuronate interconversions
R03093	Tryptophan metabolism
R00022	Amino sugar and nucleotide sugar metabolism
R01157	Arginine and proline metabolism
R01976	Benzoate degradation;Butanoate metabolism;Microbial metabolism in diverse environments;Carbon metabolism
R01085	Tyrosine metabolism;Microbial metabolism in diverse environments
R01505	Biosynthesis of siderophore group nonribosomal peptides;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics
R00028	Starch and sucrose metabolism
R03033	Galactose metabolism;Microbial metabolism in diverse environments
R00660	Amino sugar and nucleotide sugar metabolism;Peptidoglycan biosynthesis
R01602	Glycolysis / Gluconeogenesis;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics
R08379	Retinol metabolism
R02565	Glycine, serine and threonine metabolism
R02382	Tyrosine metabolism
R02529	Glycine, serine and threonine metabolism
R02613	Phenylalanine metabolism
R03139	beta-Alanine metabolism
R04300	Tyrosine metabolism;Isoquinoline alkaloid biosynthesis;Biosynthesis of secondary metabolites
R02534	Tyrosine metabolism
R02920	Tyrosine metabolism
R04301	Tyrosine metabolism;Betalain biosynthesis
R04887	Tyrosine metabolism
R03980	Steroid hormone biosynthesis
R00794	Nitrogen metabolism;Microbial metabolism in diverse environments
R00796	Nitrogen metabolism;Microbial metabolism in diverse environments
R09698	NA
R02519	Tyrosine metabolism;Styrene degradation;Microbial metabolism in diverse environments
R08380	Retinol metabolism
R00319	Pyruvate metabolism
R01768	Purine metabolism
R02103	Purine metabolism;Microbial metabolism in diverse environments
R02107	Purine metabolism
R00697	Phenylalanine metabolism;Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R09078	Butanoate metabolism
R07134	Pentose and glucuronate interconversions
R10703	Propanoate metabolism
R02065	Carotenoid biosynthesis;Biosynthesis of secondary metabolites
R04218	Carotenoid biosynthesis;Biosynthesis of secondary metabolites
R01779	NA
R01977	Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Microbial metabolism in diverse environments;Carbon metabolism
R10053	NA
R02731	Fructose and mannose metabolism
R00396	Alanine, aspartate and glutamate metabolism;Taurine and hypotaurine metabolism
R00604	Chloroalkane and chloroalkene degradation;Methane metabolism;Microbial metabolism in diverse environments;Carbon metabolism
R01465	Glycine, serine and threonine metabolism
R01364	Tyrosine metabolism;Styrene degradation;Microbial metabolism in diverse environments
R09953	Inositol phosphate metabolism;Microbial metabolism in diverse environments
R00815	Aminobenzoate degradation;Microbial metabolism in diverse environments
R01183	Streptomycin biosynthesis;Inositol phosphate metabolism;Microbial metabolism in diverse environments;Biosynthesis of antibiotics
R09676	NA
R00674	Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of secondary metabolites
R02340	Phenylalanine, tyrosine and tryptophan biosynthesis;Benzoxazinoid biosynthesis;Biosynthesis of secondary metabolites
R00522	Glyoxylate and dicarboxylate metabolism
R00352	Citrate cycle (TCA cycle);Carbon fixation pathways in prokaryotes;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism
R00475	Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism
R00410	Synthesis and degradation of ketone bodies;Valine, leucine and isoleucine degradation;Butanoate metabolism
R01836	Steroid hormone biosynthesis;Steroid degradation;Microbial metabolism in diverse environments
R01616	Ubiquinone and other terpenoid-quinone biosynthesis;Phenylalanine metabolism;Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R01943	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R02194	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R02221	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R02255	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R06583	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R01751	NA
R06180	Glyoxylate and dicarboxylate metabolism
R00533	Sulfur metabolism;Microbial metabolism in diverse environments
R00817	Benzoate degradation;Microbial metabolism in diverse environments;Degradation of aromatic compounds
R01416	Arginine and proline metabolism
R07442	Phenylpropanoid biosynthesis
R01169	Histidine metabolism
R11014	Histidine metabolism
R02059	Amino sugar and nucleotide sugar metabolism;Biosynthesis of antibiotics
R00689	Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis
R00729	Tyrosine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Isoquinoline alkaloid biosynthesis;Biosynthesis of secondary metabolites
R00610	Glycine, serine and threonine metabolism
R00669	Arginine biosynthesis;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
R00554	Arginine and proline metabolism
R01192	Galactose metabolism
R02703	Fructose and mannose metabolism
R02948	Butanoate metabolism;C5-Branched dibasic acid metabolism
R00366	Glycine, serine and threonine metabolism
R05837	NA
R09954	Inositol phosphate metabolism;Microbial metabolism in diverse environments
R01667	Pyrimidine metabolism
R01668	Pyrimidine metabolism
R00997	Cysteine and methionine metabolism
R00705	beta-Alanine metabolism;Inositol phosphate metabolism;Propanoate metabolism;Carbon metabolism
R00706	beta-Alanine metabolism;Inositol phosphate metabolism;Propanoate metabolism;Carbon metabolism
R00032	Retinol metabolism
R02173	Tryptophan metabolism
R02532	Tyrosine metabolism
R02908	Tryptophan metabolism
R02919	Tyrosine metabolism
R04025	Arginine and proline metabolism
R04893	Tyrosine metabolism
R04894	Tyrosine metabolism
R00787	Nitrogen metabolism;Microbial metabolism in diverse environments
R00704	Pyruvate metabolism;Microbial metabolism in diverse environments
R00703	Glycolysis / Gluconeogenesis;Pyruvate metabolism;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of antibiotics
R02640	Pentose and glucuronate interconversions
R01167	Histidine metabolism;Biosynthesis of secondary metabolites
R02068	Diterpenoid biosynthesis;Biosynthesis of secondary metabolites
R00470	Glyoxylate and dicarboxylate metabolism
R00821	Benzoate degradation;Aminobenzoate degradation;Microbial metabolism in diverse environments
R01621	Pentose phosphate pathway;Carbon fixation in photosynthetic organisms
R01430	Pentose and glucuronate interconversions
R03193	D-Glutamine and D-glutamate metabolism;Peptidoglycan biosynthesis
R08572	Pentose phosphate pathway;Glycine, serine and threonine metabolism;Glycerolipid metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Carbon metabolism
R05320	Taurine and hypotaurine metabolism;Sulfur metabolism
R02367	Retinol metabolism
R00748	Glycerophospholipid metabolism
R02261	Fructose and mannose metabolism;Microbial metabolism in diverse environments
R00286	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism
R01334	Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites;Biosynthesis of antibiotics;Carbon metabolism
R03534	Butanoate metabolism
R02379	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R03366	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R06576	Phenylpropanoid biosynthesis;Biosynthesis of secondary metabolites
R02754	Ascorbate and aldarate metabolism
R03277	Ascorbate and aldarate metabolism
R00893	Cysteine and methionine metabolism;Taurine and hypotaurine metabolism
R04138	Valine, leucine and isoleucine degradation
R00401	D-Alanine metabolism
R00736	Tyrosine metabolism;Methane metabolism;Isoquinoline alkaloid biosynthesis;Biosynthesis of secondary metabolites
R02080	Tyrosine metabolism;Isoquinoline alkaloid biosynthesis;Betalain biosynthesis;Biosynthesis of secondary metabolites
R02783	D-Glutamine and D-glutamate metabolism;Peptidoglycan biosynthesis
