No.traits,Gain,Loss,Substrate HGT,Gene expansion,General list
19,3,6,4,3,55
13,2,11,2,3,46
9,1,13,0,0,37
15,1,8,2,0,51
7,1,15,3,0,60
14,1,7,4,1,46
10,1,12,3,0,41
15,2,9,6,2,50
17,2,7,2,4,58
9,1,13,0,3,31
8,1,14,0,7,37
9,2,14,0,4,32
12,1,11,1,4,38
10,1,12,1,4,38
6,1,15,0,3,33
26,5,3,4,3,54
12,2,11,1,2,29
5,0,15,2,4,29
16,3,10,10,6,42
12,2,11,0,5,37
7,1,15,0,3,34
7,0,15,0,4,35
11,1,12,3,3,30
22,4,6,2,5,45
13,3,11,3,3,28
12,1,12,1,3,38
17,4,10,0,3,42
13,1,12,0,3,41
21,3,6,3,8,49
11,1,13,0,4,36
10,2,12,1,6,33
26,4,3,2,5,50
8,0,13,0,3,35
17,2,8,1,6,50
29,5,2,3,6,52
26,4,2,4,5,54
23,5,5,5,3,51
23,5,4,2,6,59
8,0,14,1,5,45
20,2,4,2,4,52
20,3,7,3,2,48
18,4,9,0,4,45
24,3,3,0,4,41
24,4,5,1,4,46
18,3,9,2,4,51
7,0,14,1,2,34
17,4,9,2,4,39
16,4,10,0,5,38
11,0,12,1,5,48
24,3,5,1,7,49
8,1,14,0,7,37
10,1,12,1,3,36
14,2,9,0,11,40
8,1,14,0,6,38
8,0,13,0,5,34
14,4,12,0,4,33
17,2,9,0,5,38
15,1,11,0,6,37
14,4,11,0,4,36
20,6,8,0,2,36
8,1,14,0,2,30
24,5,5,0,4,40
13,2,14,0,6,39
11,2,12,0,4,33
21,6,8,2,5,41
18,4,9,0,5,36
17,5,11,0,3,40
21,5,6,0,3,38
10,1,13,0,3,32
14,3,11,0,3,43
13,3,12,0,3,45
20,4,9,0,2,43
16,4,11,0,2,36
7,2,16,0,3,32
14,5,12,0,4,34
8,1,14,0,3,30
7,1,15,0,1,28
6,1,15,0,2,28
6,2,16,0,1,28
10,2,14,0,2,29
6,1,15,0,2,31
8,1,15,0,2,31
8,1,15,0,2,32
5,1,17,0,2,29
8,1,15,0,4,31
6,0,15,0,2,30
5,1,17,0,2,32
13,3,11,0,3,36
14,2,11,0,3,38
14,3,10,0,3,42
14,4,10,0,3,34
17,4,10,0,4,44
20,5,8,0,4,40
20,6,8,0,4,41
12,3,12,1,4,38
14,3,9,0,3,37
16,4,10,0,5,43
14,3,11,0,2,34
19,4,8,0,6,46
15,4,11,0,4,37
17,3,9,0,6,42
12,3,12,0,6,36
22,5,7,0,4,40
21,6,8,1,4,41
11,3,13,0,4,33
20,4,8,0,4,43
17,3,9,0,5,43
20,5,8,1,3,41
16,3,12,0,6,55
14,3,11,0,2,36
16,4,11,0,5,39
5,1,16,0,3,30
7,1,14,0,1,28
6,1,15,0,3,34
6,0,15,0,3,37
19,3,6,0,5,43
12,3,12,0,6,40
14,1,11,0,4,39
13,1,12,0,4,38
24,5,4,0,5,41
11,1,12,0,6,38
21,4,8,0,6,38
13,3,11,0,3,38
24,4,4,0,5,42
15,2,10,0,5,37
19,3,7,0,5,38
25,4,4,0,5,41
13,2,10,0,4,37
19,3,8,0,6,37
18,3,9,0,5,36
12,2,13,0,6,35
24,4,6,1,5,41
20,3,9,0,6,37
22,4,8,0,6,37
29,5,2,0,5,47
22,3,6,0,6,39
13,2,11,0,4,36
14,2,11,0,5,36
5,1,16,0,5,37
13,2,12,0,5,36
14,2,11,0,6,36
17,3,10,0,6,38
12,2,12,0,7,39
14,2,11,0,6,36
13,2,10,0,6,39
14,3,11,0,6,37
16,3,10,0,5,38
14,2,11,0,5,37
15,3,11,0,5,36
12,2,12,0,6,38
15,2,10,0,6,36
17,2,9,0,7,36
13,2,11,0,5,35
15,3,10,0,8,37
17,3,10,0,7,37
16,3,10,0,5,37
16,4,10,0,6,36
15,2,10,0,6,36
14,3,10,0,6,36
12,2,11,0,6,35
26,4,3,0,5,41
18,2,8,1,4,37
14,3,11,0,4,34
22,4,6,1,7,39
23,4,6,0,6,39
18,3,9,1,4,36
17,3,8,1,7,36
16,3,9,1,5,37
15,3,10,1,5,38
19,4,9,1,6,37
14,2,12,0,3,32
17,2,8,0,5,35
21,4,8,0,5,36
17,4,9,0,5,35
14,2,10,0,6,35
11,1,12,0,5,32
17,3,10,0,5,36
19,3,8,0,4,40
16,4,11,0,5,37
15,3,10,0,5,36
14,4,11,0,8,35
16,2,9,1,6,38
11,0,11,1,4,33
16,3,9,0,4,32
18,3,8,0,6,38
15,2,9,0,5,37
18,3,8,1,7,43
13,2,11,1,5,36
18,4,9,1,4,39
23,4,6,0,6,43
16,2,9,1,5,40
17,2,8,0,5,38
17,3,11,0,4,35
22,3,6,0,4,39
19,3,7,0,6,43
21,4,7,0,5,40
23,4,6,0,4,43
25,4,3,0,5,43
16,3,11,0,4,36
20,3,7,0,7,35
22,3,6,0,5,40
19,3,8,0,4,39
17,3,9,0,3,40
14,2,10,0,7,47
25,5,5,0,5,49
19,3,7,0,5,41
19,4,9,0,7,36
23,4,6,0,6,46
24,4,5,0,5,47
21,4,7,0,6,41
15,2,9,0,6,34
18,4,9,1,4,36
16,3,9,0,5,35
20,4,7,0,5,42
19,5,9,0,6,38
13,3,11,0,2,30
14,4,13,1,4,38
14,4,13,0,4,40
16,2,11,0,4,39
17,3,10,0,5,35
20,3,8,0,5,43
21,3,7,0,7,46
10,2,14,0,5,36
11,2,14,0,4,33
13,1,12,0,5,37
15,1,9,0,4,44
13,2,12,0,3,39
8,1,14,0,4,37
16,3,10,0,3,38
11,3,14,0,3,39
12,1,12,0,3,41
15,3,12,0,5,44
12,1,12,0,4,36
9,0,14,0,6,42
12,1,12,1,4,42
16,1,10,0,3,37
14,2,11,0,3,43
13,2,10,0,3,40
16,2,10,0,4,40
13,1,11,0,3,41
7,1,16,0,3,34
8,0,14,0,4,35
7,0,14,0,4,34
8,0,14,0,4,34
7,0,15,0,4,34
17,2,9,0,3,37
16,2,10,0,3,38
22,4,7,0,5,40
17,3,10,0,4,39
16,3,12,0,4,36
13,1,12,0,3,35
15,3,11,0,4,39
5,2,18,0,3,23
2,1,19,0,4,25
2,1,19,0,2,27
2,1,19,0,3,27
4,2,19,0,3,26
3,3,19,0,2,29
4,2,19,0,3,28
4,3,19,0,3,24
7,2,17,0,2,26
8,1,15,0,1,27
4,0,16,0,1,27
7,0,15,0,1,26
7,2,17,0,1,23
5,1,18,0,5,27
9,2,15,0,3,30
17,1,8,1,4,40
17,2,8,0,5,36
16,2,9,0,3,40
17,3,8,0,4,37
17,4,9,0,3,38
18,2,9,0,5,39
17,3,10,0,5,39
16,3,9,0,3,37
13,2,12,0,3,38
14,4,12,0,3,36
19,4,8,0,4,40
18,3,8,0,4,37
15,2,10,0,3,36
9,2,13,0,2,38
4,2,19,0,1,28
5,1,17,0,1,26
5,2,18,0,2,23
3,1,18,0,1,26
4,1,18,0,2,26
8,3,16,0,4,28
7,3,16,0,3,28
9,2,13,0,4,36
9,1,16,0,5,34
18,4,9,0,3,41
9,2,15,0,2,39
12,3,13,0,3,37
10,1,15,0,3,37
18,4,9,0,3,38
6,3,17,0,4,29
5,1,17,0,3,28
17,2,9,0,3,36
10,1,13,0,3,30
6,1,16,0,2,32
9,2,15,0,3,33
7,2,17,0,4,29
5,2,16,0,4,37
3,1,18,0,4,35
8,4,15,0,4,28
3,2,18,0,3,35
6,4,17,0,4,27
9,4,15,0,3,28
3,2,18,0,2,39
3,2,18,0,3,29
9,2,14,0,7,34
4,2,18,0,4,38
7,4,17,0,4,31
4,2,18,0,4,29
9,4,15,0,3,29
10,2,14,0,4,39
11,2,12,0,3,37
11,1,13,0,4,38
15,1,10,1,4,38
16,2,9,0,4,39
8,2,15,0,2,34
7,2,15,0,2,32
2,1,19,0,3,29
3,1,18,0,4,28
5,2,18,0,3,28
14,2,12,0,6,35
3,2,18,0,6,27
15,2,10,0,4,37
15,2,11,0,3,39
