No.traits,Gain,Loss,Substrate HGT,Gene expansion,General list
26,5,3,0,5,79
16,2,10,0,3,64
11,1,14,0,0,54
22,3,5,0,0,64
10,1,14,0,1,85
21,3,4,1,1,63
14,2,11,0,1,58
21,4,7,0,3,70
24,4,4,0,6,77
12,2,13,0,3,41
10,2,15,0,9,50
10,2,15,0,4,44
14,2,11,0,5,49
13,2,12,0,4,51
6,1,17,0,3,44
27,6,3,0,3,72
14,2,12,1,3,39
7,0,16,2,4,38
14,3,12,9,6,56
12,2,13,0,5,49
7,1,17,0,3,44
9,1,15,0,4,47
12,1,13,1,3,40
22,4,6,0,5,62
16,4,12,2,3,38
13,2,13,0,3,53
18,4,9,0,3,56
15,2,11,0,3,55
25,5,3,0,8,68
11,3,15,0,4,46
12,2,13,1,6,42
26,6,3,0,6,75
10,1,14,0,3,46
24,5,5,0,6,71
28,7,3,0,6,72
27,6,2,0,6,73
26,6,4,0,3,75
24,5,4,0,6,87
15,2,10,0,5,60
22,3,5,0,4,71
22,3,5,0,2,70
18,6,11,0,5,58
28,5,1,0,4,56
24,6,6,0,5,62
21,4,7,0,4,67
9,1,15,0,2,46
17,4,10,0,4,53
15,4,12,0,5,53
16,3,10,0,5,60
25,5,4,0,7,65
9,1,15,0,8,47
12,2,13,0,3,48
16,2,9,0,14,55
8,1,16,0,6,52
9,1,15,0,5,48
14,4,13,0,4,43
17,4,10,0,6,50
15,3,11,0,6,49
14,3,12,0,4,49
23,8,8,0,2,51
8,1,16,0,2,37
24,5,5,0,5,55
14,4,13,0,6,52
12,2,13,0,4,47
22,6,8,0,5,57
20,5,9,0,6,49
20,8,11,0,3,54
24,6,6,0,3,53
10,1,14,0,3,39
16,3,11,0,3,59
16,5,12,0,4,60
20,6,10,0,3,53
18,6,10,0,2,48
7,2,18,0,3,41
14,5,14,0,4,48
8,1,16,0,3,37
7,1,17,0,1,35
7,1,16,0,2,34
5,2,19,0,1,35
11,2,15,0,2,33
7,1,16,0,2,38
8,1,16,0,3,39
8,1,16,0,3,39
5,0,19,0,2,36
8,1,16,0,4,38
7,1,17,0,3,38
5,1,18,0,2,39
13,2,12,0,3,50
15,3,12,0,3,56
15,2,10,0,4,58
14,3,12,0,3,47
18,5,11,0,4,62
20,5,9,0,5,58
20,5,9,0,5,58
13,2,12,0,5,53
16,3,10,0,3,49
16,3,11,0,5,59
14,2,12,0,2,47
23,6,7,0,7,63
15,3,12,0,4,49
20,5,8,0,6,59
14,3,12,0,8,49
24,7,6,0,6,55
23,6,7,0,4,57
12,3,14,0,4,45
23,6,6,0,4,57
18,5,10,0,5,62
20,7,9,0,3,52
16,5,13,0,7,68
16,3,10,0,2,48
18,6,11,0,5,50
5,0,18,0,3,38
7,1,16,0,1,35
6,0,16,0,3,42
7,1,17,0,3,45
22,4,5,0,5,59
13,2,12,0,6,53
17,3,10,0,4,56
16,3,11,0,4,58
26,6,4,0,5,60
16,3,10,0,9,54
21,6,9,0,7,49
14,4,12,0,3,47
25,5,4,0,6,56
16,4,11,0,5,48
20,4,8,0,5,53
26,5,3,0,5,52
16,3,11,0,4,47
19,4,9,0,6,48
19,5,9,0,5,44
15,3,12,0,6,46
25,6,5,0,5,52
20,5,9,0,7,47
22,6,8,0,6,49
30,7,1,0,6,63
22,4,6,0,6,50
16,3,11,0,4,47
17,3,10,0,9,47
9,2,15,0,9,47
17,3,10,0,8,45
17,3,10,0,10,46
18,5,10,0,10,49
16,3,10,0,10,49
17,3,10,0,10,46
16,3,9,0,9,49
14,5,14,0,9,48
19,4,9,0,9,48
17,3,10,0,9,47
18,4,10,0,9,44
16,3,10,0,10,48
18,3,9,0,10,46
18,3,9,0,11,46
16,3,10,0,9,49
16,5,11,0,11,51
18,5,10,0,10,49
19,4,9,0,9,48
16,5,12,0,9,47
18,3,9,0,9,46
15,4,11,0,10,46
15,3,10,0,9,45
27,6,3,0,5,55
19,2,7,0,4,49
16,3,11,0,4,46
25,6,4,0,7,53
25,6,5,0,6,54
20,5,8,0,5,50
18,4,8,0,8,50
17,4,9,0,6,48
16,4,10,0,5,48
20,6,10,0,6,50
14,3,13,0,3,43
21,3,6,0,5,48
21,6,9,0,5,47
17,3,10,0,6,49
19,3,7,0,6,48
12,2,13,0,5,44
18,5,11,0,5,46
22,4,6,0,4,55
19,5,9,0,8,48
15,2,11,0,5,47
15,5,13,0,8,44
18,2,7,0,6,55
14,1,10,0,4,48
16,2,10,0,4,44
20,4,8,0,6,50
17,3,10,0,5,49
20,4,8,1,8,55
16,3,11,1,5,46
20,5,9,1,4,51
24,6,6,0,6,56
22,5,6,0,6,53
22,3,5,0,5,50
18,4,10,0,4,46
23,4,5,0,4,54
20,4,7,0,7,56
22,5,7,0,6,53
25,5,4,0,4,61
25,5,3,0,5,57
19,5,10,0,4,48
20,4,7,0,7,46
23,5,6,0,5,55
22,5,6,0,4,54
18,4,9,0,3,52
20,4,8,0,7,64
28,7,3,0,6,60
25,4,3,0,5,53
20,5,9,0,10,46
27,6,3,0,6,66
27,6,3,0,5,62
23,6,7,0,7,57
15,1,9,0,10,43
21,5,7,1,4,48
17,4,9,0,9,45
24,6,6,0,5,57
23,7,7,0,8,52
20,5,8,0,2,42
15,4,13,0,5,53
15,4,13,0,4,58
17,4,11,0,4,53
19,5,10,0,5,50
21,5,8,0,6,59
22,5,7,0,7,63
10,2,15,0,5,49
11,2,15,0,4,47
15,3,12,0,6,53
17,2,9,0,4,64
13,2,13,0,3,54
9,1,15,0,4,52
19,5,10,0,3,55
11,3,15,0,3,56
13,2,13,0,4,56
18,5,11,0,5,60
13,2,13,0,4,54
11,1,14,0,6,62
15,3,12,0,5,59
16,3,11,0,3,50
18,5,11,0,3,58
18,4,10,0,3,56
18,4,10,0,4,56
17,4,11,0,3,56
8,2,18,0,3,48
9,1,15,0,4,51
8,1,16,0,4,49
9,1,15,0,4,49
8,1,16,0,4,49
19,4,9,0,5,55
17,3,10,0,3,53
23,6,6,0,6,56
19,5,10,0,4,54
17,5,12,0,4,52
15,3,12,0,3,49
18,5,11,0,4,55
5,1,19,0,3,33
2,0,20,0,4,34
4,2,20,0,2,40
4,2,20,0,3,42
4,1,20,0,3,36
4,2,20,0,2,38
4,1,20,0,3,37
4,2,20,0,3,32
7,2,19,0,2,37
8,2,17,0,1,35
10,2,15,0,1,35
12,2,14,0,1,36
7,3,19,0,1,32
5,1,20,0,5,40
9,2,17,0,3,42
17,3,9,1,4,53
17,3,9,0,5,49
16,4,11,0,3,55
17,5,10,0,4,50
15,6,13,0,3,51
18,4,10,0,5,56
19,5,10,0,5,51
17,6,11,0,4,49
14,3,13,0,3,50
14,6,14,0,3,49
18,6,11,0,4,54
18,6,11,0,4,50
15,3,12,0,3,49
9,2,15,0,2,52
5,2,21,0,1,39
5,0,19,0,1,37
5,1,20,0,2,35
4,0,19,0,1,36
3,0,21,0,2,37
10,3,17,0,4,42
8,2,17,0,3,41
10,3,15,0,4,52
10,3,17,0,5,49
18,6,11,0,3,57
10,3,16,0,2,53
13,5,14,0,3,52
11,3,16,0,3,53
18,6,11,0,3,54
6,2,19,0,4,38
5,0,19,0,3,40
17,4,11,0,3,50
10,1,15,0,3,43
8,1,16,0,2,48
10,3,16,0,3,46
8,2,18,0,5,41
6,1,17,0,4,48
6,1,17,0,4,46
7,4,19,0,4,39
4,1,19,0,3,47
6,3,19,0,4,39
7,3,19,0,3,39
3,1,20,0,2,51
4,1,19,0,3,42
8,2,17,0,7,46
5,1,19,0,5,50
8,3,18,0,5,45
5,1,19,0,4,38
7,3,19,0,3,41
11,4,15,0,4,56
11,2,14,0,3,51
13,3,13,0,4,51
15,3,11,1,4,51
16,3,11,0,4,52
10,3,16,0,2,49
8,1,16,0,2,49
3,0,20,0,3,39
3,0,20,0,5,38
6,1,19,0,3,39
