query id	uniprot id	identity
Eremothecium_sinecaudum@Seq_1	tr|A0A120K2Q2|A0A120K2Q2_9SACH	100.0
Eremothecium_sinecaudum@Seq_100	tr|A0A109UYA9|A0A109UYA9_9SACH	100.0
Eremothecium_sinecaudum@Seq_1000	tr|A0A0X8HW00|A0A0X8HW00_9SACH	100.0
Eremothecium_sinecaudum@Seq_1001	tr|A0A0X8HUM5|A0A0X8HUM5_9SACH	100.0
Eremothecium_sinecaudum@Seq_1002	tr|A0A109UZ64|A0A109UZ64_9SACH	100.0
Eremothecium_sinecaudum@Seq_1003	tr|A0A0X8HVP9|A0A0X8HVP9_9SACH	100.0
Eremothecium_sinecaudum@Seq_1004	tr|A0A120K1R2|A0A120K1R2_9SACH	100.0
Eremothecium_sinecaudum@Seq_1005	tr|A0A0X8HWQ0|A0A0X8HWQ0_9SACH	100.0
Eremothecium_sinecaudum@Seq_1006	tr|A0A0X8HRS6|A0A0X8HRS6_9SACH	100.0
Eremothecium_sinecaudum@Seq_1007	tr|A0A0X8HWI5|A0A0X8HWI5_9SACH	100.0
Eremothecium_sinecaudum@Seq_1008	tr|A0A120K217|A0A120K217_9SACH	100.0
Eremothecium_sinecaudum@Seq_101	tr|A0A109UX22|A0A109UX22_9SACH	100.0
Eremothecium_sinecaudum@Seq_1010	tr|A0A0X8HSC3|A0A0X8HSC3_9SACH	100.0
Eremothecium_sinecaudum@Seq_1011	tr|A0A109UWF8|A0A109UWF8_9SACH	100.0
Eremothecium_sinecaudum@Seq_1012	tr|A0A109UWT4|A0A109UWT4_9SACH	100.0
Eremothecium_sinecaudum@Seq_1013	tr|A0A120K1C7|A0A120K1C7_9SACH	100.0
Eremothecium_sinecaudum@Seq_1014	tr|A0A0X8HSB4|A0A0X8HSB4_9SACH	100.0
Eremothecium_sinecaudum@Seq_1015	tr|A0A109UZ90|A0A109UZ90_9SACH	100.0
Eremothecium_sinecaudum@Seq_1016	tr|A0A109V017|A0A109V017_9SACH	100.0
Eremothecium_sinecaudum@Seq_1017	tr|A0A0X8HSX3|A0A0X8HSX3_9SACH	100.0
Eremothecium_sinecaudum@Seq_1018	tr|A0A109UY47|A0A109UY47_9SACH	100.0
Eremothecium_sinecaudum@Seq_1019	tr|A0A120K2S0|A0A120K2S0_9SACH	100.0
Eremothecium_sinecaudum@Seq_102	tr|A0A120K2N8|A0A120K2N8_9SACH	100.0
Eremothecium_sinecaudum@Seq_1020	tr|A0A109UWL7|A0A109UWL7_9SACH	100.0
Eremothecium_sinecaudum@Seq_1021	tr|A0A0X8HWF8|A0A0X8HWF8_9SACH	100.0
Eremothecium_sinecaudum@Seq_1022	tr|A0A120K1U1|A0A120K1U1_9SACH	100.0
Eremothecium_sinecaudum@Seq_1023	tr|A0A0X8HW12|A0A0X8HW12_9SACH	100.0
Eremothecium_sinecaudum@Seq_1024	tr|A0A0X8HTE0|A0A0X8HTE0_9SACH	100.0
Eremothecium_sinecaudum@Seq_1025	tr|A0A120K1E3|A0A120K1E3_9SACH	99.156
Eremothecium_sinecaudum@Seq_1026	tr|A0A109UYD2|A0A109UYD2_9SACH	100.0
Eremothecium_sinecaudum@Seq_1027	tr|A0A0X8HS57|A0A0X8HS57_9SACH	100.0
Eremothecium_sinecaudum@Seq_1028	tr|A0A0X8HT98|A0A0X8HT98_9SACH	100.0
Eremothecium_sinecaudum@Seq_1029	tr|A0A0X8HVK9|A0A0X8HVK9_9SACH	100.0
Eremothecium_sinecaudum@Seq_103	tr|A0A120K1S3|A0A120K1S3_9SACH	100.0
Eremothecium_sinecaudum@Seq_1030	tr|A0A0X8HWM7|A0A0X8HWM7_9SACH	100.0
Eremothecium_sinecaudum@Seq_1031	tr|A0A0X8HR67|A0A0X8HR67_9SACH	100.0
Eremothecium_sinecaudum@Seq_1032	tr|A0A109UWD7|A0A109UWD7_9SACH	100.0
Eremothecium_sinecaudum@Seq_1033	tr|A0A109UWT2|A0A109UWT2_9SACH	100.0
Eremothecium_sinecaudum@Seq_1034	tr|A0A120K107|A0A120K107_9SACH	100.0
Eremothecium_sinecaudum@Seq_1035	tr|A0A120K1Z0|A0A120K1Z0_9SACH	100.0
Eremothecium_sinecaudum@Seq_1036	tr|A0A109UW00|A0A109UW00_9SACH	100.0
Eremothecium_sinecaudum@Seq_1037	tr|A0A0X8HW62|A0A0X8HW62_9SACH	100.0
Eremothecium_sinecaudum@Seq_1039	tr|A0A0X8HW36|A0A0X8HW36_9SACH	100.0
Eremothecium_sinecaudum@Seq_104	tr|A0A0X8HTL0|A0A0X8HTL0_9SACH	100.0
Eremothecium_sinecaudum@Seq_1040	tr|A0A0X8HRU8|A0A0X8HRU8_9SACH	100.0
Eremothecium_sinecaudum@Seq_1041	tr|A0A109UX94|A0A109UX94_9SACH	100.0
Eremothecium_sinecaudum@Seq_1042	tr|A0A109UZK8|A0A109UZK8_9SACH	100.0
Eremothecium_sinecaudum@Seq_1043	tr|A0A0X8HSP9|A0A0X8HSP9_9SACH	100.0
Eremothecium_sinecaudum@Seq_1044	tr|A0A109UY97|A0A109UY97_9SACH	100.0
Eremothecium_sinecaudum@Seq_1045	tr|A0A109UXF9|A0A109UXF9_9SACH	100.0
Eremothecium_sinecaudum@Seq_1047	tr|A0A109UX87|A0A109UX87_9SACH	100.0
Eremothecium_sinecaudum@Seq_1048	tr|A0A120K1Y2|A0A120K1Y2_9SACH	100.0
Eremothecium_sinecaudum@Seq_1049	tr|A0A109V0H6|A0A109V0H6_9SACH	100.0
Eremothecium_sinecaudum@Seq_105	tr|A0A109UZF9|A0A109UZF9_9SACH	100.0
