"species"	"expanded"	"extracted"	"ratio_of_expanded_to_extracted"
"Geotrichum_candidum"	97	45	2.15555555555556
"Metschnikowia_matae"	445	166	2.68072289156627
"yHMPu5000034904_Ogataea_nonfermentans"	228	37	6.16216216216216
"yHMPu5000035670_Phaffomyces_opuntiae"	11	60	0.183333333333333
"Metschnikowia_aberdeeniae"	214	119	1.79831932773109
"Saccharomyces_mikatae"	1	180	0.00555555555555556
"yHMPu5000034665_Kodamaea_laetipori"	130	86	1.51162790697674
"yHMPu5000034611_Saturnispora_mendoncae"	69	130	0.530769230769231
"yHMPu5000035686_Cyberlindnera_saturnus"	51	38	1.34210526315789
"yHMPu5000035048_Barnettozyma_salicaria"	55	98	0.561224489795918
"yHMPu5000035045_Barnettozyma_hawaiiensis"	7	78	0.0897435897435897
"yHMPu5000034990_Candida_corydali"	150	269	0.557620817843866
"yHMPu5000034709_Kluyveromyces_aestuarii"	7	79	0.0886075949367089
"Eremothecium_cymbalariae"	6	90	0.0666666666666667
"yHMPu5000034884_Peterozyma_toletana"	37	33	1.12121212121212
"yHMPu5000035707_Candida_heveicola"	147	108	1.36111111111111
"yHMPu5000035279_Tortispora_starmeri"	15	64	0.234375
"yHMPu5000035673_Candida_orba"	15	49	0.306122448979592
"Spathaspora_gorwiae"	150	89	1.68539325842697
"yHMPu5000034624_Pichia_nakasei"	56	193	0.290155440414508
"Metschnikowia_mauinuiana"	375	75	5
"yHMPu5000034675_Blastobotrys_mokoenaii"	23	55	0.418181818181818
"yHMPu5000041829_Debaryomyces_fabryi"	98	111	0.882882882882883
"yHMPu5000035274_Wickerhamomyces_alni"	23	58	0.396551724137931
"Lachancea_meyersii"	4	45	0.0888888888888889
"Metschnikowia_kamakouana"	351	225	1.56
"Brettanomyces_anomalus"	52	39	1.33333333333333
"Candida_tenuis"	85	239	0.355648535564854
"Ascoidea_asiatica"	71	56	1.26785714285714
"yHMPu5000035652_Torulaspora_maleeae"	1	150	0.00666666666666667
"yHMPu5000035699_Cyberlindnera_maclurae"	12	63	0.19047619047619
"Candida_apicola"	11	61	0.180327868852459
"yHMPu5000034614_Saturnispora_silvae"	67	70	0.957142857142857
"yHMPu5000034918_Nakazawaea_holstii"	41	120	0.341666666666667
"yHMPu5000035690_Candida_vartiovaarae"	3	72	0.0416666666666667
"Metschnikowia_proteae"	250	97	2.57731958762887
"yHMPu5000034899_Ogataea_kodamae"	28	189	0.148148148148148
"Lachancea_lanzarotensis"	4	56	0.0714285714285714
"yHMPu5000035037_Candida_montana"	13	133	0.0977443609022556
"Naumovozyma_dairenensis"	24	36	0.666666666666667
"Nakaseomyces_nivariensis"	12	33	0.363636363636364
"yHMPu5000041855_Candida_ascalaphidarum"	92	228	0.403508771929825
"yHMPu5000035651_Torulaspora_microellipsoides"	64	79	0.810126582278481
"Metschnikowia_hawaiiensis"	359	138	2.60144927536232
"yHMPu5000034901_Ogataea_methylivora"	139	96	1.44791666666667
"yHMPu5000034643_Candida_schatavii"	135	144	0.9375
"yHMPu5000035643_Yarrowia_bubula"	17	24	0.708333333333333
"Ashbya_aceri"	5	42	0.119047619047619
"yHMPu5000034866_Zygosaccharomyces_bisporus"	6	65	0.0923076923076923
"yHMPu5000034890_Ogataea_ramenticola"	55	71	0.774647887323944
"yHMPu5000035659_Saturnispora_dispora"	102	124	0.82258064516129
"yHMPu5000034865_Zygosaccharomyces_kombuchaensis"	9	122	0.0737704918032787
"Ogataea_methanolica"	57	50	1.14
"Saccharomyces_uvarum"	7	49	0.142857142857143
"Millerozyma_acaciae"	85	305	0.278688524590164
"yHMPu5000034886_Ogataea_trehalophila"	49	44	1.11363636363636
"yHMPu5000034654_Aciculoconidium_aculeatum"	119	104	1.14423076923077
"yHMPu5000034757_Lipomyces_doorenjongii"	15	63	0.238095238095238
"yHMPu5000034594_Starmera_quercuum"	46	76	0.605263157894737
"yHMPu5000034661_Dipodascus_albidus"	15	17	0.882352941176471
"Ascoidea_rubescens"	38	142	0.267605633802817
"yHMPu5000034681_Blastobotrys_americana"	6	35	0.171428571428571
"yHMPu5000034862_Zygotorulaspora_florentina"	18	72	0.25
"yHMPu5000035687_Cyberlindnera_suaveolens"	7	51	0.137254901960784
"Nakaseomyces_castellii"	7	96	0.0729166666666667
"Metschnikowia_lockheadii"	416	163	2.5521472392638
"yHMPu5000035633_Candida_hispaniensis"	6	60	0.1
"Lachancea_cidri"	7	93	0.0752688172043011
"yHMPu5000034670_Blastobotrys_proliferans"	18	40	0.45
"yHMPu5000034932_Kuraishia_ogatae"	47	184	0.255434782608696
"yHMPu5000034939_Komagataella_pseudopastoris"	8	88	0.0909090909090909
"yHMPu5000034967_Candida_freyschussii"	12	147	0.0816326530612245
"Saccharomyces_paradoxus"	1	168	0.00595238095238095
"Debaryomyces_hansenii"	109	145	0.751724137931034
"Metschnikowia_arizonensis"	321	140	2.29285714285714
"Babjeviella_inositovora"	65	377	0.172413793103448
"yHMPu5000035031_Candida_kruisii"	193	88	2.19318181818182
"yHMPu5000026152_Torulaspora_franciscae"	61	103	0.592233009708738
"yHMPu5000035674_Kregervanrija_delftensis"	70	66	1.06060606060606
"yHMPu5000035675_Kregervanrija_fluxuum"	118	45	2.62222222222222
"Candida_auris"	129	108	1.19444444444444
"Candida_parapsilosis"	94	100	0.94
"Saccharomyces_eubayanus"	10	44	0.227272727272727
"yHAB136_Kazachstania_bromeliacearum"	26	91	0.285714285714286
"yHMPu5000034632_Candida_athensensis"	86	253	0.339920948616601
"yHMPu5000034946_Ambrosiozyma_oregonensis"	55	55	1
"Yarrowia_keelungensis"	1	15	0.0666666666666667
"yHMPu5000034893_Ogataea_philodendra"	34	107	0.317757009345794
"yHMPu5000034606_Priceomyces_medius"	109	142	0.767605633802817
"yHMPu5000026124_Ogataea_henricii"	37	74	0.5
"Candida_carpophila"	75	108	0.694444444444444
"Candida_tanzawaensis"	98	128	0.765625
"yHAB133_Kazachstania_unispora"	5	59	0.0847457627118644
"Eremothecium_gossypii"	5	41	0.121951219512195
"Metschnikowia_continentalis"	438	159	2.75471698113208
"yHMPu5000034957_Hanseniaspora_osmophila"	34	34	1
"yHMPu5000034635_Nadsonia_fulvescens"	13	17	0.764705882352941
"Meyerozyma_guilliermondii"	75	187	0.401069518716578
"yHAB148_Kazachstania_intestinalis"	15	130	0.115384615384615
"Candida_dubliniensis"	91	121	0.752066115702479
"Dekkera_bruxellensis"	59	64	0.921875
"Metschnikowia_bicuspidata"	182	139	1.30935251798561
"Komagataella_pastoris"	9	79	0.113924050632911
"yHMPu5000035696_Hanseniaspora_singularis"	8	45	0.177777777777778
"Wickerhamomyces_ciferrii"	30	49	0.612244897959184
"yHMPu5000035679_Candida_rhagii"	127	82	1.54878048780488
"yHAB159_Kazachstania_solicola"	36	50	0.72
"yHMPu5000034877_Tetrapisispora_namnaonensis"	4	22	0.181818181818182
"Spathaspora_passalidarum"	88	121	0.727272727272727
"Saprochaete_clavata"	16	38	0.421052631578947
"yHMPu5000035335_Candida_blattae"	174	112	1.55357142857143
"Candida_succiphila"	38	136	0.279411764705882
"yHMPu5000041818_Magnusiomyces_tetrasperma"	269	39	6.8974358974359
"Ambrosiozyma_monospora"	99	83	1.19277108433735
"yHMPu5000035645_Yarrowia_divulgata"	21	7	3
"yHMPu5000041743_Candida_hawaiiana"	257	311	0.826366559485531
"Metschnikowia_ipomoeae"	382	181	2.11049723756906
"yHAB134_Kazachstania_turicensis"	21	48	0.4375
"Metschnikowia_hamakuensis"	374	114	3.28070175438596
"Saccharomycopsis_malanga"	24	27	0.888888888888889
"yHMPu5000034897_Ogataea_glucozyma"	98	71	1.38028169014085
"Priceomyces_haplophilus"	92	135	0.681481481481481
"yHMPu5000041862_Candida_golubevii"	211	67	3.14925373134328
"Sugiyamaella_lignohabitans"	28	46	0.608695652173913
"Clavispora_lusitaniae"	157	86	1.82558139534884
"yHMPu5000034885_Ogataea_zsoltii"	40	109	0.36697247706422
"yHMPu5000041822_Dipodascus_geniculatus"	12	30	0.4
"Starmerella_bombicola_JCM9596"	6	56	0.107142857142857
"yHMPu5000034607_Saccharomycopsis_capsularis"	28	29	0.96551724137931
"Metschnikowia_hibisci"	244	117	2.08547008547009
"Hanseniaspora_uvarum"	13	38	0.342105263157895
"yHMPu5000034933_Kuraishia_molischiana"	30	35	0.857142857142857
"yHAB147_Kazachstania_taianensis"	12	143	0.0839160839160839
"Ogataea_polymorpha"	22	106	0.207547169811321
"yHAB154_Kazachstania_transvaalensis"	8	120	0.0666666666666667
"yHMPu5000035684_Kloeckera_hatyaiensis"	9	27	0.333333333333333
"yHMPu5000041678_Debaryomyces_prosopidis"	173	158	1.09493670886076
"yHMPu5000034760_Lipomyces_kononenkoae"	11	31	0.354838709677419
"yHMPu5000035297_Priceomyces_castillae"	109	115	0.947826086956522
"Lachancea_fermentati"	5	52	0.0961538461538462
"yHMPu5000034613_Saturnispora_serradocipensis"	92	166	0.55421686746988
"yHMPu5000035301_Pichia_terricola"	84	47	1.78723404255319
