"species"	"expanded"	"extracted"	"ratio_of_expanded_to_extracted"
"Geotrichum_candidum"	41	14	2.92857142857143
"Metschnikowia_matae"	46	60	0.766666666666667
"yHMPu5000034904_Ogataea_nonfermentans"	78	8	9.75
"yHMPu5000035670_Phaffomyces_opuntiae"	4	17	0.235294117647059
"Metschnikowia_aberdeeniae"	19	40	0.475
"Saccharomyces_mikatae"	0	52	0
"yHMPu5000034665_Kodamaea_laetipori"	26	25	1.04
"yHMPu5000034611_Saturnispora_mendoncae"	13	39	0.333333333333333
"yHMPu5000035686_Cyberlindnera_saturnus"	23	12	1.91666666666667
"yHMPu5000035048_Barnettozyma_salicaria"	17	44	0.386363636363636
"yHMPu5000035045_Barnettozyma_hawaiiensis"	3	31	0.0967741935483871
"yHMPu5000034990_Candida_corydali"	38	84	0.452380952380952
"yHMPu5000034709_Kluyveromyces_aestuarii"	5	23	0.217391304347826
"Eremothecium_cymbalariae"	1	33	0.0303030303030303
"yHMPu5000034884_Peterozyma_toletana"	11	10	1.1
"yHMPu5000035707_Candida_heveicola"	20	30	0.666666666666667
"yHMPu5000035279_Tortispora_starmeri"	5	14	0.357142857142857
"yHMPu5000035673_Candida_orba"	6	19	0.315789473684211
"Spathaspora_gorwiae"	37	23	1.60869565217391
"yHMPu5000034624_Pichia_nakasei"	15	63	0.238095238095238
"Metschnikowia_mauinuiana"	35	31	1.12903225806452
"yHMPu5000034675_Blastobotrys_mokoenaii"	12	16	0.75
"yHMPu5000041829_Debaryomyces_fabryi"	15	35	0.428571428571429
"yHMPu5000035274_Wickerhamomyces_alni"	10	16	0.625
"Lachancea_meyersii"	4	18	0.222222222222222
"Metschnikowia_kamakouana"	42	63	0.666666666666667
"Brettanomyces_anomalus"	9	13	0.692307692307692
"Candida_tenuis"	11	78	0.141025641025641
"Ascoidea_asiatica"	35	19	1.84210526315789
"yHMPu5000035652_Torulaspora_maleeae"	0	44	0
"yHMPu5000035699_Cyberlindnera_maclurae"	5	22	0.227272727272727
"Candida_apicola"	4	17	0.235294117647059
"yHMPu5000034614_Saturnispora_silvae"	19	24	0.791666666666667
"yHMPu5000034918_Nakazawaea_holstii"	16	42	0.380952380952381
"yHMPu5000035690_Candida_vartiovaarae"	1	26	0.0384615384615385
"Metschnikowia_proteae"	22	31	0.709677419354839
"yHMPu5000034899_Ogataea_kodamae"	7	58	0.120689655172414
"Lachancea_lanzarotensis"	2	17	0.117647058823529
"yHMPu5000035037_Candida_montana"	8	37	0.216216216216216
"Naumovozyma_dairenensis"	7	16	0.4375
"Nakaseomyces_nivariensis"	6	11	0.545454545454545
"yHMPu5000041855_Candida_ascalaphidarum"	18	73	0.246575342465753
"yHMPu5000035651_Torulaspora_microellipsoides"	24	18	1.33333333333333
"Metschnikowia_hawaiiensis"	38	46	0.826086956521739
"yHMPu5000034901_Ogataea_methylivora"	42	23	1.82608695652174
"yHMPu5000034643_Candida_schatavii"	27	45	0.6
"yHMPu5000035643_Yarrowia_bubula"	8	3	2.66666666666667
"Ashbya_aceri"	1	14	0.0714285714285714
"yHMPu5000034866_Zygosaccharomyces_bisporus"	4	27	0.148148148148148
"yHMPu5000034890_Ogataea_ramenticola"	14	22	0.636363636363636
"yHMPu5000035659_Saturnispora_dispora"	23	51	0.450980392156863
"yHMPu5000034865_Zygosaccharomyces_kombuchaensis"	2	42	0.0476190476190476
"Ogataea_methanolica"	13	17	0.764705882352941
"Saccharomyces_uvarum"	2	20	0.1
"Millerozyma_acaciae"	11	108	0.101851851851852
"yHMPu5000034886_Ogataea_trehalophila"	10	18	0.555555555555556
"yHMPu5000034654_Aciculoconidium_aculeatum"	22	26	0.846153846153846
"yHMPu5000034757_Lipomyces_doorenjongii"	10	17	0.588235294117647
"yHMPu5000034594_Starmera_quercuum"	18	16	1.125
"yHMPu5000034661_Dipodascus_albidus"	6	2	3
"Ascoidea_rubescens"	20	41	0.48780487804878
"yHMPu5000034681_Blastobotrys_americana"	4	8	0.5
"yHMPu5000034862_Zygotorulaspora_florentina"	8	21	0.380952380952381
"yHMPu5000035687_Cyberlindnera_suaveolens"	1	15	0.0666666666666667
"Nakaseomyces_castellii"	3	37	0.0810810810810811
"Metschnikowia_lockheadii"	38	42	0.904761904761905
"yHMPu5000035633_Candida_hispaniensis"	3	22	0.136363636363636
"Lachancea_cidri"	4	26	0.153846153846154
"yHMPu5000034670_Blastobotrys_proliferans"	11	10	1.1
"yHMPu5000034932_Kuraishia_ogatae"	17	37	0.459459459459459
"yHMPu5000034939_Komagataella_pseudopastoris"	2	32	0.0625
"yHMPu5000034967_Candida_freyschussii"	8	37	0.216216216216216
"Saccharomyces_paradoxus"	0	55	0
"Debaryomyces_hansenii"	19	38	0.5
"Metschnikowia_arizonensis"	29	45	0.644444444444444
"Babjeviella_inositovora"	32	34	0.941176470588235
"yHMPu5000035031_Candida_kruisii"	53	28	1.89285714285714
"yHMPu5000026152_Torulaspora_franciscae"	26	32	0.8125
"yHMPu5000035674_Kregervanrija_delftensis"	19	22	0.863636363636364
"yHMPu5000035675_Kregervanrija_fluxuum"	29	11	2.63636363636364
"Candida_auris"	12	41	0.292682926829268
"Candida_parapsilosis"	16	33	0.484848484848485
"Saccharomyces_eubayanus"	3	12	0.25
"yHAB136_Kazachstania_bromeliacearum"	16	30	0.533333333333333
"yHMPu5000034632_Candida_athensensis"	13	68	0.191176470588235
"yHMPu5000034946_Ambrosiozyma_oregonensis"	12	16	0.75
"Yarrowia_keelungensis"	0	3	0
"yHMPu5000034893_Ogataea_philodendra"	9	34	0.264705882352941
"yHMPu5000034606_Priceomyces_medius"	18	48	0.375
"yHMPu5000026124_Ogataea_henricii"	6	22	0.272727272727273
"Candida_carpophila"	12	36	0.333333333333333
"Candida_tanzawaensis"	12	42	0.285714285714286
"yHAB133_Kazachstania_unispora"	2	8	0.25
"Eremothecium_gossypii"	2	9	0.222222222222222
"Metschnikowia_continentalis"	42	53	0.792452830188679
"yHMPu5000034957_Hanseniaspora_osmophila"	18	10	1.8
"yHMPu5000034635_Nadsonia_fulvescens"	6	6	1
"Meyerozyma_guilliermondii"	11	58	0.189655172413793
"yHAB148_Kazachstania_intestinalis"	2	40	0.05
"Candida_dubliniensis"	7	42	0.166666666666667
"Dekkera_bruxellensis"	10	15	0.666666666666667
"Metschnikowia_bicuspidata"	23	54	0.425925925925926
"Komagataella_pastoris"	3	28	0.107142857142857
"yHMPu5000035696_Hanseniaspora_singularis"	1	13	0.0769230769230769
"Wickerhamomyces_ciferrii"	13	19	0.684210526315789
"yHMPu5000035679_Candida_rhagii"	13	17	0.764705882352941
"yHAB159_Kazachstania_solicola"	17	18	0.944444444444444
"yHMPu5000034877_Tetrapisispora_namnaonensis"	1	5	0.2
"Spathaspora_passalidarum"	12	37	0.324324324324324
"Saprochaete_clavata"	7	14	0.5
"yHMPu5000035335_Candida_blattae"	22	39	0.564102564102564
"Candida_succiphila"	10	45	0.222222222222222
"yHMPu5000041818_Magnusiomyces_tetrasperma"	117	13	9
"Ambrosiozyma_monospora"	32	28	1.14285714285714
"yHMPu5000035645_Yarrowia_divulgata"	10	2	5
"yHMPu5000041743_Candida_hawaiiana"	33	71	0.464788732394366
"Metschnikowia_ipomoeae"	35	55	0.636363636363636
"yHAB134_Kazachstania_turicensis"	10	15	0.666666666666667
"Metschnikowia_hamakuensis"	40	42	0.952380952380952
"Saccharomycopsis_malanga"	9	6	1.5
"yHMPu5000034897_Ogataea_glucozyma"	27	20	1.35
"Priceomyces_haplophilus"	9	48	0.1875
"yHMPu5000041862_Candida_golubevii"	26	23	1.1304347826087
"Sugiyamaella_lignohabitans"	15	15	1
"Clavispora_lusitaniae"	13	26	0.5
"yHMPu5000034885_Ogataea_zsoltii"	8	36	0.222222222222222
"yHMPu5000041822_Dipodascus_geniculatus"	5	12	0.416666666666667
"Starmerella_bombicola_JCM9596"	2	20	0.1
"yHMPu5000034607_Saccharomycopsis_capsularis"	13	7	1.85714285714286
"Metschnikowia_hibisci"	25	38	0.657894736842105
"Hanseniaspora_uvarum"	4	9	0.444444444444444
