Experiment_id	Model_id	Essential_status
YAL001C	Saccharomyces_cerevisiae@YAL001C	E
YAL003W	Saccharomyces_cerevisiae@YAL003W	E
YAL025C	Saccharomyces_cerevisiae@YAL025C	E
YAL032C	Saccharomyces_cerevisiae@YAL032C	E
YAL033W	Saccharomyces_cerevisiae@YAL033W	E
YAL034W-A	Saccharomyces_cerevisiae@YAL034W-A	E
YAL038W	Saccharomyces_cerevisiae@YAL038W	E
YAL041W	Saccharomyces_cerevisiae@YAL041W	E
YAL043C	Saccharomyces_cerevisiae@YAL043C	E
YAR007C	Saccharomyces_cerevisiae@YAR007C	E
YAR008W	Saccharomyces_cerevisiae@YAR008W	E
YAR019C	Saccharomyces_cerevisiae@YAR019C	E
YBL004W	Saccharomyces_cerevisiae@YBL004W	E
YBL014C	Saccharomyces_cerevisiae@YBL014C	E
YBL018C	Saccharomyces_cerevisiae@YBL018C	E
YBL020W	Saccharomyces_cerevisiae@YBL020W	E
YBL023C	Saccharomyces_cerevisiae@YBL023C	E
YBL026W	Saccharomyces_cerevisiae@YBL026W	E
YBL030C	Saccharomyces_cerevisiae@YBL030C	E
YBL034C	Saccharomyces_cerevisiae@YBL034C	E
YBL035C	Saccharomyces_cerevisiae@YBL035C	E
YBL040C	Saccharomyces_cerevisiae@YBL040C	E
YBL041W	Saccharomyces_cerevisiae@YBL041W	E
YBL050W	Saccharomyces_cerevisiae@YBL050W	E
YBL074C	Saccharomyces_cerevisiae@YBL074C	E
YBL076C	Saccharomyces_cerevisiae@YBL076C	E
YBL084C	Saccharomyces_cerevisiae@YBL084C	E
YBL092W	Saccharomyces_cerevisiae@YBL092W	E
YBL097W	Saccharomyces_cerevisiae@YBL097W	E
YBL105C	Saccharomyces_cerevisiae@YBL105C	E
YBR002C	Saccharomyces_cerevisiae@YBR002C	E
YBR004C	Saccharomyces_cerevisiae@YBR004C	E
YBR011C	Saccharomyces_cerevisiae@YBR011C	E
YBR029C	Saccharomyces_cerevisiae@YBR029C	E
YBR038W	Saccharomyces_cerevisiae@YBR038W	E
YBR049C	Saccharomyces_cerevisiae@YBR049C	E
YBR055C	Saccharomyces_cerevisiae@YBR055C	E
YBR060C	Saccharomyces_cerevisiae@YBR060C	E
YBR070C	Saccharomyces_cerevisiae@YBR070C	E
YBR079C	Saccharomyces_cerevisiae@YBR079C	E
YBR080C	Saccharomyces_cerevisiae@YBR080C	E
YBR087W	Saccharomyces_cerevisiae@YBR087W	E
YBR088C	Saccharomyces_cerevisiae@YBR088C	E
YBR091C	Saccharomyces_cerevisiae@YBR091C	E
YBR102C	Saccharomyces_cerevisiae@YBR102C	E
YBR109C	Saccharomyces_cerevisiae@YBR109C	E
YBR110W	Saccharomyces_cerevisiae@YBR110W	E
YBR123C	Saccharomyces_cerevisiae@YBR123C	E
YBR135W	Saccharomyces_cerevisiae@YBR135W	E
YBR136W	Saccharomyces_cerevisiae@YBR136W	E
YBR140C	Saccharomyces_cerevisiae@YBR140C	E
YBR142W	Saccharomyces_cerevisiae@YBR142W	E
YBR143C	Saccharomyces_cerevisiae@YBR143C	E
YBR152W	Saccharomyces_cerevisiae@YBR152W	E
YBR153W	Saccharomyces_cerevisiae@YBR153W	E
YBR154C	Saccharomyces_cerevisiae@YBR154C	E
YBR155W	Saccharomyces_cerevisiae@YBR155W	E
YBR160W	Saccharomyces_cerevisiae@YBR160W	E
YBR167C	Saccharomyces_cerevisiae@YBR167C	E
YBR192W	Saccharomyces_cerevisiae@YBR192W	E
YBR193C	Saccharomyces_cerevisiae@YBR193C	E
YBR196C	Saccharomyces_cerevisiae@YBR196C	E
YBR198C	Saccharomyces_cerevisiae@YBR198C	E
YBR202W	Saccharomyces_cerevisiae@YBR202W	E
YBR211C	Saccharomyces_cerevisiae@YBR211C	E
YBR233W-A	Saccharomyces_cerevisiae@YBR233W-A	E
YBR234C	Saccharomyces_cerevisiae@YBR234C	E
YBR236C	Saccharomyces_cerevisiae@YBR236C	E
YBR237W	Saccharomyces_cerevisiae@YBR237W	E
YBR243C	Saccharomyces_cerevisiae@YBR243C	E
YBR247C	Saccharomyces_cerevisiae@YBR247C	E
YBR252W	Saccharomyces_cerevisiae@YBR252W	E
YBR253W	Saccharomyces_cerevisiae@YBR253W	E
YBR254C	Saccharomyces_cerevisiae@YBR254C	E
YBR256C	Saccharomyces_cerevisiae@YBR256C	E
YBR257W	Saccharomyces_cerevisiae@YBR257W	E
YBR265W	Saccharomyces_cerevisiae@YBR265W	E
YCL004W	Saccharomyces_cerevisiae@YCL004W	E
YCL017C	Saccharomyces_cerevisiae@YCL017C	E
YCL031C	Saccharomyces_cerevisiae@YCL031C	E
YCL043C	Saccharomyces_cerevisiae@YCL043C	E
YCL052C	Saccharomyces_cerevisiae@YCL052C	E
YCL054W	Saccharomyces_cerevisiae@YCL054W	E
YCL059C	Saccharomyces_cerevisiae@YCL059C	E
YCR012W	Saccharomyces_cerevisiae@YCR012W	E
YCR035C	Saccharomyces_cerevisiae@YCR035C	E
YCR052W	Saccharomyces_cerevisiae@YCR052W	E
YCR054C	Saccharomyces_cerevisiae@YCR054C	E
YCR057C	Saccharomyces_cerevisiae@YCR057C	E
YCR072C	Saccharomyces_cerevisiae@YCR072C	E
YCR093W	Saccharomyces_cerevisiae@YCR093W	E
YDL003W	Saccharomyces_cerevisiae@YDL003W	E
YDL004W	Saccharomyces_cerevisiae@YDL004W	E
YDL007W	Saccharomyces_cerevisiae@YDL007W	E
YDL008W	Saccharomyces_cerevisiae@YDL008W	E
YDL014W	Saccharomyces_cerevisiae@YDL014W	E
YDL015C	Saccharomyces_cerevisiae@YDL015C	E
YDL017W	Saccharomyces_cerevisiae@YDL017W	E
YDL028C	Saccharomyces_cerevisiae@YDL028C	E
YDL029W	Saccharomyces_cerevisiae@YDL029W	E
YDL030W	Saccharomyces_cerevisiae@YDL030W	E
YDL031W	Saccharomyces_cerevisiae@YDL031W	E
YDL043C	Saccharomyces_cerevisiae@YDL043C	E
YDL045C	Saccharomyces_cerevisiae@YDL045C	E
YDL055C	Saccharomyces_cerevisiae@YDL055C	E
YDL060W	Saccharomyces_cerevisiae@YDL060W	E
YDL064W	Saccharomyces_cerevisiae@YDL064W	E
YDL084W	Saccharomyces_cerevisiae@YDL084W	E
YDL087C	Saccharomyces_cerevisiae@YDL087C	E
YDL097C	Saccharomyces_cerevisiae@YDL097C	E
YDL098C	Saccharomyces_cerevisiae@YDL098C	E
YDL102W	Saccharomyces_cerevisiae@YDL102W	E
YDL103C	Saccharomyces_cerevisiae@YDL103C	E
YDL105W	Saccharomyces_cerevisiae@YDL105W	E
YDL108W	Saccharomyces_cerevisiae@YDL108W	E
YDL111C	Saccharomyces_cerevisiae@YDL111C	E
YDL120W	Saccharomyces_cerevisiae@YDL120W	E
YDL126C	Saccharomyces_cerevisiae@YDL126C	E
YDL132W	Saccharomyces_cerevisiae@YDL132W	E
YDL139C	Saccharomyces_cerevisiae@YDL139C	E
YDL140C	Saccharomyces_cerevisiae@YDL140C	E
