Experiment_id	Model_id	Essential_status
orf19.3178	Candida_albicans@C5_01930W_A	E
orf19.3324	Candida_albicans@C1_01350C_A	E
orf19.107	Candida_albicans@C6_01040C_A	E
orf19.1249	Candida_albicans@C4_05640C_A	E
orf19.6010	Candida_albicans@C1_00950C_A	E
orf19.5720	Candida_albicans@C6_03540W_A	E
orf19.1064	Candida_albicans@C1_04290C_A	E
orf19.5964	Candida_albicans@C3_04950W_A	E
orf19.1986	Candida_albicans@CR_07710W_A	E
orf19.1386	Candida_albicans@C2_09680W_A	E
orf19.7563	Candida_albicans@CR_09890C_A	E
orf19.5577	Candida_albicans@C6_02980C_A	E
orf19.1833	Candida_albicans@C1_10620W_A	E
orf19.1402	Candida_albicans@C2_09520C_A	E
orf19.3126	Candida_albicans@C4_06830C_A	E
orf19.3206	Candida_albicans@C5_01690C_A	E
orf19.3575	Candida_albicans@C2_05460W_A	E
orf19.3174	Candida_albicans@C5_01970C_A	E
orf19.3496	Candida_albicans@C6_02120W_A	E
orf19.6052	Candida_albicans@C1_00560W_A	E
orf19.395	Candida_albicans@C1_08500C_A	E
orf19.406	Candida_albicans@C1_08590C_A	E
orf19.1591	Candida_albicans@C2_04310W_A	E
orf19.7312	Candida_albicans@CR_09160C_A	E
orf19.4491	Candida_albicans@C2_04580W_A	E
orf19.4618	Candida_albicans@C4_01750C_A	E
orf19.4223	Candida_albicans@C5_02170C_A	E
orf19.2677	Candida_albicans@C4_03130W_A	E
orf19.538	Candida_albicans@CR_04470W_A	E
orf19.2929	Candida_albicans@C1_02420C_A	E
orf19.5493	Candida_albicans@C2_06310C_A	E
orf19.1031	Candida_albicans@C1_03780C_A	E
orf19.717	Candida_albicans@CR_06490C_A	E
orf19.3681	Candida_albicans@C1_02240W_A	E
orf19.5861	Candida_albicans@C3_04180W_A	E
orf19.3026	Candida_albicans@C1_03300C_A	E
orf19.329	Candida_albicans@C3_03300C_A	E
orf19.1199	Candida_albicans@C6_00370C_A	E
orf19.6988	Candida_albicans@C3_05530W_A	E
orf19.6190	Candida_albicans@C3_07950C_A	E
orf19.3276	Candida_albicans@CR_00800C_A	E
orf19.2267	Candida_albicans@C2_07120W_A	E
orf19.6541	Candida_albicans@C7_01790C_A	E
orf19.3103	Candida_albicans@C4_07060W_A	E
orf19.6041	Candida_albicans@C1_00640C_A	E
orf19.3334	Candida_albicans@C1_01480C_A	E
orf19.6375	Candida_albicans@CR_08150W_A	E
orf19.4336	Candida_albicans@C5_03070W_A	E
orf19.3129	Candida_albicans@C4_06800W_A	E
orf19.3086	Candida_albicans@C4_07190W_A	E
orf19.2518	Candida_albicans@CR_01350C_A	E
orf19.4732	Candida_albicans@C1_08740C_A	E
orf19.528	Candida_albicans@CR_04380C_A	E
orf19.3467	Candida_albicans@C6_02260C_A	E
orf19.2571	Candida_albicans@CR_01750C_A	E
orf19.6176	Candida_albicans@C3_07810C_A	E
orf19.491	Candida_albicans@CR_04080C_A	E
orf19.117	Candida_albicans@C6_01100W_A	E
orf19.3409	Candida_albicans@C6_01760W_A	E
orf19.6039	Candida_albicans@C1_00660C_A	E
orf19.7673	Candida_albicans@CR_10820W_A	E
orf19.4146	Candida_albicans@C5_01510W_A	E
orf19.4205.1	Candida_albicans@C6_00530C_A	E
orf19.4930	Candida_albicans@C1_13020C_A	E
orf19.1896	Candida_albicans@C2_07380W_A	E
orf19.1478	Candida_albicans@C2_01670C_A	E
orf19.3060	Candida_albicans@C1_03600W_A	E
orf19.401	Candida_albicans@C1_08560W_A	E
orf19.5685	Candida_albicans@C5_00110C_A	E
orf19.2967	Candida_albicans@C1_02790W_A	E
orf19.7236	Candida_albicans@C1_14260C_A	E
orf19.1361	Candida_albicans@C2_09900C_A	E
orf19.4003	Candida_albicans@C5_05110C_A	E
orf19.6094	Candida_albicans@C1_00130C_A	E
orf19.2298	Candida_albicans@C1_11170W_A	E
orf19.4152	Candida_albicans@C5_01580C_A	E
orf19.2425.2	Candida_albicans@CR_03030C_A	E
orf19.4283	Candida_albicans@C5_02660C_A	E
orf19.6716	Candida_albicans@C3_07710W_A	E
orf19.4827	Candida_albicans@C1_09640W_A	E
orf19.5746	Candida_albicans@C6_03720W_A	E
orf19.4410	Candida_albicans@C4_06000W_A	E
orf19.5363	Candida_albicans@C2_10790C_A	E
orf19.2187	Candida_albicans@C2_07940C_A	E
orf19.6151	Candida_albicans@CR_07210W_A	E
orf19.121	Candida_albicans@C6_01140C_A	E
orf19.3251	Candida_albicans@CR_01040C_A	E
orf19.2437	Candida_albicans@C1_06080C_A	E
orf19.3873	Candida_albicans@CR_06180W_A	E
orf19.4704	Candida_albicans@C4_00890W_A	E
orf19.1945	Candida_albicans@C5_01240W_A	E
orf19.2940	Candida_albicans@C1_02510W_A	E
orf19.6649	Candida_albicans@CR_05650W_A	E
orf19.1251	Candida_albicans@C4_05660C_B	E
orf19.3098	Candida_albicans@C4_07100C_A	E
orf19.4705	Candida_albicans@C4_00880W_A	E
orf19.2720	Candida_albicans@C4_02780W_A	E
orf19.6437	Candida_albicans@CR_08630W_A	E
orf19.2340	Candida_albicans@C1_10790W_A	E
orf19.5735	Candida_albicans@C6_03660C_A	E
orf19.4594	Candida_albicans@C4_01980C_A	E
orf19.332	Candida_albicans@C3_03330C_A	E
orf19.4016	Candida_albicans@C5_05230C_A	E
orf19.1229	Candida_albicans@C1_07690C_A	E
orf19.1975	Candida_albicans@C5_00920W_A	E
orf19.6057	Candida_albicans@C1_00510W_A	E
orf19.922	Candida_albicans@C5_00660C_A	E
orf19.4809	Candida_albicans@C1_09460W_A	E
orf19.3240	Candida_albicans@CR_01140C_A	E
orf19.1570	Candida_albicans@C2_02460W_A	E
orf19.4606	Candida_albicans@C4_01870C_A	E
orf19.2319	Candida_albicans@C1_10970W_A	E
orf19.3356	Candida_albicans@C1_01670C_A	E
orf19.5949	Candida_albicans@C3_04830C_A	E
orf19.6175	Candida_albicans@C3_07800C_A	E
orf19.5081	Candida_albicans@C1_08090C_A	E
orf19.5693	Candida_albicans@C5_00040C_A	E
orf19.825	Candida_albicans@C2_03990W_A	E
orf19.2799	Candida_albicans@C1_07460C_A	E
orf19.903	Candida_albicans@C2_03270W_A	E
orf19.7057	Candida_albicans@C7_00620W_A	E
orf19.3962	Candida_albicans@C5_04750C_A	E
orf19.1742	Candida_albicans@C2_10360C_A	E
orf19.6515	Candida_albicans@C7_02030W_A	E
orf19.2138	Candida_albicans@C6_04520W_A	E
orf19.3590	Candida_albicans@C2_08810C_A	E
orf19.3247	Candida_albicans@CR_01080W_A	E
orf19.3116	Candida_albicans@C4_06930C_A	E
orf19.3761	Candida_albicans@C1_12550C_A	E
orf19.3955	Candida_albicans@C5_04700C_A	E
orf19.6105	Candida_albicans@C1_00070W_A	E
orf19.2002	Candida_albicans@C2_01220W_A	E
orf19.596.1	Candida_albicans@CR_08020C_A	E
orf19.4093	Candida_albicans@C2_09320C_A	E
orf19.3037	Candida_albicans@C1_03370W_A	E
orf19.7222	Candida_albicans@C1_14150C_A	E
orf19.4190	Candida_albicans@C4_00520W_A	E
orf19.4025	Candida_albicans@C5_05310W_A	E
orf19.2233	Candida_albicans@C2_06820C_A	E
orf19.7178	Candida_albicans@C7_04020C_A	E
orf19.544.1	Candida_albicans@CR_04550W_A	E
orf19.2112	Candida_albicans@C2_00200W_A	E
orf19.2563	Candida_albicans@CR_01700C_A	E
orf19.910	Candida_albicans@C2_03200W_A	E
orf19.7343	Candida_albicans@CR_09480W_A	E
orf19.5513	Candida_albicans@C6_02440C_A	E
orf19.969	Candida_albicans@C5_00260W_A	E
orf19.1575	Candida_albicans@C2_02510W_A	E
orf19.709	Candida_albicans@CR_06750C_A	E
orf19.1460	Candida_albicans@C2_01530C_A	E
orf19.2093	Candida_albicans@C2_00380C_A	E
orf19.2843	Candida_albicans@CR_02860W_A	E
orf19.2862	Candida_albicans@CR_02990C_A	E
orf19.3034	Candida_albicans@C1_03350C_A	E
orf19.1839	Candida_albicans@C1_10670C_A	E
orf19.1248	Candida_albicans@C4_05630W_A	E
orf19.2831	Candida_albicans@CR_02720C_A	E
orf19.4956	Candida_albicans@C1_13300C_B	E
orf19.5260	Candida_albicans@C1_12050W_A	E
orf19.3168	Candida_albicans@C5_02030W_A	E
orf19.3087	Candida_albicans@C4_07180W_A	E
orf19.5793	Candida_albicans@C2_03060W_A	E
orf19.2830	Candida_albicans@CR_02710W_A	E
orf19.3462	Candida_albicans@C6_02220W_A	E
orf19.316	Candida_albicans@C3_03170W_A	E
orf19.941	Candida_albicans@C5_00480C_A	E
orf19.4993	Candida_albicans@C1_13580W_A	E
orf19.3031	Candida_albicans@C1_03340C_A	E
orf19.2735	Candida_albicans@C4_02640C_A	E
orf19.1480	Candida_albicans@C2_01690W_A	E
orf19.144	Candida_albicans@C2_04640C_A	E
orf19.76	Candida_albicans@C6_04160C_A	E
orf19.1837	Candida_albicans@C1_10660W_A	E
orf19.4029	Candida_albicans@C5_05340W_A	E
orf19.6828.1	Candida_albicans@C3_06750W_A	E
orf19.1280	Candida_albicans@C5_04090C_A	E
orf19.7454	Candida_albicans@C3_06650C_A	E
orf19.801	Candida_albicans@C2_04200W_A	E
orf19.5297	Candida_albicans@C4_04120C_A	E
orf19.3585	Candida_albicans@C2_08840W_A	E
orf19.3673	Candida_albicans@C1_02160W_A	E
orf19.2694	Candida_albicans@C4_02980W_A	E
orf19.5226	Candida_albicans@C1_12380C_A	E
orf19.3341	Candida_albicans@C1_01530C_A	E
orf19.3951	Candida_albicans@C5_04660C_A	E
orf19.2622	Candida_albicans@CR_07520C_A	E
orf19.5486	Candida_albicans@C2_06230W_A	E
orf19.4754	Candida_albicans@C1_08980C_A	E
orf19.955	Candida_albicans@C5_00340W_A	E
orf19.6385	Candida_albicans@CR_08210C_A	E
orf19.5906	Candida_albicans@C3_04520C_A	E
orf19.3391	Candida_albicans@C6_01910W_A	E
orf19.1607	Candida_albicans@C3_02370C_A	E
orf19.1170	Candida_albicans@C1_11500C_A	E
orf19.3027	Candida_albicans@C1_03310W_A	E
orf19.7678	Candida_albicans@CR_10850C_A	E
orf19.2528	Candida_albicans@CR_01420W_A	E
orf19.5232	Candida_albicans@C1_12310C_A	E
orf19.4252	Candida_albicans@C5_02440C_A	E
orf19.2288	Candida_albicans@C2_07310W_A	E
orf19.5691	Candida_albicans@C5_00070W_A	E
orf19.1792	Candida_albicans@C4_05340W_A	E
orf19.3856	Candida_albicans@CR_06050W_A	E
orf19.485	Candida_albicans@CR_04020C_A	E
orf19.1988	Candida_albicans@CR_07720C_A	E
orf19.2560	Candida_albicans@CR_01690C_A	E
orf19.1279	Candida_albicans@C5_04100W_A	E
orf19.4799	Candida_albicans@C1_09370W_A	E
orf19.1261	Candida_albicans@C4_05760W_A	E
orf19.2609	Candida_albicans@CR_02090C_A	E
orf19.5008.1	Candida_albicans@C1_13710C_A	E
orf19.6652	Candida_albicans@CR_05630W_A	E
orf19.6702	Candida_albicans@C7_03670W_A	E
orf19.2090	Candida_albicans@C2_00410C_A	E
orf19.5356	Candida_albicans@C2_10740C_A	E
orf19.2756	Candida_albicans@C4_02460W_A	E
orf19.3957	Candida_albicans@C5_04720C_A	E
orf19.2960	Candida_albicans@C1_02710W_A	E
orf19.6776	Candida_albicans@C3_07250W_A	E
orf19.407	Candida_albicans@C1_08600C_A	E
orf19.7261	Candida_albicans@C1_14440C_A	E
orf19.1618	Candida_albicans@C3_02280C_A	E
orf19.721	Candida_albicans@CR_06450W_A	E
orf19.4813	Candida_albicans@C1_09490C_A	E
orf19.1236	Candida_albicans@C4_05550C_A	E
orf19.2712	Candida_albicans@C4_02830C_A	E
orf19.3476	Candida_albicans@C6_02340W_A	E
orf19.4775	Candida_albicans@C1_09170W_B	E
orf19.2675	Candida_albicans@C4_03150W_A	E
orf19.2775	Candida_albicans@C4_02280W_A	E
orf19.603	Candida_albicans@CR_07950W_A	E
orf19.3474	Candida_albicans@C6_02320C_B	E
orf19.6165	Candida_albicans@C3_00880W_A	E
orf19.418	Candida_albicans@C1_05460W_A	E
orf19.512	Candida_albicans@CR_04240C_A	E
orf19.661	Candida_albicans@C1_11420W_A	E
orf19.5027	Candida_albicans@C1_13900C_A	E
orf19.6127	Candida_albicans@CR_07400C_A	E
orf19.5244	Candida_albicans@C1_12200W_A	E
orf19.1901	Candida_albicans@C2_07350W_A	E
orf19.2611	Candida_albicans@CR_02110W_A	E
orf19.6909	Candida_albicans@C7_01290W_A	E
orf19.7383	Candida_albicans@C3_06020W_A	E
orf19.7293	Candida_albicans@CR_08960C_A	E
orf19.2214	Candida_albicans@C2_07680W_A	E
orf19.494	Candida_albicans@CR_04110W_A	E
orf19.2688	Candida_albicans@C4_03030C_A	E
orf19.7081	Candida_albicans@C7_00390W_A	E
orf19.6955	Candida_albicans@C3_03650W_A	E
orf19.5850	Candida_albicans@CR_05520W_A	E
orf19.7197	Candida_albicans@C7_03850W_A	E
orf19.1902	Candida_albicans@C2_07340W_A	E
orf19.5959	Candida_albicans@C3_04900W_A	E
orf19.501	Candida_albicans@CR_04170W_A	E
