query id	uniprot id	identity
Zygosaccharomyces_rouxii@Seq_1	tr|C5DRU4|C5DRU4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_10	tr|C5DR59|C5DR59_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_100	tr|C5DV84|C5DV84_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1000	tr|C5DZD9|C5DZD9_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1001	tr|C5DV22|C5DV22_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1002	tr|C5DUW6|C5DUW6_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1004	tr|C5DWV5|C5DWV5_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1005	tr|C5DQI0|C5DQI0_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1006	tr|C5DUP1|C5DUP1_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1007	tr|C5E1R6|C5E1R6_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1008	tr|C5DUG1|C5DUG1_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1009	tr|C5DU01|C5DU01_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_101	tr|C5DYL3|C5DYL3_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1010	tr|C5DV86|C5DV86_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1011	tr|C5E3V8|C5E3V8_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1012	tr|C5E045|C5E045_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1013	tr|C5DRA9|C5DRA9_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1014	tr|C5E0W6|C5E0W6_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1015	tr|C5DYI2|C5DYI2_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1016	tr|C5DYI9|C5DYI9_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1017	tr|C5DQM4|C5DQM4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1018	tr|C5DPY3|C5DPY3_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1019	sp|C5E1C0|MTC2_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_102	tr|C5E077|C5E077_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1020	tr|C5DYT4|C5DYT4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1021	tr|C5DQZ6|C5DQZ6_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1022	tr|C5DUQ7|C5DUQ7_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1023	tr|C5DSI4|C5DSI4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1024	tr|C5DRH8|C5DRH8_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1025	tr|C5DU60|C5DU60_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1026	tr|C5DZG3|C5DZG3_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1027	tr|C5E4V7|C5E4V7_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1028	tr|C5DUT7|C5DUT7_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1029	tr|C5DWP4|C5DWP4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_103	tr|C5DT39|C5DT39_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1030	tr|C5DQU3|C5DQU3_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1031	tr|C5DS25|C5DS25_ZYGRC	99.821
Zygosaccharomyces_rouxii@Seq_1032	tr|C5E0C5|C5E0C5_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1033	tr|C5DUJ7|C5DUJ7_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1034	tr|C5DPA2|C5DPA2_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1035	tr|C5E480|C5E480_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1036	tr|C5DRY3|C5DRY3_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1037	tr|C5DQ95|C5DQ95_ZYGRC	97.727
Zygosaccharomyces_rouxii@Seq_1038	tr|C5DYD5|C5DYD5_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1039	tr|C5DWH1|C5DWH1_ZYGRC	99.53299999999999
Zygosaccharomyces_rouxii@Seq_104	tr|C5DV72|C5DV72_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1040	tr|C5DXG7|C5DXG7_ZYGRC	99.40799999999999
Zygosaccharomyces_rouxii@Seq_1041	tr|C5DRN4|C5DRN4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1042	tr|C5E0S4|C5E0S4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1043	tr|C5DVK3|C5DVK3_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1044	tr|C5DRY5|C5DRY5_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1045	tr|C5E0Z3|C5E0Z3_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1046	tr|C5E3W8|C5E3W8_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1047	tr|C5DST7|C5DST7_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1048	tr|C5DS17|C5DS17_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1049	tr|C5DTI0|C5DTI0_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_105	tr|C5E0M4|C5E0M4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1050	tr|C5DSB7|C5DSB7_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1051	tr|C5DVG1|C5DVG1_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1052	tr|C5DWZ6|C5DWZ6_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1053	tr|C5DY23|C5DY23_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1054	tr|C5DW32|C5DW32_ZYGRC	99.773
Zygosaccharomyces_rouxii@Seq_1055	tr|C5DX46|C5DX46_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1057	tr|C5DQL8|C5DQL8_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1058	tr|C5DZB4|C5DZB4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1059	tr|C5DV03|C5DV03_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_106	tr|C5DZG7|C5DZG7_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1060	tr|C5DU44|C5DU44_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1061	tr|C5DRC2|C5DRC2_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1062	tr|C5DZJ9|C5DZJ9_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1063	tr|C5DNX9|C5DNX9_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1064	tr|C5DT94|C5DT94_ZYGRC	99.76899999999999
Zygosaccharomyces_rouxii@Seq_1065	tr|C5DYJ2|C5DYJ2_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1066	tr|C5E0Z4|C5E0Z4_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1067	tr|C5DPA7|C5DPA7_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1068	tr|C5E046|C5E046_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1069	tr|C5DVB9|C5DVB9_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_107	tr|C5DUA3|C5DUA3_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1070	tr|C5DYG7|C5DYG7_ZYGRC	100.0
Zygosaccharomyces_rouxii@Seq_1071	tr|C5DW39|C5DW39_ZYGRC	100.0
