sce:YNL113W	ko:K03020
sce:YNL130C	ko:K00994
sce:YNL141W	ko:K01488
sce:YNL151C	ko:K03024
sce:YNL162W	ko:K02929
sce:YNL169C	ko:K01613
sce:YNL172W	ko:K03348
sce:YNL178W	ko:K02985
sce:YNL192W	ko:K00698
sce:YNL220W	ko:K01939
sce:YNL241C	ko:K00036
sce:YNL247W	ko:K01883
sce:YNL248C	ko:K03005
sce:YNL261W	ko:K02607
sce:YNL277W	ko:K00641
sce:YNL301C	ko:K02883
sce:YNL302C	ko:K02966
sce:YML013W	ko:K14013
sce:YKL213C	ko:K14018
sce:YGL166W	ko:K09281
sce:YKL070W	ko:K07734
sce:YPL097W	ko:K01866
sce:YPL104W	ko:K01876
sce:YPL117C	ko:K01823
sce:YPL122C	ko:K03144
sce:YPL129W	ko:K03140
sce:YPL131W	ko:K02932
sce:YPL132W	ko:K02258
sce:YPL143W	ko:K02917
sce:YPL154C	ko:K01381
sce:YPL160W	ko:K01869
sce:YPL172C	ko:K02257
sce:YPL198W	ko:K02937
sce:YPL210C	ko:K03108
sce:YPL220W	ko:K02865
sce:YPL228W	ko:K01098
sce:YPL237W	ko:K03238
sce:YPL243W	ko:K03107
sce:YPL249C-A	ko:K02920
sce:YPL262W	ko:K01679
sce:YPR006C	ko:K01637
sce:YPR010C	ko:K03002
sce:YPR016C	ko:K03264
sce:YPR026W	ko:K01194
sce:YPR033C	ko:K01892
sce:YPR035W	ko:K01915
sce:YPR041W	ko:K03262
sce:YPR043W	ko:K02921
sce:YPR047W	ko:K01889
sce:YPR056W	ko:K03143
sce:YPR060C	ko:K01850
sce:YPR069C	ko:K00797
sce:YPR080W	ko:K03231
sce:YPR081C	ko:K01880
sce:YPR086W	ko:K03124
sce:YPR088C	ko:K03106
sce:YPR102C	ko:K02868
sce:YPR103W	ko:K02737
sce:YPR108W	ko:K03037
sce:YPR110C	ko:K03027
sce:YPR119W	ko:K02220
sce:YPR122W	ko:K01422
sce:YPR132W	ko:K02973
sce:YPR145W	ko:K01953
sce:YPR160W	ko:K00688
sce:YPR162C	ko:K02606
sce:YPR163C	ko:K03258
sce:YPR183W	ko:K00721
sce:YPR187W	ko:K03014
sce:YPR190C	ko:K03023
sce:YHR074W	ko:K01950
sce:YMR293C	ko:K02433
sce:YGL008C	ko:K01535
sce:YGL012W	ko:K00223
sce:YHR113W	ko:K01267
sce:YDR093W	ko:K01530
sce:YDR039C	ko:K01536
sce:YNR034W	ko:K01057
sce:YER183C	ko:K01934
sce:YNL280C	ko:K00222
sce:YHR063C	ko:K00077
sce:YDR009W	ko:K00849
sce:YNR003C	ko:K03025
sce:YNR012W	ko:K00876
sce:YNR019W	ko:K00637
sce:YNR028W	ko:K01802
sce:YNR043W	ko:K01597
sce:YNR057C	ko:K01935
sce:YNR058W	ko:K00833
sce:YOL005C	ko:K03008
sce:YOL006C	ko:K03163
sce:YOL023W	ko:K02519
sce:YOL033W	ko:K01885
sce:YOL038W	ko:K02731
sce:YOL039W	ko:K02943
sce:YOL040C	ko:K02958
sce:YMR300C	ko:K00764
sce:YOL052C	ko:K01611
sce:YOL057W	ko:K01277
sce:YOL058W	ko:K01940
sce:YOL059W	ko:K00006
sce:YOL061W	ko:K00948
sce:YOL096C	ko:K00591
sce:YOL120C	ko:K02883
sce:YMR306W	ko:K00706
sce:YMR314W	ko:K02725
sce:YOL121C	ko:K02966
sce:YOL127W	ko:K02893
sce:YOL136C	ko:K00900
sce:YOL139C	ko:K03259
sce:YOL140W	ko:K00818
sce:YMR323W	ko:K01689
sce:YNL002C	ko:K02937
sce:YOR040W	ko:K01069
sce:YNL009W	ko:K00031
sce:YOR063W	ko:K02925
sce:YOR095C	ko:K01807
sce:YNL014W	ko:K03235
sce:YOR096W	ko:K02993
sce:YOR116C	ko:K03018
sce:YOR117W	ko:K03065
sce:YOR133W	ko:K03234
sce:YOR136W	ko:K00030
sce:YOR143C	ko:K00949
sce:YOR151C	ko:K03010
sce:YOR157C	ko:K02739
sce:YOR167C	ko:K02979
sce:YOR168W	ko:K01886
sce:YOR176W	ko:K01772
sce:YOR182C	ko:K02983
sce:YOR187W	ko:K02358
sce:YOR190W	ko:K01210
sce:YOR194C	ko:K03122
sce:YOR202W	ko:K01693
sce:YOR207C	ko:K03021
sce:YOR209C	ko:K00763
sce:YOR210W	ko:K03007
sce:YOR224C	ko:K03016
sce:YNL037C	ko:K00030
sce:YOR234C	ko:K02917
sce:YOR241W	ko:K01930
sce:YOR249C	ko:K03352
sce:YHR062C	ko:K03539
sce:YAL033W	ko:K03537
sce:YIR015W	ko:K03540
sce:YPL226W	ko:K03235
sce:YMR281W	ko:K03434
sce:YMR234W	ko:K03469
sce:YNL102W	ko:K02320
sce:YBL035C	ko:K02321
sce:YDL102W	ko:K02327
sce:YJR006W	ko:K02328
sce:YNL262W	ko:K02324
sce:YPR175W	ko:K02325
sce:YOR330C	ko:K02332
sce:YPL167C	ko:K02350
sce:YJR043C	ko:K03504
sce:YDR419W	ko:K03509
sce:YOL115W	ko:K03514
sce:YEL055C	ko:K02331
sce:YOR346W	ko:K03515
sce:YIL139C	ko:K03508
sce:YJL090C	ko:K03507
sce:YGR207C	ko:K03521
sce:YPR004C	ko:K03522
sce:YBL055C	ko:K03424
sce:YPL086C	ko:K07739
sce:YOR232W	ko:K03687
sce:YMR023C	ko:K03650
sce:YOR298C-A	ko:K03627
sce:YHR193C	ko:K03626
sce:YML021C	ko:K03648
sce:YHR026W	ko:K03661
sce:YEL027W	ko:K02155
sce:YPL234C	ko:K02155
sce:YHR069C	ko:K03679
sce:YMR239C	ko:K03685
sce:YOL142W	ko:K03681
sce:YDR280W	ko:K03678
sce:YGR083C	ko:K03680
sce:YLR291C	ko:K03754
sce:YHR007C	ko:K05917
sce:YDL205C	ko:K01749
sce:YDR256C	ko:K03781
sce:YLR209C	ko:K03783
sce:YBR110W	ko:K03842
sce:YGL065C	ko:K03843
sce:YNL048W	ko:K03844
sce:YBL082C	ko:K03845
sce:YNL219C	ko:K03846
sce:YNR030W	ko:K03847
sce:YOR002W	ko:K03848
sce:YOR067C	ko:K03849
sce:YGR227W	ko:K03850
sce:YBR199W	ko:K03854
sce:YIL085C	ko:K03854
sce:YJL139C	ko:K03854
sce:YKR061W	ko:K03854
sce:YNL029C	ko:K03854
sce:YGR003W	ko:K03869
sce:YPL175W	ko:K03857
sce:YPL076W	ko:K03859
sce:YDR437W	ko:K03861
sce:YNL038W	ko:K03858
sce:YGR216C	ko:K03860
sce:YLR164W	ko:K00237
sce:YMR118C	ko:K00236
sce:YKL141W	ko:K00236
sce:YDR178W	ko:K00237
sce:YJL045W	ko:K00234
sce:YKL148C	ko:K00234
sce:YLL041C	ko:K00235
sce:YEL024W	ko:K00411
sce:Q0105	ko:K00412
sce:YOR065W	ko:K00413
sce:YBL045C	ko:K00414
sce:YPR191W	ko:K00415
sce:YFR033C	ko:K00416
sce:YDR529C	ko:K00417
sce:YJL166W	ko:K00418
sce:YGR183C	ko:K00419
sce:YHR001W-A	ko:K00420
sce:YGR194C	ko:K00854
sce:YDR294C	ko:K01634
sce:YBR109C	ko:K02183
sce:YDL092W	ko:K03104
sce:YHR068W	ko:K00809
sce:YPL036W	ko:K01535
sce:YLR009W	ko:K02896
sce:YPL271W	ko:K02135
sce:YDL004W	ko:K02134
sce:YJR121W	ko:K02133
sce:YOR356W	ko:K00311
sce:YOR360C	ko:K01120
sce:YBR039W	ko:K02136
sce:YBL099W	ko:K02132
sce:YDR298C	ko:K02137
sce:Q0130	ko:K02128
sce:Q0085	ko:K02126
sce:YPL078C	ko:K02127
sce:Q0080	ko:K02125
sce:YOR361C	ko:K03253
sce:YKL016C	ko:K02138
sce:YOR362C	ko:K02727
sce:YOR368W	ko:K02830
sce:YDR377W	ko:K02139
sce:YLR295C	ko:K02141
sce:YML081C-A	ko:K02142
sce:YOL077W-A	ko:K02143
sce:YPR020W	ko:K02140
sce:YLR447C	ko:K02146
sce:YGR020C	ko:K02151
sce:YKL080W	ko:K02148
sce:YDL185W	ko:K02145
sce:YBR127C	ko:K02147
sce:YOR332W	ko:K02150
sce:YMR054W	ko:K02154
sce:YOR369C	ko:K02951
sce:YOR270C	ko:K02154
sce:YEL051W	ko:K02149
sce:YHR039C-A	ko:K02152
sce:YNL045W	ko:K01254
sce:YNL052W	ko:K02263
sce:YNL062C	ko:K03256
sce:YOR259C	ko:K03064
sce:YOR260W	ko:K03241
sce:YOR261C	ko:K03038
sce:YOR274W	ko:K00791
sce:YNL067W	ko:K02940
sce:YOR276W	ko:K03261
sce:YOR278W	ko:K01719
sce:YOR293W	ko:K02947
sce:YNL069C	ko:K02872
sce:YOR303W	ko:K01956
sce:YOR312C	ko:K02882
sce:YOR317W	ko:K01897
sce:YOR321W	ko:K00728
sce:YOR323C	ko:K00147
sce:YOR335C	ko:K01872
sce:YOR340C	ko:K03004
sce:YOR341W	ko:K02999
sce:YNL071W	ko:K00627
sce:YNL088W	ko:K03164
sce:YNL096C	ko:K02993
sce:YPR036W	ko:K02144
sce:YNR008W	ko:K00679
sce:YPL091W	ko:K00383
sce:YDR353W	ko:K00384
sce:YHR106W	ko:K00384
sce:YPR167C	ko:K00390
sce:YOR374W	ko:K00128
sce:YCR053W	ko:K01733
sce:YOR375C	ko:K00262
sce:YER086W	ko:K01754
sce:YGL148W	ko:K01736
sce:YOR377W	ko:K00664
sce:YOR386W	ko:K01669
sce:YGL055W	ko:K00507
sce:YNL239W	ko:K01372
sce:YBR257W	ko:K03538
sce:YPL017C	ko:K00382
sce:YPR002W	ko:K01720
sce:YCR073W-A	ko:K01057
sce:YKR093W	ko:K03305
sce:YJR019C	ko:K01068
sce:YLR138W	ko:K03316
sce:YPR201W	ko:K03325
sce:YBL084C	ko:K03350
sce:YKL022C	ko:K03353
sce:YHR166C	ko:K03355
sce:YGL240W	ko:K03357
sce:YFR036W	ko:K03359
sce:YGL003C	ko:K03364
sce:YER154W	ko:K03217
sce:YBR249C	ko:K01626
sce:YDR035W	ko:K01626
sce:YNL104C	ko:K01649
sce:YMR108W	ko:K01652
sce:YCL009C	ko:K01653
sce:YIR031C	ko:K01638
sce:YNL117W	ko:K01638
sce:YDL131W	ko:K01655
sce:YDL182W	ko:K01655
sce:YML126C	ko:K01641
sce:YCR005C	ko:K01647
sce:YNR001C	ko:K01647
sce:YPR001W	ko:K01647
sce:YGR012W	ko:K01738
sce:YJR130C	ko:K01739
sce:YPL040C	ko:K01870
sce:YPL048W	ko:K03233
sce:YPL061W	ko:K00128
sce:YPL079W	ko:K02889
sce:YPL081W	ko:K02997
sce:YPL090C	ko:K02991
sce:YML082W	ko:K01739
sce:YKL190W	ko:K06268
sce:YLR433C	ko:K04348
sce:YML057W	ko:K04348
sce:YJL134W	ko:K04716
sce:YKR053C	ko:K04717
sce:YML091C	ko:K14533
sce:YGL202W	ko:K00838
sce:YHR137W	ko:K05821
sce:YPL212C	ko:K06173
sce:YKL217W	ko:K08178
sce:YCL038C	ko:K06902
sce:YML085C	ko:K07374
sce:YFL037W	ko:K07375
sce:YNL330C	ko:K06067
sce:YJL097W	ko:K10703
sce:Q0045	ko:K02256
sce:YDR375C	ko:K08900
sce:YPL051W	ko:K07952
sce:YLR239C	ko:K03801
sce:YBR164C	ko:K07942
sce:YLR293C	ko:K07936
sce:YOR185C	ko:K07936
sce:YLL024C	ko:K03283
sce:YAL005C	ko:K03283
sce:YCL017C	ko:K04487
sce:YLR195C	ko:K00671
sce:YLR234W	ko:K03165
sce:YLR240W	ko:K00914
sce:YLR244C	ko:K01265
sce:YLR245C	ko:K01489
sce:YLR249W	ko:K03235
sce:YLR258W	ko:K00693
sce:YLR264W	ko:K02979
sce:YLR286C	ko:K01183
sce:YLR287C-A	ko:K02983
sce:YLR299W	ko:K00681
sce:YLR300W	ko:K01210
sce:YLR304C	ko:K01681
sce:YLR305C	ko:K00888
sce:YLR307W	ko:K01452
sce:YLR308W	ko:K01452
sce:YLR325C	ko:K02923
sce:YLR333C	ko:K02975
sce:YLR340W	ko:K02941
sce:YLR342W	ko:K00706
sce:YLR344W	ko:K02898
sce:YLR354C	ko:K00616
sce:YLR355C	ko:K00053
sce:YLR359W	ko:K01756
sce:YLR367W	ko:K02957
sce:YLR382C	ko:K01869
sce:YLR388W	ko:K02980
sce:YLR395C	ko:K02272
sce:YLR406C	ko:K02910
sce:YLR432W	ko:K00088
sce:YLR441C	ko:K02984
sce:YLR448W	ko:K02934
sce:YLR450W	ko:K00021
sce:YML004C	ko:K01759
sce:YML008C	ko:K00559
sce:YML015C	ko:K03135
sce:YML024W	ko:K02962
sce:YML026C	ko:K02964
sce:YML035C	ko:K01490
sce:YML042W	ko:K00624
sce:YML054C	ko:K00101
sce:YML056C	ko:K00088
sce:YML063W	ko:K02984
sce:YML065W	ko:K02603
sce:YML070W	ko:K00863
sce:YML073C	ko:K02934
sce:YML075C	ko:K00021
sce:YML092C	ko:K02726
sce:YML098W	ko:K03127
sce:YML105C	ko:K03105
sce:YML106W	ko:K00762
sce:YMR012W	ko:K03255
sce:YMR055C	ko:K02179
sce:YMR105C	ko:K01835
sce:YMR121C	ko:K02877
sce:YMR142C	ko:K02873
sce:YMR143W	ko:K02960
sce:YMR146C	ko:K03246
sce:YMR169C	ko:K00129
sce:YMR170C	ko:K00129
sce:YMR180C	ko:K01098
sce:YMR194W	ko:K02920
sce:YMR205C	ko:K00850
sce:YMR208W	ko:K00869
sce:YMR217W	ko:K01951
sce:YMR227C	ko:K03132
sce:YMR230W	ko:K02947
sce:YMR236W	ko:K03133
sce:YMR242C	ko:K02882
sce:YMR246W	ko:K01897
sce:YMR256C	ko:K02269
sce:YMR260C	ko:K03236
sce:YMR267W	ko:K01507
sce:YMR271C	ko:K00762
sce:YLR377C	ko:K03841
sce:YML123C	ko:K08176
sce:YGL123W	ko:K02981
sce:YGL125W	ko:K00297
sce:YGL130W	ko:K00987
sce:YGL135W	ko:K02865
sce:YGL143C	ko:K02835
sce:YGL147C	ko:K02940
sce:YGL156W	ko:K01191
sce:YGL167C	ko:K01537
sce:YGL187C	ko:K02265
sce:YGL189C	ko:K02976
sce:YGL191W	ko:K02266
sce:YGL201C	ko:K02542
sce:YGL203C	ko:K01288
sce:YGL205W	ko:K00232
sce:YGL245W	ko:K01885
sce:YGL248W	ko:K01120
sce:YGL253W	ko:K00844
sce:YGR005C	ko:K03139
sce:YGR007W	ko:K00967
sce:YGR027C	ko:K02975
sce:YGR032W	ko:K00706
sce:YGR034W	ko:K02898
sce:YGR043C	ko:K00616
