Query ID	Predicted EC number
Spathaspora_hagerdaliae@Seq_2622	EC:3.1.26.5
yHMPu5000034952_Citeromyces_siamensis@Seq_6200	EC:3.5.4.9
yHMPu5000034952_Citeromyces_siamensis@Seq_6200	EC:1.5.1.5
Candida_auris@Seq_2364	EC:5.2.1.8
yHMPu5000034990_Candida_corydali@Seq_2246	EC:5.2.1.8
Saccharomyces_cerevisiae@YLR214W	EC:1.16.1.9
yHMPu5000034674_Blastobotrys_muscicola@Seq_4015	EC:2.5.1.18
Saccharomyces_cerevisiae@YKL067W	EC:2.7.4.6
Saccharomyces_cerevisiae@YMR250W	EC:4.1.1.15
Saccharomyces_cerevisiae@YBR062C	EC:2.3.2.27
yHMPu5000034667_Blastobotrys_serpentis@Seq_4791	EC:1.6.5.3
yHAB166_Kazachstania_yakushimaensis@Seq_4877	EC:2.7.2.11
Candida_versatilis@Seq_5346	EC:3.1.1.1
Saccharomyces_cerevisiae@YDR539W	EC:4.1.1.102
Sclerotinia_sclerotiorum@Seq_13335	EC:2.7.7.48
Saccharomyces_cerevisiae@YHR169W	EC:3.6.4.13
Schizosaccharomyces_pombe@Seq_585	EC:1.14.19.20
Kluyveromyces_lactis@Seq_3912	EC:2.5.1.18
Xylona_heveae@Seq_6090	EC:2.7.11.1
Saccharomyces_cerevisiae@YDL205C	EC:2.5.1.61
Saccharomyces_cerevisiae@Q0085	EC:1.6.5.3
Saccharomyces_cerevisiae@YPL204W	EC:2.7.11.1
Starmerella_bombicola_JCM9596@Seq_1882	EC:3.6.4.13
Neurospora_crassa@Seq_3003	EC:2.3.2.27
yHMPu5000034607_Saccharomycopsis_capsularis@Seq_4674	EC:2.7.11.1
Candida_versatilis@Seq_1154	EC:2.7.11.24
Ascoidea_rubescens@Seq_2114	EC:3.6.4.13
Alloascoidea_hylecoeti@Seq_7496	EC:2.7.7.19
Saccharomyces_cerevisiae@YDR507C	EC:2.7.11.1
yHMPu5000034604_Sporopachydermia_lactativora@Seq_3283	EC:2.7.11.1
Saccharomyces_cerevisiae@YGR256W	EC:1.1.1.44
yHMPu5000041693_Debaryomyces_nepalensis@Seq_3752	EC:2.7.1.191
Arthrobotrys_oligospora@Seq_3376	EC:2.3.2.27
Botrytis_cinerea@Seq_13668	EC:1.10.3.2
Aspergillus_nidulans@Seq_1401	EC:3.2.1.58
Stagonospora_nodorum@Seq_11953	EC:2.3.2.27
Saccharomyces_cerevisiae@YIL078W	EC:6.1.1.3
Sclerotinia_sclerotiorum@Seq_3214	EC:3.1.1.53
Wickerhamiella_domercqiae@Seq_23	EC:2.3.2.27
Lachancea_lanzarotensis@Seq_3493	EC:2.7.7.6
Candida_carpophila@Seq_2926	EC:1.6.5.3
Alloascoidea_hylecoeti@Seq_9092	EC:3.6.1.10
Saccharomyces_cerevisiae@YJL157C	EC:2.3.2.27
Schizosaccharomyces_pombe@Seq_4510	EC:2.7.11.1
Saccharomyces_cerevisiae@YOR323C	EC:1.2.1.41
Saccharomyces_cerevisiae@YLR234W	EC:5.99.1.2
Saccharomyces_cerevisiae@YMR301C	EC:3.6.3.27
Saccharomyces_cerevisiae@YDR530C	EC:2.7.7.53
Candida_apicola@Seq_2135	EC:1.11.1.21
yHMPu5000034742_Lipomyces_suomiensis@Seq_4632	EC:2.3.2.27
Sclerotinia_sclerotiorum@Seq_4893	EC:3.4.11.18
yHMPu5000034883_Peterozyma_xylosa@Seq_257	EC:3.6.4.13
yHMPu5000034667_Blastobotrys_serpentis@Seq_284	EC:3.2.1.21
Saccharomyces_cerevisiae@YCR079W	EC:3.1.3.43
Saccharomyces_cerevisiae@YCR079W	EC:3.1.3.16
yHMPu5000035696_Hanseniaspora_singularis@Seq_1134	EC:3.6.4.13
yHMPu5000035261_Candida_ponderosae@Seq_3017	EC:2.3.2.27
yHMPu5000041829_Debaryomyces_fabryi@Seq_2458	EC:3.6.4.13
Saitoella_complicata@Seq_5840	EC:2.7.11.1
Dekkera_bruxellensis@Seq_4365	EC:3.1.2.12
yHMPu5000034892_Ogataea_pilisensis@Seq_1962	EC:5.2.1.8
Naumovozyma_dairenensis@Seq_2324	EC:2.7.11.1
yHAB148_Kazachstania_intestinalis@Seq_4699	EC:2.3.1.199
Starmerella_bombicola_JCM9596@Seq_3740	EC:2.3.2.27
Candida_versatilis@Seq_5473	EC:2.3.2.27
Saccharomyces_cerevisiae@YBL052C	EC:2.3.1.48
Saccharomyces_cerevisiae@YDL219W	EC:3.1.1.96
Saccharomyces_cerevisiae@YML004C	EC:4.4.1.5
yHMPu5000035244_Candida_incommunis@Seq_5057	EC:2.3.2.27
Candida_glabrata@Seq_1733	EC:2.7.11.1
Sclerotinia_sclerotiorum@Seq_8517	EC:1.9.3.1
Kazachstania_naganishii@Seq_4923	EC:3.4.19.12
yHAB155_Kazachstania_spencerorum@Seq_4598	EC:2.3.1.225
yHMPu5000034952_Citeromyces_siamensis@Seq_235	EC:2.3.1.35
yHMPu5000034952_Citeromyces_siamensis@Seq_235	EC:2.3.1.1
yHMPu5000035665_Middelhovenomyces_tepae@Seq_6431	EC:2.3.2.27
Saitoella_complicata@Seq_3511	EC:2.3.2.27
yHMPu5000034876_Tetrapisispora_iriomotensis@Seq_1959	EC:3.4.11.9
yHMPu5000034661_Dipodascus_albidus@Seq_3608	EC:4.2.1.17
Spathaspora_girioi@Seq_5326	EC:3.2.1.20
Spathaspora_girioi@Seq_5326	EC:3.2.1.23
Saccharomyces_cerevisiae@YGR177C	EC:2.3.1.84
Saccharomyces_cerevisiae@YBL015W	EC:3.1.2.1
yHMPu5000035671_Phaffomyces_antillensis@Seq_3701	EC:2.3.2.27
yHMPu5000026142_Citeromyces_matritensis@Seq_3991	EC:2.7.11.1
Candida_versatilis@Seq_2638	EC:2.7.7.6
yHMPu5000034655_Botryozyma_nematodophila@Seq_4491	EC:1.6.5.3
Stagonospora_nodorum@Seq_7504	EC:3.6.4.12
yHMPu5000035691_Candida_salmanticensis@Seq_3586	EC:3.6.4.13
Metschnikowia_santaceciliae@Seq_5494	EC:2.7.11.1
yHMPu5000035699_Cyberlindnera_maclurae@Seq_1688	EC:2.7.7.6
Saccharomyces_cerevisiae@YPL042C	EC:2.7.11.22
Saccharomyces_cerevisiae@YPL042C	EC:2.7.11.23
Sclerotinia_sclerotiorum@Seq_11967	EC:3.4.24.39
Saccharomyces_cerevisiae@YML078W	EC:5.2.1.8
Saccharomyces_cerevisiae@YJL087C	EC:6.5.1.3
yHMPu5000034952_Citeromyces_siamensis@Seq_6820	EC:4.2.1.20
Saccharomyces_cerevisiae@YGL245W	EC:6.1.1.17
