model	phenotype	nRxns	nMets	nGenes	ec_nRxns	ec_nMets	ec_nEnz	isoenzymes	promiscuous	complexes	RxnWithKcat	gRate	GUR	acExc	EtExc	EtMax	gRate_exp	GUR_exp	EtOH_exp	topProt	topUsage	kcat	rxnName	MW	f_factor
Dekkera_bruxellensis	Normal	3678	2655	992	6125	2789	296	133	179	44	840	0.15434984565	3.54177199609698	1.04060768586024	3.505535055	3.91328021916587	0.147	3.552476742	3.6900369	A0A3F2XYL4	0.110704	1.45	hydroxymethylglutaryl CoA reductase (No1)	116.75244	0.03
Eremothecium_sinecaudum	Heat	3471	2543	772	5959	2732	299	188	185	40	922	0.12284987715	1.59365549353284	0	1.071105e-08	1.0605e-08	0.117	1.554208575	0	A0A120K0N9	0.132677	12.0000768004915	ferrocytochrome-c:oxygen oxidoreductase (No1)	32.71161	0.29
Kluyveromyces_lactis	Normal	3923	2684	960	6732	2915	408	230	250	70	1243	0.26774973225	3.73481769689746	0.0756080428826194	0	1.0604989395e-08	0.255	2.664357557	0	Q6CRB0	0.087209	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.33427	0.66
Kluyveromyces_marxianus	Lipid	3910	2677	1004	6554	2889	319	211	208	56	1063	0.3758996241	6.8640248554764	0.082379891889065	0	7.574992425e-09	0.358	3.71899909	0	W0T8T6	0.115922	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	76.80346	0.44
Komagataella_pastoris	Normal	3811	2663	910	6851	2977	493	313	280	76	1479	0.2813997186	3.79223982792616	2.47862088508031	0.4124158886	0.438462769416792	0.268	2.886387353	0.434121988	C4QX36	0.110862	0.979988632131867	acetohydroxy acid isomeroreductase (No1)	44.30955	0.12
Lachancea_fermentati	Normal	3864	2691	1008	6486	2885	344	193	217	65	989	0.314999685	7.84326827747828	0	9.10956106807946	9.58901165060996	0.3	7.826550323	9.767744736	A0A1G4M8P9	0.116221	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.26449	0.56
Lachancea_thermotolerans	Normal	3930	2678	968	6610	2895	343	216	218	69	1082	0.24044975955	5.79187143182633	0	6.5986542214	7.3661745304441	0.229	5.883789605	6.945951812	C5DIY6	0.122935	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.04515	0.4
Naumovozyma_castellii	Normal	3804	2616	998	6643	2890	341	273	221	59	1156	0.19634980365	10.2044100857891	0	15.6613644574366	16.0820818629339	0.187	10.15786319	14.32602561	G0VBZ8	0.14394	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.23338	0.28
Saccharomyces_eubayanus	Normal	3874	2652	1058	6636	2905	336	252	215	60	1049	0.3401996598	11.422449619645	0.511177284217513	16.2317186299412	17.0860196104645	0.324	11.10148982	17.79900152	A0A0L8RCR8	0.136473	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.34778	0.52
Schizosaccharomyces_pombe	Normal	3324	2530	874	6846	2970	741	439	456	186	2948	0.1280998719	4.63427120242607	1.31003928082398	5.7738224442	6.13848491436	0.122	4.551610826	6.077707836	P54874	0.076577	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	49.23841	0.33
Tetrapisispora_blattae	Normal	3842	2619	979	6705	2901	342	281	225	71	1178	0.146999853	4.85534600635332	0	4.18491209082398	4.1434773176475	0.14	5.106685317	3.907097895	I2H7E2	0.122636	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	52.05737	0.25
Tetrapisispora_phaffii	Normal	3848	2626	979	6830	2971	355	344	226	65	1269	0.10394989605	4.06920150094087	0	6.3924462771	6.79617293000027	0.099	4.94016297	6.728890818	G8BQX2	0.148119	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.97992	0.15
Zygosaccharomyces_rouxii	Normal	3778	2641	922	6318	2824	309	182	193	57	988	0.145818931823815	1.71042818483946	0	0.0338803528371852	0.0356635293023002	0.15	1.665223473	0.217060994	C5DP64	0.186858	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.17533	0.16
yHMPu5000034710_Kluyveromyces_dobzhanskii	Normal	3880	2679	958	6527	2885	326	205	205	57	1073	0.29294970705	4.41874613038609	0.0827240939774542	1.85587149965	1.97308246338556	0.279	4.163058682	1.953548947	A0A0A8L4H2	0.17673	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.10901	0.34
