model	phenotype	nRxns	nMets	nGenes	ec_nRxns	ec_nMets	ec_nEnz	isoenzymes	promiscuous	complexes	RxnWithKcat	gRate	GUR	acExc	EtExc	EtMax	gRate_exp	GUR_exp	EtOH_exp	topProt	topUsage	kcat	rxnName	MW	f_factor
Dekkera_bruxellensis	Normal	3726	2667	997	6964	3057	480	389	304	70	1551	0.148705928941641	8.9330378734276	0	3.37065020904391	3.54805285162517	0.147	3.552476742	3.6900369	P12684	0.285544	0.230005612136936	hydroxymethylglutaryl CoA reductase (No1)	115.69085	0.07
Eremothecium_sinecaudum	Heat	3572	2586	890	5881	2719	238	132	143	32	788	0.118175040762396	1.72946494189767	0	0	0	0.117	1.554208575	0	A0A0X8HU72	0.26194	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	75.27679	0.06
Kluyveromyces_lactis	Normal	3928	2673	1042	6453	2828	335	154	197	57	1008	0.260711389485274	5.02426278026498	0	0	0	0.255	2.664357557	0	Q6CWE9	0.178574	0.230005612136936	hydroxymethylglutaryl CoA reductase (No1)	117.90852	0.2
Kluyveromyces_marxianus	Heat	3923	2674	1035	6365	2821	269	146	170	50	890	0.354199271909953	5.68430579582679	0	0	0	0.358	3.71899909	0	W0T8T6	0.282713	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	76.80346	0.17
Komagataella_pastoris	Normal	3831	2678	829	6822	2897	690	219	394	163	3039	0.264714908666049	11.8251199054587	0.0154164247251536	0.4124158886	0.4558280874	0.268	2.886387353	0.434121988	P38972	0.274293	0.0499996000032	5'-phosphoribosylformyl glycinamidine synthetase (No1)	148.90358	0.33
Lachancea_fermentati	Normal	3873	2674	1046	6236	2794	277	119	171	58	790	0.304501892578999	9.62287929309726	0	8.82090076204797	9.2851586968926	0.3	7.826550323	9.767744736	A0A1G4MAS0	0.134161	18.0001152007373	malate dehydrogenase (No1)	35.77682	0.15
Lachancea_thermotolerans	Normal	3941	2665	1021	6382	2814	281	148	172	60	898	0.230119841204664	7.9744127619563	6.01770609237568	6.28277030997627	6.61344243155397	0.229	5.883789605	6.945951812	C5DHV1	0.148398	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	76.65242	0.21
Naumovozyma_castellii	Normal	3836	2615	985	6157	2730	264	114	165	46	784	0.188268957768089	8.62388261896369	1.37438442684083	12.9463901808576	13.6277791377448	0.187	10.15786319	14.32602561	G0VBZ8	0.175657	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.23338	0.22
Saccharomyces_eubayanus	Normal	3887	2644	1022	6147	2736	243	91	150	39	711	0.322855337817483	115.538453245166	0	16.0838992992881	16.9304203150402	0.324	11.10148982	17.79900152	A0A0L8RJY3	0.223618	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	78.4081	0.2
Schizosaccharomyces_pombe	Pombe	3380	2547	936	6929	2985	835	437	502	199	2918	0.122334851958643	7.37980702018724	2.06867266620679	6.3815932278	6.3815932278	0.122	4.551610826	6.077707836	Q10283	0.17109	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No2)	114.87625	0.8
Tetrapisispora_blattae	Normal	3889	2625	979	6203	2744	264	118	165	60	782	0.135421455124804	4.55306686850039	0	3.5343384500133	3.72035626317189	0.14	5.106685317	3.907097895	I2H7E2	0.188294	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	52.05737	0.15
Tetrapisispora_phaffii	Normal	3879	2627	1014	6323	2780	290	152	182	54	899	0.100393747785589	4.7223349266547	1.81396610840482	6.08250981819392	6.40264191388834	0.099	4.94016297	6.728890818	G8BQX2	0.149338	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.97992	0.14
Zygosaccharomyces_rouxii	Normal	3812	2644	1003	6160	2763	265	118	167	57	822	0.150825311480179	2.47330024939745	0	0.2062079443	0.22210301602177	0.15	1.665223473	0.217060994	C5DP64	0.154619	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.17533	0.2
yHMPu5000034710_Kluyveromyces_dobzhanskii	Normal	3886	2668	1042	6312	2804	277	135	169	53	887	0.284939748218559	65.1071287432619	0	1.78492802193731	1.87887160203927	0.279	4.163058682	1.953548947	A0A0A8L6I0	0.192186	0.0223007207592949	tryptophan synthase (indoleglycerol phosphate) (No1)	76.35403	0.2
