model	phenotype	nRxns	nMets	nGenes	ec_nRxns	ec_nMets	ec_nEnz	isoenzymes	promiscuous	complexes	RxnWithKcat	gRate	GUR	acExc	EtExc	EtMax	gRate_exp	GUR_exp	EtOH_exp	topProt	topUsage	kcat	rxnName	MW	f_factor
Dekkera_bruxellensis	Normal	3678	2655	992	6125	2789	296	133	179	44	840	0.140394216245492	6.44094882504322	0.0403168565331108	10.4737671877179	10.586950184345	0.147	3.552476742	3.6900369	A0A3F2XYL4	0.604169	0.145	hydroxymethylglutaryl CoA reductase (No1)	116.75244	0.05
Eremothecium_sinecaudum	Heat	3471	2543	772	5959	2732	299	188	185	40	922	0.119525351464775	7.16450995949624	0	12.4970352125117	12.5232666012389	0.117	1.554208575	0	A0A0X8HUP6	0.385373	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No1)	114.71899	0.21
Kluyveromyces_lactis	Normal	3923	2684	960	6732	2915	408	230	250	70	1243	0.255176525548142	13.5175951507447	0	23.121084765174	23.1621336679928	0.255	2.664357557	0	Q6CWE9	0.478857	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No1)	117.90852	0.73
Kluyveromyces_marxianus	Lipid	3910	2677	1004	6554	2889	319	211	208	56	1063	0.354428003215816	7.19743930451183	7.41148982385626	0	0.0454114276274887	0.358	3.71899909	0	W0TAT2	0.193074	0.0533336746688512	PS decarboxylase (1-16:0, 2-16:1), mitochondrial membrane (No1)	59.08834	0.44
Komagataella_pastoris	Normal	3811	2663	910	6851	2977	493	313	280	76	1479	0.264722583758351	23.1784383189953	0.0769086910650095	0.0253440728423172	0.0266779714129655	0.268	2.886387353	0.434121988	C4QYT3	0.447924	0.0499996000032	5'-phosphoribosylformyl glycinamidine synthetase (No1)	147.36622	0.2
Lachancea_fermentati	Normal	3864	2691	1008	6486	2885	344	193	217	65	989	0.301733811896768	13.7630899228403	0	21.9695258195582	22.0627354633473	0.3	7.826550323	9.767744736	A0A1G4M6A5	0.550358	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No1)	114.60435	0.73
Lachancea_thermotolerans	Normal	3930	2678	968	6610	2895	343	216	218	69	1082	0.227178924535981	12.1417257689814	0	20.851162055267	20.9253452232403	0.229	5.883789605	6.945951812	C5DFP3	0.545427	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No1)	113.65488	0.55
Naumovozyma_castellii	Normal	3804	2616	998	6643	2890	341	273	221	59	1156	0.18777707020811	11.4144915767567	0	17.2410310966122	17.2814807266888	0.187	10.15786319	14.32602561	G0V6T0	0.532313	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No1)	117.1178	0.48
Saccharomyces_eubayanus	Normal	3874	2652	1058	6636	2905	336	252	215	60	1049	0.322091090443423	17.7045936762636	0	29.0167433657813	29.1416429296481	0.324	11.10148982	17.79900152	A0A0L8RDJ9	0.546369	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No1)	108.04288	0.74
Schizosaccharomyces_pombe	Normal	3324	2530	874	6846	2970	741	439	456	186	2948	0.120908965987878	5.91026643023042	6.6729855217187	3.32112263148096	3.49591855945364	0.122	4.551610826	6.077707836	O14160	0.199245	0.0739990883312318	valyl-tRNA synthetase (No1)	109.62571	0.33
Tetrapisispora_blattae	Normal	3842	2619	979	6705	2901	342	281	225	71	1178	0.141852996530547	7.58631126672833	0	13.0142275554545	13.0638555566895	0.14	5.106685317	3.907097895	I2H574	0.546949	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No1)	122.79105	0.37
Tetrapisispora_phaffii	Normal	3848	2626	979	6830	2971	355	344	226	65	1269	0.0980697183684821	1.7101629956577	1.86172761894065	0.0348921818637037	0.0367286124881092	0.099	4.94016297	6.728890818	G8BPA1	0.562142	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No1)	118.40755	0.24
Zygosaccharomyces_rouxii	Normal	3778	2641	922	6318	2824	309	182	193	57	988	0.154465838744778	1.81013264735103	0	0.0293440563905406	0.0308884804110954	0.15	1.665223473	0.217060994	C5DP64	0.186295	0.066699749742539	hydroxymethylglutaryl CoA synthase (No1)	51.17533	0.17
yHMPu5000034710_Kluyveromyces_dobzhanskii	Normal	3880	2679	958	6527	2885	326	205	205	57	1073	0.277196260228913	4.88318269094054	5.25927015230352	0.223316966360005	0.235070490905268	0.279	4.163058682	1.953548947	A0A0A8KZR9	0.568296	0.0230005612136936	hydroxymethylglutaryl CoA reductase (No1)	116.46308	0.66
