Query ID	Predicted EC number
Spathaspora_gorwiae@Seq_696	EC:3.1.26.5
Saccharomyces_cerevisiae@YHR190W	EC:2.5.1.21
Candida_carpophila@Seq_4615	EC:1.11.1.9
Metschnikowia_santaceciliae@Seq_3633	EC:1.6.5.3
Aspergillus_nidulans@Seq_6498	EC:3.2.1.96
Saitoella_complicata@Seq_4414	EC:2.3.2.27
Saccharomyces_cerevisiae@YOL097C	EC:6.1.1.2
Neurospora_crassa@Seq_4441	EC:2.5.1.18
yHMPu5000041862_Candida_golubevii@Seq_2788	EC:5.2.1.8
Lachancea_quebecensis@Seq_4414	EC:2.3.2.27
yHMPu5000035684_Kloeckera_hatyaiensis@Seq_1630	EC:2.3.2.27
Saccharomyces_cerevisiae@YJL121C	EC:5.1.3.1
Saccharomyces_cerevisiae@YLR148W	EC:2.3.2.27
Saccharomyces_cerevisiae@YKL218C	EC:4.3.1.19
yHMPu5000034604_Sporopachydermia_lactativora@Seq_1160	EC:2.7.11.1
Saccharomyces_cerevisiae@YKR034W	EC:2.3.2.27
Saccharomyces_cerevisiae@YDL120W	EC:1.16.3.1
Schizosaccharomyces_pombe@Seq_4906	EC:1.1.1.6
Arthrobotrys_oligospora@Seq_9997	EC:3.2.1.15
Ascoidea_asiatica@Seq_5412	EC:2.7.11.1
Schizosaccharomyces_pombe@Seq_4302	EC:2.3.2.26
yHMPu5000034933_Kuraishia_molischiana@Seq_5284	EC:5.2.1.8
yHMPu5000034674_Blastobotrys_muscicola@Seq_384	EC:2.7.7.6
Arthrobotrys_oligospora@Seq_2712	EC:3.2.1.4
yHMPu5000034884_Peterozyma_toletana@Seq_3803	EC:5.2.1.8
Saccharomyces_cerevisiae@YOR074C	EC:2.1.1.45
Saccharomyces_cerevisiae@YBR237W	EC:3.6.4.13
yHMPu5000034884_Peterozyma_toletana@Seq_6101	EC:2.3.2.27
Saccharomyces_cerevisiae@YNR047W	EC:2.7.11.1
yHMPu5000034674_Blastobotrys_muscicola@Seq_2898	EC:1.16.3.1
Saccharomyces_cerevisiae@YHR164C	EC:3.6.4.12
Saccharomyces_cerevisiae@YDL230W	EC:3.1.3.48
yHMPu5000034667_Blastobotrys_serpentis@Seq_5875	EC:2.1.1.197
Arthrobotrys_oligospora@Seq_6780	EC:2.7.11.1
yHMPu5000034674_Blastobotrys_muscicola@Seq_2313	EC:2.7.7.48
Saccharomyces_cerevisiae@YKR002W	EC:2.7.7.19
yHMPu5000034655_Botryozyma_nematodophila@Seq_2861	EC:2.7.7.6
Saccharomyces_cerevisiae@YMR099C	EC:5.1.3.15
Saccharomyces_cerevisiae@YDR394W	EC:3.6.4.12
Saccharomyces_cerevisiae@YBL082C	EC:2.4.1.258
Saccharomyces_cerevisiae@YBL088C	EC:2.7.7.48
yHMPu5000035665_Middelhovenomyces_tepae@Seq_983	EC:2.7.11.1
Saccharomyces_cerevisiae@YCR069W	EC:5.2.1.8
Saccharomyces_cerevisiae@YLR109W	EC:1.11.1.15
yHMPu5000034660_Diddensiella_caesifluorescens@Seq_452	EC:3.1.26.5
Saccharomyces_cerevisiae@YPL031C	EC:2.7.11.22
yHMPu5000035244_Candida_incommunis@Seq_3258	EC:2.3.2.27
Sclerotinia_sclerotiorum@Seq_4334	EC:3.5.1.10
yHMPu5000041822_Dipodascus_geniculatus@Seq_4014	EC:3.4.16.5
Saccharomyces_cerevisiae@YJL001W	EC:3.4.25.1
yHMPu5000034862_Zygotorulaspora_florentina@Seq_718	EC:2.1.1.79
Saccharomyces_cerevisiae@YML092C	EC:3.4.25.1
yHMPu5000035681_Candida_gotoi@Seq_556	EC:2.7.7.6
Candida_apicola@Seq_2129	EC:2.3.2.27
Saccharomyces_cerevisiae@YDR518W	EC:5.3.4.1
Saitoella_complicata@Seq_6491	EC:1.14.19.6
yHMPu5000034661_Dipodascus_albidus@Seq_5169	EC:2.3.1.225
yHMPu5000034952_Citeromyces_siamensis@Seq_4021	EC:2.1.1.201
Lipomyces_starkeyi@Seq_8757	EC:1.3.5.2
yHMPu5000034952_Citeromyces_siamensis@Seq_10568	EC:3.1.3.16
Saccharomyces_cerevisiae@YLR362W	EC:2.7.11.25
Saccharomyces_cerevisiae@YHR082C	EC:2.7.11.1
Kluyveromyces_marxianus@Seq_3813	EC:6.3.3.3
yHMPu5000034661_Dipodascus_albidus@Seq_1733	EC:2.3.2.27
yHMPu5000026142_Citeromyces_matritensis@Seq_7100	EC:3.1.26.5
Saccharomyces_cerevisiae@YBL022C	EC:3.4.21.53
yHMPu5000034884_Peterozyma_toletana@Seq_6120	EC:2.6.1.1
yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_7844	EC:2.3.2.27
yHMPu5000035282_Trigonopsis_vinaria@Seq_1766	EC:3.2.1.101
yHMPu5000035629_Yueomyces_sinensis@Seq_1631	EC:2.7.7.48
yHMPu5000034673_Blastobotrys_nivea@Seq_2521	EC:3.1.26.5
Metschnikowia_lockheadii@Seq_6288	EC:4.2.1.33
yHMPu5000035045_Barnettozyma_hawaiiensis@Seq_3720	EC:2.7.7.6
Saccharomyces_cerevisiae@YDL188C	EC:3.1.3.16
Pachysolen_tannophilus@Seq_769	EC:1.9.3.1
Saccharomyces_cerevisiae@YER170W	EC:2.7.4.10
yHMPu5000041822_Dipodascus_geniculatus@Seq_4075	EC:3.1.3.16
yHMPu5000034625_Pichia_kudriavzevii@Seq_2313	EC:3.2.1.17
Saccharomyces_cerevisiae@YBR020W	EC:2.7.1.6
Saccharomyces_cerevisiae@YOR346W	EC:2.7.7.7
Saccharomyces_cerevisiae@YOR346W	EC:2.7.7.48
Saccharomyces_cerevisiae@YIL125W	EC:1.2.4.2
Saccharomyces_cerevisiae@YMR120C	EC:3.5.4.10
Saccharomyces_cerevisiae@YMR120C	EC:2.1.2.3
Saccharomyces_cerevisiae@YBL033C	EC:3.5.4.25
Saccharomyces_cerevisiae@YDR256C	EC:1.11.1.6
Schizosaccharomyces_pombe@Seq_1613	EC:2.7.13.3
Saitoella_complicata@Seq_463	EC:3.6.4.12
Yarrowia_lipolytica@Seq_2497	EC:1.6.5.2
yHAB155_Kazachstania_spencerorum@Seq_3864	EC:1.14.99.29
Saccharomyces_cerevisiae@YMR127C	EC:2.3.1.48
yHMPu5000034661_Dipodascus_albidus@Seq_333	EC:1.6.5.3
Saccharomyces_cerevisiae@YKR069W	EC:2.1.1.107
Saccharomyces_cerevisiae@YDL080C	EC:4.1.1.1
Saccharomyces_cerevisiae@YNL298W	EC:2.7.11.1
