"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Pathways of gene"	"Reactions of gene"	"Citations"	"Accession-1"	"Accession-2"
G3O-33694	"YOR183W"	678872	679261	G3O-33694-MONOMER	""	""		"YOR183W"	
G3O-29625	"YDR003W"	454122	454754	G3O-29625-MONOMER	""	""		"YDR003W"	
G3O-31171	"YHR133C"	370722	371597	G3O-31171-MONOMER	""	""		"YHR133C"	
G3O-29712	"YDR110W"	676102	677802	G3O-29712-MONOMER	""	""		"YDR110W"	
G3O-34173	"YPR011C"	583062	584042	G3O-34173-MONOMER	""	""		"YPR011C"	
G3O-31662	"YJR022W"	469784	470113	G3O-31662-MONOMER	""	""		"YJR022W"	
YGL155W	"YGL155W"	214081	215211	YGL155W-MONOMER	""	RXN-3701		"YGL155W"	
G3O-30184	"YEL069C"	21537	23231	G3O-30184-MONOMER	""	""		"YEL069C"	
G3O-32156	"YLL057C"	25756	26994	G3O-32156-MONOMER	""	""		"YLL057C"	
YPL019C	"YPL019C"	514511	517018	YPL019C-MONOMER	""	""		"YPL019C"	
G3O-32676	"YML088W"	92235	94241	G3O-32676-MONOMER	""	""		"YML088W"	
G3O-29118	"YBR170C"	576344	578086	G3O-29118-MONOMER	""	""		"YBR170C"	
G3O-33160	"YNL142W"	357453	358952	G3O-33160-MONOMER	""	""		"YNL142W"	
G3O-30658	"YGL170C"	184153	185394	G3O-30658-MONOMER	""	""		"YGL170C"	
G3O-33678	"YOR161C"	636939	638558	G3O-33678-MONOMER	""	""		"YOR161C"	
G3O-29605	"YDL225W"	52445	54100	G3O-29605-MONOMER	""	""		"YDL225W"	
G3O-31151	"YHR108W"	328303	330060	G3O-31151-MONOMER	""	""		"YHR108W"	
G3O-29693	"YDR088C"	618497	619645	G3O-29693-MONOMER	""	""		"YDR088C"	
G3O-34151	"YPL269W"	33013	34947	G3O-34151-MONOMER	""	""		"YPL269W"	
G3O-31641	"YJL214W"	26887	28596	G3O-31641-MONOMER	""	""		"YJL214W"	
YFR025C	"YFR025C"	203743	204750	YFR025C-MONOMER	HISTSYN-PWY	HISTIDPHOS-RXN		"YFR025C"	
G3O-30165	"YEL047C"	65385	66797	G3O-30165-MONOMER	""	FUMARATE-REDUCTASE-NADH-RXN		"YEL047C"	
G3O-32138	"YLL035W"	68580	70478	G3O-32138-MONOMER	""	""		"YLL035W"	
YOR241W	"YOR241W"	786995	788641	YOR241W-MONOMER	PWY-2161	FORMYLTHFGLUSYNTH-RXN // RXN0-2921 // FOLYLPOLYGLUTAMATESYNTH-RXN		"YOR241W"	
G3O-32657	"YML062C"	147505	148683	G3O-32657-MONOMER	""	""		"YML062C"	
G3O-29100	"YBR148W"	537876	539705	G3O-29100-MONOMER	""	""		"YBR148W"	
G3O-33140	"YNL118C"	402652	405564	G3O-33140-MONOMER	""	""		"YNL118C"	
G3O-30641	"YGL147C"	227754	228329	G3O-30641-MONOMER	""	""		"YGL147C"	
G3O-33660	"YOR138C"	584309	586324	G3O-33660-MONOMER	""	""		"YOR138C"	
G3O-29586	"YDL203C"	96082	97953	G3O-29586-MONOMER	""	""		"YDL203C"	
G3O-31133	"YHR086W"	278153	279724	G3O-31133-MONOMER	""	""		"YHR086W"	
G3O-29677	"YDR070C"	588098	588379	G3O-29677-MONOMER	""	""		"YDR070C"	
G3O-34132	"YPL246C"	84509	85297	G3O-34132-MONOMER	""	""		"YPL246C"	
G3O-31622	"YJL190C"	74910	75302	G3O-31622-MONOMER	""	""		"YJL190C"	
YER081W	"YER081W"	322686	324095	YER081W-MONOMER	SER-GLYSYN-PWY // SERSYN-PWY	PGLYCDEHYDROG-RXN		"YER081W"	
G3O-30144	"YEL019C"	120498	121301	G3O-30144-MONOMER	""	""		"YEL019C"	
G3O-32119	"YLL014W"	121322	121648	G3O-32119-MONOMER	""	""		"YLL014W"	
YOR126C	"YOR126C"	559961	560677	YOR126C-MONOMER	""	RXN-19386 // RXN-19385		"YOR126C"	
G3O-32637	"YML038C"	202775	204103	G3O-32637-MONOMER	""	""		"YML038C"	
G3O-29082	"YBR127C"	491269	492822	G3O-29082-MONOMER	""	ATPSYN-RXN		"YBR127C"	
G3O-33121	"YNL093W"	449868	450530	G3O-33121-MONOMER	""	""		"YNL093W"	
G3O-30623	"YGL127C"	270392	270775	G3O-30623-MONOMER	""	""		"YGL127C"	
G3O-33642	"YOR113W"	534075	536819	G3O-33642-MONOMER	""	""		"YOR113W"	
G3O-29569	"YDL183C"	130871	131833	G3O-29569-MONOMER	""	""		"YDL183C"	
G3O-31115	"YHR064C"	225525	227141	G3O-31115-MONOMER	""	""		"YHR064C"	
G3O-29659	"YDR046C"	548762	550576	G3O-29659-MONOMER	""	""		"YDR046C"	
G3O-34113	"YPL224C"	126634	128088	G3O-34113-MONOMER	""	""		"YPL224C"	
G3O-31605	"YJL165C"	106894	109461	G3O-31605-MONOMER	""	PROTEIN-KINASE-RXN		"YJL165C"	
YEL060C	"YEL060C"	40046	41953	YEL060C-MONOMER	""	3.4.21.48-RXN		"YEL060C"	
G3O-30114	"YDL160C-A"	169366	169608	G3O-30114-MONOMER	""	""		"YDL160C-A"	
G3O-32071	"YKR035W-A"	507939	508553	G3O-32071-MONOMER	""	""		"YKR035W-A"	
YOL088C	"YOL088C"	153912	154745	YOL088C-MONOMER	""	5.3.4.1-RXN		"YOL088C"	
G3O-32618	"YML014W"	243225	244064	G3O-32618-MONOMER	PWY-6829	RXN-12461		"YML014W"	
G3O-29066	"YBR104W"	449667	450656	G3O-29066-MONOMER	""	""		"YBR104W"	
G3O-33105	"YNL076W"	483556	485310	G3O-33105-MONOMER	""	""		"YNL076W"	
G3O-30604	"YGL105W"	307437	308567	G3O-30604-MONOMER	""	""		"YGL105W"	
G3O-33623	"YOR089C"	490196	490828	G3O-33623-MONOMER	""	""		"YOR089C"	
G3O-29549	"YDL154W"	178334	181039	G3O-29549-MONOMER	""	""		"YDL154W"	
G3O-31097	"YHR038W"	184066	184758	G3O-31097-MONOMER	""	""		"YHR038W"	
G3O-34096	"YPL204W"	164276	165760	G3O-34096-MONOMER	""	PROTEIN-KINASE-RXN		"YPL204W"	
G3O-31586	"YJL141C"	147967	150390	G3O-31586-MONOMER	""	2.7.11.2-RXN // 2.7.12.1-RXN		"YJL141C"	
YDR435C	"YDR435C"	1332983	1333969	YDR435C-MONOMER	""	""		"YDR435C"	
G3O-30044	"YDR533C"	1501447	1502160	G3O-30044-MONOMER	""	""		"YDR533C"	
G3O-32055	"YKR092C"	612665	613885	G3O-32055-MONOMER	""	""		"YKR092C"	
YNR019W	"YNR019W"	665339	667267	YNR019W-MONOMER	PWY-7424	RXN-15132 // RXN-15134 // STEROL-O-ACYLTRANSFERASE-RXN		"YNR019W"	
G3O-32519	"YLR438C-A"	1013909	1014178	G3O-32519-MONOMER	""	""		"YLR438C-A"	
G3O-29048	"YBR080C"	398614	400890	G3O-29048-MONOMER	""	""		"YBR080C"	
G3O-33088	"YNL056W"	517249	517842	G3O-33088-MONOMER	""	""		"YNL056W"	
G3O-30587	"YGL086W"	347119	349368	G3O-30587-MONOMER	""	""		"YGL086W"	
G3O-33607	"YOR068C"	453869	454213	G3O-33607-MONOMER	""	""		"YOR068C"	
G3O-29532	"YDL134C"	219662	220771	G3O-29532-MONOMER	""	3.1.3.16-RXN		"YDL134C"	
G3O-31075	"YHR012W"	129481	130448	G3O-31075-MONOMER	""	""		"YHR012W"	
G3O-34078	"YPL184C"	195950	197788	G3O-34078-MONOMER	""	""		"YPL184C"	
G3O-31566	"YJL112W"	205305	207449	G3O-31566-MONOMER	""	""		"YJL112W"	
YDR234W	"YDR234W"	931129	933210	YDR234W-MONOMER	LYSINE-AMINOAD-PWY	RXN3O-1983 // HOMOACONITATE-HYDRATASE-RXN		"YDR234W"	
G3O-30027	"YDR506C"	1459728	1461554	G3O-30027-MONOMER	""	""		"YDR506C"	
G3O-32037	"YKR071C"	574934	575980	G3O-32037-MONOMER	""	""		"YKR071C"	
YNL192W	"YNL192W"	276502	279897	YNL192W-MONOMER	PWY-6981	CHITIN-SYNTHASE-RXN		"YNL192W"	
G3O-32499	"YLR443W"	1022625	1023971	G3O-32499-MONOMER	""	""		"YLR443W"	
G3O-30572	"YGL068W"	375087	375671	G3O-30572-MONOMER	""	""		"YGL068W"	
G3O-29028	"YBR057C"	352193	353293	G3O-29028-MONOMER	""	""		"YBR057C"	
G3O-33065	"YNL027W"	579580	581616	G3O-33065-MONOMER	""	""		"YNL027W"	
G3O-33587	"YOR043W"	410870	412330	G3O-33587-MONOMER	""	""		"YOR043W"	
G3O-29513	"YDL113C"	256633	258555	G3O-29513-MONOMER	""	""		"YDL113C"	
G3O-31055	"YHL036W"	26241	27881	G3O-31055-MONOMER	""	""		"YHL036W"	
G3O-34061	"YPL165C"	237956	239077	G3O-34061-MONOMER	""	""		"YPL165C"	
G3O-31547	"YJL092W"	257423	260947	G3O-31547-MONOMER	""	""		"YJL092W"	
YDR035W	"YDR035W"	521816	522928	YDR035W-MONOMER	ALL-CHORISMATE-YEAST-PWY // COMPLETE-ARO-YEAST-PWY // ARO-YEAST-PWY // PWY-6164	DAHPSYN-RXN		"YDR035W"	
G3O-30011	"YDR486C"	1427431	1428120	G3O-30011-MONOMER	""	""		"YDR486C"	
G3O-32019	"YKR049C"	526830	527231	G3O-32019-MONOMER	""	""		"YKR049C"	
YMR297W	"YMR297W"	861922	863520	YMR297W-MONOMER	PWY-6842-1	RXN-12532 // 2.3.2.15-RXN // RXN-19570 // 3.4.16.5-RXN		"YMR297W"	
G3O-32482	"YLR422W"	965897	971695	G3O-32482-MONOMER	""	""		"YLR422W"	
G3O-30555	"YGL044C"	416146	417036	G3O-30555-MONOMER	""	""		"YGL044C"	
G3O-29009	"YBR031W"	300166	301254	G3O-29009-MONOMER	""	""		"YBR031W"	
G3O-33045	"YNL003C"	624975	625829	G3O-33045-MONOMER	""	""		"YNL003C"	
G3O-33571	"YOR023C"	376012	377712	G3O-33571-MONOMER	""	""		"YOR023C"	
G3O-29497	"YDL089W"	296820	298274	G3O-29497-MONOMER	""	""		"YDL089W"	
G3O-31036	"YHL016C"	72037	74244	G3O-31036-MONOMER	""	""		"YHL016C"	
G3O-34043	"YPL146C"	276162	277529	G3O-34043-MONOMER	""	""		"YPL146C"	
YDL104C	"YDL104C"	273653	274876	YDL104C-MONOMER	""	3.4.24.57-RXN		"YDL104C"	
G3O-31533	"YJL076W"	295245	298814	G3O-31533-MONOMER	""	""		"YJL076W"	
G3O-29994	"YDR466W"	1395121	1397817	G3O-29994-MONOMER	""	PROTEIN-KINASE-RXN		"YDR466W"	
G3O-32001	"YKR025W"	487770	488618	G3O-32001-MONOMER	""	DNA-DIRECTED-RNA-POLYMERASE-RXN		"YKR025W"	
YMR113W	"YMR113W"	494999	496282	YMR113W-MONOMER	FOLSYN-PWY // PWY-6612 // PWY-6614	DIHYDROFOLATESYNTH-RXN		"YMR113W"	
G3O-30538	"YGL018C"	459110	459664	G3O-30538-MONOMER	PWY-7250	RXN-14388		"YGL018C"	
G3O-28992	"YBR004C"	244366	245667	G3O-28992-MONOMER	""	""		"YBR004C"	
G3O-32974	"YMR310C"	895716	896669	G3O-32974-MONOMER	""	""		"YMR310C"	
G3O-33553	"YOR003W"	331455	332891	G3O-33553-MONOMER	""	""		"YOR003W"	
G3O-29480	"YDL065C"	336249	337277	G3O-29480-MONOMER	""	""		"YDL065C"	
G3O-30950	"YGR294W"	1080306	1080668	G3O-30950-MONOMER	""	""		"YGR294W"	
G3O-34027	"YPL128C"	306533	308221	G3O-34027-MONOMER	""	""		"YPL128C"	
YCR068W	"YCR068W"	237214	238776	YCR068W-MONOMER	LIPAS-PWY	RXN-12086 // TRIACYLGLYCEROL-LIPASE-RXN		"YCR068W"	
G3O-31514	"YJL050W"	342522	345743	G3O-31514-MONOMER	""	""		"YJL050W"	
G3O-29978	"YDR447C"	1354829	1355553	G3O-29978-MONOMER	""	""		"YDR447C"	
G3O-31981	"YKR003W"	445381	446727	G3O-31981-MONOMER	""	""		"YKR003W"	
