ID	compostion	coefficient	MetID	Formula	Charge	Description	chebi	kegg2	compostion_new
MNXR123705	reactant	1	MNXM1	H	1	H(+)	chebi:15378	C00080	reactant
MNXR123705	reactant	1	MNXM6	C21H26N7O17P3	-4	NADPH	chebi:57783	C00005	reactant
MNXR123705	reactant	1	MNXM941	C27H42O	0	cholesta-5,7,24-trien-3beta-ol	chebi:27910	C05107	reactant
MNXR123705	product	1	MNXM5	C21H25N7O17P3	-3	NADP(+)	chebi:58349	C00006	product
MNXR123705	product	1	MNXM695	C27H44O	0	cholesta-5,24-dien-3beta-ol	chebi:17737	C01802	product
MNXR95749	product	2	MNXM1	H	1	H(+)	chebi:15378	C00080	product
MNXR95749	product	1	MNXM10	C21H27N7O14P2	-2	NADH	chebi:57945	C00004	product
MNXR95749	product	1	MNXM26	C2H3O2	-1	acetate	chebi:30089	C00033	product
MNXR95749	reactant	1	MNXM2	H2O	0	H2O	chebi:15377	C00001	reactant
MNXR95749	reactant	1	MNXM75	C2H4O	0	acetaldehyde	chebi:15343	C00084	reactant
MNXR95749	reactant	1	MNXM8	C21H26N7O14P2	-1	NAD(+)	chebi:57540	"C00003;D00002"	reactant
MNXR107190	reactant	1	MNXM1	H	1	H(+)	chebi:15378	C00080	reactant
MNXR107190	reactant	1	MNXM427	C6H11O9P	-2	D-mannose 6-phosphate	chebi:58735	C00275	reactant
MNXR107190	reactant	1	MNXM6	C21H26N7O17P3	-4	NADPH	chebi:57783	C00005	reactant
MNXR107190	product	1	MNXM5	C21H25N7O17P3	-3	NADP(+)	chebi:58349	C00006	product
MNXR107190	product	1	MNXM90126	C6H13O9P	-2	D-mannitol 1-phosphate	chebi:61381	C00644	product
MNXR95319	reactant	1	MNXM1	H	1	H(+)	chebi:15378	C00080	reactant
MNXR95319	reactant	1	MNXM33	C27H30N9O15P2	-3	FAD	chebi:57692	"C00016;D00005"	reactant
MNXR95319	reactant	1	MNXM470	C25H38N7O17P3S	-4	2-methylpropanoyl-CoA	chebi:57338	C00630	reactant
MNXR95319	product	1	MNXM38	C27H33N9O15P2	-2	FADH2	chebi:58307	C01352	product
MNXR95319	product	1	MNXM947	C25H36N7O17P3S	-4	(2E)-2-methylpropenoyl-CoA	chebi:62500	C03460	product
MNXR101422	product	1	MNXM1214	C3H3O3S	-1	3-mercaptopyruvate	chebi:57678	C00957	reactant
MNXR101422	product	1	MNXM254	CHN	0	hydrogen cyanide	chebi:18407	C01326	NA
MNXR101422	reactant	1	MNXM23	C3H3O3	-1	pyruvate	chebi:15361	C00022	product
MNXR101422	reactant	1	MNXM762	CHNS	0	thiocyanate	chebi:18022	C01755	NA
MNXR94831	reactant	1	MNXM1401	C8H8O3	0	3,4-dihydroxyphenylacetaldehyde	chebi:27978	C04043	reactant
MNXR94831	reactant	1	MNXM2	H2O	0	H2O	chebi:15377	C00001	reactant
MNXR94831	reactant	1	MNXM8	C21H26N7O14P2	-1	NAD(+)	chebi:57540	"C00003;D00002"	reactant
MNXR94831	product	2	MNXM1	H	1	H(+)	chebi:15378	C00080	product
MNXR94831	product	1	MNXM10	C21H27N7O14P2	-2	NADH	chebi:57945	C00004	product
MNXR94831	product	1	MNXM645	C8H7O4	-1	3,4-dihydroxyphenylacetate	chebi:17612	C01161	product
MNXR120262	reactant	1	MNXM148186	C56H85N8O15PSR2	0	R-2-hydroxy-3-methylpentanoate-methylvaline-phenylalanine-methylphenylalanine-proline-allo-isoleucyl-[acp]	NA	NA	reactant
MNXR120262	reactant	1	MNXM16	C15H23N6O5S	1	S-adenosyl-L-methionine	chebi:59789	C00019	reactant
MNXR120262	reactant	1	MNXM199	C5H11NO2	0	L-valine	chebi:57762	"C00183;D00039;C16436"	reactant
MNXR120262	reactant	1	MNXM3	C10H12N5O13P3	-4	ATP	chebi:30616	"C00002;D08646"	reactant
MNXR120262	product	2	MNXM1	H	1	H(+)	chebi:15378	C00080	product
MNXR120262	product	1	MNXM11	HO7P2	-3	diphosphate	chebi:33019	C00013	product
