gene_IDs	gene_names	K_score
G8BNN4_TETPH	IPP1	1000
YBR145W	ADH5	1000
G8BNW7_TETPH	PFK1	1000
G8BQR5_TETPH	UGP1	1000
G8C189_TETPH	FBA1	1000
YOL086C	ADH1	1000
YGR087C	PDC6	17.1136262539764
YLR044C	PDC1	17.1136262539764
YLR134W	PDC5	17.1136262539764
G8BWN6_TETPH	PYK2	2.29381415140241
YGR254W	ENO1	2.1912288593195
YHR174W	ENO2	2.1912288593195
G8BTV2_TETPH	GPM1	2.1912288593195
YMR323W	ERR3	2.1912288593195
YOR393W	ERR1	2.1912288593195
G8BX25_TETPH	ERR2	2.1912288593195
G8BVN9_TETPH	YOR283W	2.1912288593195
G8C1P0_TETPH	PGK1	2.08035652919155
G8BNR9_TETPH	TDH2	2.08035652919155
YCL040W	GLK1	1.14081828062841
YFR053C	HXK1	1.14081828062841
G8BWD5_TETPH	HXK2	1.14081828062841
G8BPA7_TETPH	YLR446W	1.14081828062841
YKR039W	GAP1	0.327792565413099
G8BUF4_TETPH	ALE1	0.325530343816743
G8BYJ8_TETPH	CTT1	0.312316796359153
G8BV86_TETPH	MLS1	0.312316796359153
G8BN28_TETPH	Nadsonia_fulvescens_var_elongata@Seq_5575	0.312316796359153
G8BRN2_TETPH	YNK1	0.286531268233201
G8BWA8_TETPH	CTP1	0.282854769932898
G8BV63_TETPH	RKI1	0.2506233766132
YDL085W	NDE2	0.250492291155664
G8BW15_TETPH	NDE1	0.250492291155664
G8BNX1_TETPH	SOL4	0.248734848607949
G8BNY1_TETPH	GND2	0.248734848607949
YHR163W	SOL3	0.248734848607949
G8C2G1_TETPH	ZWF1	0.248734848607949
G8BYE7_TETPH	TAL1	0.248712920938939
G8BPQ8_TETPH	RPE1	0.247749419022744
G8C0M6_TETPH	TKL2	0.247741559325578
G8BWZ8_TETPH	TRX2	0.246314041779704
G8BNM1_TETPH	GAL7	0.243857642377757
G8C1Q4_TETPH	GSY1	0.242466613178216
YJL137C	GLG2	0.242466613178216
YLR258W	GSY2	0.242466613178216
G8BN99_TETPH	GLG1	0.242466613178216
G8BT01_TETPH	GPH1	0.242014012687732
G8BXE5_TETPH	YHM2	0.237703738345429
G8BXC2_TETPH	PPA2	0.237353566465358
YLR174W	IDP2	0.23729081749286
G8BSH5_TETPH	IDH1	0.227731379103018
G8BZ06_TETPH	IDH2	0.227731379103018
G8C0J6_TETPH	PET9	0.211978504189012
YBR085W	AAC3	0.211978504189012
G8C1B1_TETPH	Tetrapisispora_phaffii@Seq_1147	0.211978504189012
G8BQW7_TETPH	NDI1	0.201234612039803
G8BTV7_TETPH	MPC1	0.185917449008816
G8BX14_TETPH	MPC3	0.185917449008816
YHR162W	MPC2	0.185917449008816
G8BZK2_TETPH	ACO2	0.171899993419502
G8BYA9_TETPH	FUM1	0.164209361186461
G8BPK6_TETPH	PDB1	0.151190731644258
G8BMZ4_TETPH	PDA1	0.151190731644258
G8BNS1_TETPH	PDX1	0.151190731644258
G8BV44_TETPH	LAT1	0.151190731644258
G8C073_TETPH	MDH1	0.0936406289427844
G8BPX5_TETPH	CIT1	0.0936406289427844
G8C230_TETPH	CIT3	0.0936406289427844
G8BS75_TETPH	LPD1	0.0567154227245696
G8BMV8_TETPH	KGD2	0
G8BR98_TETPH	PIC2	0
G8BNW9_TETPH	LSC2	0
G8BV36_TETPH	KGD1	0
G8BUR0_TETPH	MIR1	0
G8BTL3_TETPH	LSC1	0
G8C1G5_TETPH	HAM1	0
G8C1J1_TETPH	OSM1	0
