gene_IDs	gene_names	K_score
YBR145W	ADH5	1000
I2GZ51_TETBL	PFK1	1000
I2H850_TETBL	FBA1	1000
YOL086C	ADH1	1000
YGR087C	PDC6	14.4064277181202
YLR044C	PDC1	14.4064277181202
YLR134W	PDC5	14.4064277181202
I2GVU3_TETBL	PYK2	2.52311573677787
YGR254W	ENO1	2.37650367963934
YHR174W	ENO2	2.37650367963934
I2H153_TETBL	GPM1	2.37650367963934
YMR323W	ERR3	2.37650367963934
YOR393W	ERR1	2.37650367963934
I2H4A9_TETBL	ERR2	2.37650367963934
I2H2L0_TETBL	YOR283W	2.37650367963934
I2H3I0_TETBL	PGK1	2.22297331421484
I2H827_TETBL	TDH2	2.22297331421484
YCL040W	GLK1	1.17855676315487
YFR053C	HXK1	1.17855676315487
I2H3X2_TETBL	HXK2	1.17855676315487
I2GZA4_TETBL	YLR446W	1.17855676315487
I2GUT2_TETBL	YNK1	0.314854385143289
YKR039W	GAP1	0.314564179016578
I2H9N7_TETBL	SCT1	0.311889614259402
YDL085W	NDE2	0.300973599755
I2H004_TETBL	NDE1	0.300973599755
I2H8R6_TETBL	AQY1	0.290312332695153
I2GV42_TETBL	MPC1	0.282346720255921
YHR162W	MPC2	0.282346720255921
I2GXC8_TETBL	PDB1	0.267589979534554
I2H6C2_TETBL	PDA1	0.267589979534554
I2GZN5_TETBL	PDX1	0.267589979534554
I2H752_TETBL	LAT1	0.267589979534554
I2H0B0_TETBL	ACO2	0.257284365274816
I2H8M1_TETBL	CTP1	0.245947472162118
I2H0J9_TETBL	MDH1	0.228333031196931
I2H3H6_TETBL	CIT1	0.228333031196931
I2H1R7_TETBL	CIT3	0.228333031196931
I2H426_TETBL	GCV3	0.227901047308025
I2H784_TETBL	GCV1	0.227901047308025
I2H6V4_TETBL	GCV2	0.227901047308025
I2GXY8_TETBL	RKI1	0.201760151644484
I2H249_TETBL	SOL4	0.198336056238508
I2H258_TETBL	GND2	0.198336056238508
YHR163W	SOL3	0.198336056238508
I2H6G2_TETBL	ZWF1	0.198336056238508
I2GWX7_TETBL	TAL1	0.198296066963241
I2GZP2_TETBL	RPE1	0.19653362983479
I2H7E0_TETBL	PET9	0.196530509528575
YBR085W	AAC3	0.196530509528575
I2H7T3_TETBL	TKL2	0.196515643070203
I2H380_TETBL	NDI1	0.180196421056358
I2H2H9_TETBL	YHM2	0.177515443060465
YLR174W	IDP2	0.17670791089365
I2GZJ2_TETBL	PAH1	0.176194410235933
I2GZG0_TETBL	IDH1	0.176014610093717
I2GY64_TETBL	IDH2	0.176014610093717
I2H3G1_TETBL	PIC2	0.171089061660447
I2H3A4_TETBL	MIR1	0.171089061660447
I2GWK1_TETBL	FUM1	0.157728184176569
I2H308_TETBL	LPD1	0.12396389513345
I2H7R0_TETBL	KGD2	0.000269334922581534
I2H247_TETBL	LSC2	0.000269334922581534
I2H4X9_TETBL	KGD1	0.000269334922581534
I2GY62_TETBL	LSC1	0.000269334922581534
I2H3C8_TETBL	OSM1	0.000269334922581534
