gene_IDs	gene_names	K_score
YBR145W	ADH5	1000
YOL086C	ADH1	1000
C5DWC1_ZYGRC	PPN1	1000
YGR087C	PDC6	5.89509827729522
YLR044C	PDC1	5.89509827729522
YLR134W	PDC5	5.89509827729522
C5DV84_ZYGRC	PYK2	2.98877439216513
YGR254W	ENO1	2.80451108682678
YHR174W	ENO2	2.80451108682678
C5DTS1_ZYGRC	GPM1	2.80451108682678
YMR323W	ERR3	2.80451108682678
YOR393W	ERR1	2.80451108682678
C5DTW4_ZYGRC	ERR2	2.80451108682678
C5DPT2_ZYGRC	YOR283W	2.80451108682678
C5DPN8_ZYGRC	IPP1	1.34655086789327
C5E0E4_ZYGRC	TDH2	1.15350528193134
C5E496_ZYGRC	PGK1	1.15350528193134
C5E0G0_ZYGRC	TPI1	1.14613283642955
C5DRF9_ZYGRC	PFK1	1.14168701722564
C5E4J1_ZYGRC	FBA1	1.14168701722415
C5DP01_ZYGRC	PGI1	1.07921320172219
YCL040W	GLK1	1.00051933820529
YFR053C	HXK1	1.00051933820529
C5E4Z1_ZYGRC	HXK2	1.00051933820529
C5DS77_ZYGRC	YLR446W	1.00051933820529
YEL047C	FRD1	0.348967730532631
C5E129_ZYGRC	SFC1	0.348967730532631
C5DXJ2_ZYGRC	OSM1	0.348967730532631
C5DPY2_ZYGRC	Metschnikowia_proteae@Seq_895	0.348967730532631
C5DWY9_ZYGRC	YNK1	0.314158472229273
C5DPK9_ZYGRC	GAL7	0.278653775552835
C5E4F6_ZYGRC	GSY1	0.277474035523493
C5DT74_ZYGRC	GPH1	0.277090674653518
C5DSI5_ZYGRC	GDH3	0.27141226149542
YOR375C	GDH1	0.27141226149542
YDL085W	NDE2	0.251448641997244
C5DQ31_ZYGRC	NDE1	0.251448641997244
C5DX25_ZYGRC	SER2	0.246763244547758
C5DTI9_ZYGRC	SER33	0.246763244547758
C5DWG5_ZYGRC	SER1	0.246763244547758
C5DQN8_ZYGRC	CTP1	0.245578567225026
C5E0I7_ZYGRC	PET9	0.243842051726172
YBR085W	AAC3	0.243842051726172
C5E3Z2_ZYGRC	yHMPu5000034866_Zygosaccharomyces_bisporus@Seq_4323	0.243842051726172
C5E0L2_ZYGRC	PPA2	0.243632334867362
YLR058C	SHM2	0.243057836618706
YGR204W	ADE3	0.241877458951366
C5E4R6_ZYGRC	GCV2	0.241310839778205
C5DSK7_ZYGRC	GCV3	0.241310839192444
C5DRK3_ZYGRC	SHM1	0.241310839192444
C5DPI0_ZYGRC	GCV1	0.241310839192444
C5DZ15_ZYGRC	GNP1	0.241310839192444
C5DXA8_ZYGRC	LPD1	0.241310839192444
C5DUE4_ZYGRC	YMC1	0.241310839192444
C5E1C4_ZYGRC	FDH1	0.241071404940199
C5E0P0_ZYGRC	RNR2	0.235154063308458
C5DU94_ZYGRC	NDI1	0.233552709226349
C5DTH2_ZYGRC	RNR1	0.219435552519668
YIL066C	RNR3	0.219435552519668
C5DV03_ZYGRC	IDH1	0.157829261222888
C5DW19_ZYGRC	IDH2	0.157829261222888
C5DYE8_ZYGRC	YHM2	0.149787073896857
YLR174W	IDP2	0.142057474924179
