gene_IDs	gene_names	K_score
YAR035W	YAT1	1000
YBL015W	ACH1	1000
YBR011C	IPP1	1000
YBR145W	ADH5	1000
YBR252W	DUT1	1000
YCL064C	CHA1	1000
YDL171C	GLT1	1000
YDR300C	PRO1	1000
YEL046C	GLY1	1000
YER024W	YAT2	1000
YER170W	ADK2	1000
YGL256W	ADH4	1000
YJR019C	TES1	1000
YKL120W	OAC1	1000
YKL188C	PXA2	1000
YLR348C	DIC1	1000
YML042W	CAT2	1000
YMR083W	ADH3	1000
YOL086C	ADH1	1000
YOR100C	CRC1	1000
YOR108W	LEU9	1000
YOR323C	PRO2	1000
YPL147W	PXA1	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
YGR087C	PDC6	17.400353214873
YLR044C	PDC1	17.400353214873
YLR134W	PDC5	17.400353214873
YBR296C	PHO89	10.9247540816009
YCR037C	PHO87	10.9247540816009
YJL198W	PHO90	10.9247540816009
YML123C	PHO84	10.9247540816009
YNR013C	PHO91	10.9247540816009
YAL038W	CDC19	2.63280447765565
YOR347C	PYK2	2.63280447765565
YGR254W	ENO1	2.45028291198703
YHR174W	ENO2	2.45028291198703
YKL152C	GPM1	2.45028291198703
YMR323W	ERR3	2.45028291198703
YOR393W	ERR1	2.45028291198703
YPL281C	ERR2	2.45028291198703
YOR283W	YOR283W	2.45028291198703
YLR354C	TAL1	1.3421019414831
YGR043C	NQM1	1.3421019414831
YDR050C	TPI1	1.30137067410141
YCR012W	PGK1	1.29333332233677
YGR192C	TDH3	1.29333332233677
YJL052W	TDH1	1.29333332233677
YJR009C	TDH2	1.29333332233677
YGR240C	PFK1	1.29262991278214
YKL060C	FBA1	1.29262991278214
YMR205C	PFK2	1.29262991278214
YBR196C	PGI1	1.25383536936983
YPR035W	GLN1	1.06781553991099
YDR516C	EMI2	1.0006684805351
YKL085W	MDH1	0.112466924765832
YPR021C	AGC1	0.111929505822107
YBL039C	URA7	0.101976967510584
YJR103W	URA8	0.101976967510584
YOR222W	ODC2	0.0892474709532052
YPL134C	ODC1	0.0892474709532052
YCR048W	ARE1	0.0868905522933623
YDR503C	LPP1	0.082134651765647
YLL052C	AQY2	0.0821260738247245
YPR192W	AQY1	0.0821260738247245
YNR019W	ARE2	0.081986077453505
YOR245C	DGA1	0.0649213679670935
YDR454C	GUK1	0.0613667390439661
YER069W	ARG5,6	0.0573441049934877
YMR062C	ARG7	0.0573441049934877
YOL140W	ARG8	0.0573441049934877
YOR130C	ORT1	0.0573441049934877
YBR263W	SHM1	0.0178063187270999
YGL080W	MPC1	0.0151054078753586
YGR243W	MPC3	0.0151054078753586
YHR162W	MPC2	0.0151054078753586
YAL044C	GCV3	0.00890315051403051
YDR019C	GCV1	0.00890315051403051
YMR189W	GCV2	0.00890315051403051
YLR058C	SHM2	0.0033157006896849
YFL018C	LPD1	0.00281634010722565
Q0045	COX1	0
Q0080	ATP8	0
Q0085	ATP6	0
Q0105	COB	0
Q0130	OLI1	0
Q0250	COX2	0
Q0275	COX3	0
YAL062W	GDH3	0
YBL045C	COR1	0
YBL099W	ATP1	0
YBR039W	ATP3	0
YBR221C	PDB1	0
YCL040W	GLK1	0
YDL004W	ATP16	0
YDL066W	IDP1	0
YDL067C	COX9	0
YDL085W	NDE2	0
YDR148C	KGD2	0
YDR298C	ATP5	0
YDR322C-A	TIM11	0
YDR377W	ATP17	0
YDR529C	QCR7	0
YEL024W	RIP1	0
YEL039C	CYC7	0
YER053C	PIC2	0
YER070W	RNR1	0
YER081W	SER3	0
YER178W	PDA1	0
YFR033C	QCR6	0
YFR053C	HXK1	0
YGL187C	COX4	0
YGL191W	COX13	0
YGL253W	HXK2	0
YGR180C	RNR4	0
YGR183C	QCR9	0
YGR193C	PDX1	0
YGR208W	SER2	0
YHR001W-A	QCR10	0
YHR002W	LEU5	0
YHR051W	COX6	0
YIL066C	RNR3	0
YIL074C	SER33	0
YIL111W	COX5B	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YJL166W	QCR8	0
YJR048W	CYC1	0
YJR077C	MIR1	0
YJR095W	SFC1	0
YJR121W	ATP2	0
YKL016C	ATP7	0
YLR038C	COX12	0
YLR295C	ATP14	0
YLR395C	COX8	0
YLR438W	CAR2	0
YML081C-A	ATP18	0
YML120C	NDI1	0
YMR145C	NDE1	0
YMR246W	FAA4	0
YMR256C	COX7	0
YMR267W	PPA2	0
YNL052W	COX5A	0
YNL071W	LAT1	0
YOR065W	CYT1	0
YOR184W	SER1	0
YOR317W	FAA1	0
YOR375C	GDH1	0
YOR388C	FDH1	0
YPL078C	ATP4	0
YPL271W	ATP15	0
YPR020W	ATP20	0
YPR191W	QCR2	0
YCL005W-A	VMA9	0
YJL180C	ATP12	0
YLR393W	ATP10	0
YNL315C	ATP11	0
YOL077W-A	ATP19	0
YLR446W	YLR446W	0
YDR231C	COX20	0
YGR062C	COX18	0
YHR116W	COX23	0
YJL003W	COX16	0
YLL018C-A	COX19	0
YPL132W	COX11	0
