"species"	"expanded"	"extracted"	"ratio_of_expanded_to_extracted"
"Geotrichum_candidum"	741	120	6.175
"Metschnikowia_matae"	5208	4	1302
"yHMPu5000034904_Ogataea_nonfermentans"	1085	94	11.5425531914894
"yHMPu5000035670_Phaffomyces_opuntiae"	567	144	3.9375
"Metschnikowia_aberdeeniae"	3859	44	87.7045454545455
"Saccharomyces_mikatae"	532	461	1.15401301518438
"yHMPu5000034665_Kodamaea_laetipori"	1185	124	9.55645161290323
"yHMPu5000034611_Saturnispora_mendoncae"	576	286	2.01398601398601
"yHMPu5000035686_Cyberlindnera_saturnus"	692	89	7.7752808988764
"yHMPu5000035048_Barnettozyma_salicaria"	702	205	3.42439024390244
"yHMPu5000035045_Barnettozyma_hawaiiensis"	543	221	2.45701357466063
"yHMPu5000034990_Candida_corydali"	1223	484	2.52685950413223
"yHMPu5000034709_Kluyveromyces_aestuarii"	538	216	2.49074074074074
"Eremothecium_cymbalariae"	516	229	2.25327510917031
"yHMPu5000034884_Peterozyma_toletana"	619	69	8.97101449275362
"yHMPu5000035707_Candida_heveicola"	1898	143	13.2727272727273
"yHMPu5000035279_Tortispora_starmeri"	518	163	3.17791411042945
"yHMPu5000035673_Candida_orba"	570	107	5.32710280373832
"Spathaspora_gorwiae"	1252	137	9.13868613138686
"yHMPu5000034624_Pichia_nakasei"	559	436	1.28211009174312
"Metschnikowia_mauinuiana"	4664	7	666.285714285714
"yHMPu5000034675_Blastobotrys_mokoenaii"	567	133	4.26315789473684
"yHMPu5000041829_Debaryomyces_fabryi"	1134	169	6.71005917159763
"yHMPu5000035274_Wickerhamomyces_alni"	600	159	3.77358490566038
"Lachancea_meyersii"	536	139	3.85611510791367
"Metschnikowia_kamakouana"	4629	20	231.45
"Brettanomyces_anomalus"	596	78	7.64102564102564
"Candida_tenuis"	1042	435	2.39540229885057
"Ascoidea_asiatica"	661	180	3.67222222222222
"yHMPu5000035652_Torulaspora_maleeae"	518	406	1.27586206896552
"yHMPu5000035699_Cyberlindnera_maclurae"	561	141	3.97872340425532
"Candida_apicola"	522	128	4.078125
"yHMPu5000034614_Saturnispora_silvae"	580	175	3.31428571428571
"yHMPu5000034918_Nakazawaea_holstii"	594	254	2.33858267716535
"yHMPu5000035690_Candida_vartiovaarae"	542	156	3.47435897435897
"Metschnikowia_proteae"	4102	25	164.08
"yHMPu5000034899_Ogataea_kodamae"	541	470	1.15106382978723
"Lachancea_lanzarotensis"	531	143	3.71328671328671
"yHMPu5000035037_Candida_montana"	570	289	1.97231833910035
"Naumovozyma_dairenensis"	576	93	6.19354838709677
"Nakaseomyces_nivariensis"	545	84	6.48809523809524
"yHMPu5000041855_Candida_ascalaphidarum"	1093	409	2.67237163814181
"yHMPu5000035651_Torulaspora_microellipsoides"	704	219	3.21461187214612
"Metschnikowia_hawaiiensis"	4580	10	458
"yHMPu5000034901_Ogataea_methylivora"	860	223	3.85650224215247
"yHMPu5000034643_Candida_schatavii"	1226	241	5.08713692946058
"yHMPu5000035643_Yarrowia_bubula"	583	52	11.2115384615385
"Ashbya_aceri"	514	132	3.89393939393939
"yHMPu5000034866_Zygosaccharomyces_bisporus"	529	176	3.00568181818182
"yHMPu5000034890_Ogataea_ramenticola"	625	167	3.74251497005988
"yHMPu5000035659_Saturnispora_dispora"	613	206	2.97572815533981
"yHMPu5000034865_Zygosaccharomyces_kombuchaensis"	514	343	1.49854227405248
"Ogataea_methanolica"	603	96	6.28125
"Saccharomyces_uvarum"	543	137	3.96350364963504
"Millerozyma_acaciae"	1094	511	2.14090019569472
"yHMPu5000034886_Ogataea_trehalophila"	597	77	7.75324675324675
"yHMPu5000034654_Aciculoconidium_aculeatum"	1176	152	7.73684210526316
"yHMPu5000034757_Lipomyces_doorenjongii"	36	220	0.163636363636364
"yHMPu5000034594_Starmera_quercuum"	647	177	3.65536723163842
"yHMPu5000034661_Dipodascus_albidus"	541	42	12.8809523809524
"Ascoidea_rubescens"	579	353	1.64022662889518
"yHMPu5000034681_Blastobotrys_americana"	540	72	7.5
"yHMPu5000034862_Zygotorulaspora_florentina"	561	162	3.46296296296296
"yHMPu5000035687_Cyberlindnera_suaveolens"	550	115	4.78260869565217
"Nakaseomyces_castellii"	535	218	2.45412844036697
"Metschnikowia_lockheadii"	4812	9	534.666666666667
"yHMPu5000035633_Candida_hispaniensis"	530	148	3.58108108108108
"Lachancea_cidri"	534	243	2.19753086419753
"yHMPu5000034670_Blastobotrys_proliferans"	580	91	6.37362637362637
"yHMPu5000034932_Kuraishia_ogatae"	597	368	1.62228260869565
"yHMPu5000034939_Komagataella_pseudopastoris"	522	219	2.38356164383562
"yHMPu5000034967_Candida_freyschussii"	558	316	1.76582278481013
"Saccharomyces_paradoxus"	528	446	1.18385650224215
"Debaryomyces_hansenii"	1155	223	5.17937219730942
"Metschnikowia_arizonensis"	4167	45	92.6
"Babjeviella_inositovora"	683	1141	0.598597721297108
"yHMPu5000035031_Candida_kruisii"	1392	169	8.23668639053254
"yHMPu5000026152_Torulaspora_franciscae"	746	263	2.83650190114068
"yHMPu5000035674_Kregervanrija_delftensis"	615	138	4.45652173913043
"yHMPu5000035675_Kregervanrija_fluxuum"	723	102	7.08823529411765
"Candida_auris"	1883	173	10.8843930635838
"Candida_parapsilosis"	1067	181	5.89502762430939
"Saccharomyces_eubayanus"	541	140	3.86428571428571
"yHAB136_Kazachstania_bromeliacearum"	549	239	2.29707112970711
"yHMPu5000034632_Candida_athensensis"	1040	460	2.26086956521739
"yHMPu5000034946_Ambrosiozyma_oregonensis"	611	119	5.13445378151261
"Yarrowia_keelungensis"	539	37	14.5675675675676
"yHMPu5000034893_Ogataea_philodendra"	552	286	1.93006993006993
"yHMPu5000034606_Priceomyces_medius"	1132	239	4.73640167364017
"yHMPu5000026124_Ogataea_henricii"	579	183	3.16393442622951
"Candida_carpophila"	1055	184	5.73369565217391
"Candida_tanzawaensis"	1131	201	5.62686567164179
"yHAB133_Kazachstania_unispora"	541	121	4.47107438016529
"Eremothecium_gossypii"	506	107	4.72897196261682
"Metschnikowia_continentalis"	4836	17	284.470588235294
"yHMPu5000034957_Hanseniaspora_osmophila"	598	71	8.42253521126761
"yHMPu5000034635_Nadsonia_fulvescens"	563	57	9.87719298245614
"Meyerozyma_guilliermondii"	1048	300	3.49333333333333
"yHAB148_Kazachstania_intestinalis"	532	207	2.57004830917874
"Candida_dubliniensis"	1123	206	5.45145631067961
"Dekkera_bruxellensis"	618	172	3.59302325581395
"Metschnikowia_bicuspidata"	2588	121	21.3884297520661
"Komagataella_pastoris"	526	176	2.98863636363636
"yHMPu5000035696_Hanseniaspora_singularis"	508	111	4.57657657657658
"Wickerhamomyces_ciferrii"	598	107	5.58878504672897
"yHMPu5000035679_Candida_rhagii"	1643	122	13.4672131147541
"yHAB159_Kazachstania_solicola"	608	136	4.47058823529412
"yHMPu5000034877_Tetrapisispora_namnaonensis"	529	47	11.2553191489362
"Spathaspora_passalidarum"	1105	207	5.33816425120773
"Saprochaete_clavata"	548	91	6.02197802197802
"yHMPu5000035335_Candida_blattae"	2023	158	12.8037974683544
"Candida_succiphila"	584	219	2.66666666666667
"yHMPu5000041818_Magnusiomyces_tetrasperma"	1322	100	13.22
"Ambrosiozyma_monospora"	705	177	3.98305084745763
"yHMPu5000035645_Yarrowia_divulgata"	593	14	42.3571428571429
"yHMPu5000041743_Candida_hawaiiana"	3846	98	39.2448979591837
"Metschnikowia_ipomoeae"	4761	14	340.071428571429
"yHAB134_Kazachstania_turicensis"	590	128	4.609375
"Metschnikowia_hamakuensis"	4616	14	329.714285714286
"Saccharomycopsis_malanga"	570	64	8.90625
"yHMPu5000034897_Ogataea_glucozyma"	760	153	4.96732026143791
"Priceomyces_haplophilus"	1091	224	4.87053571428571
"yHMPu5000041862_Candida_golubevii"	2771	50	55.42
"Sugiyamaella_lignohabitans"	582	140	4.15714285714286
"Clavispora_lusitaniae"	1954	131	14.9160305343511
"yHMPu5000034885_Ogataea_zsoltii"	586	227	2.58149779735683
"yHMPu5000041822_Dipodascus_geniculatus"	533	84	6.34523809523809
"Starmerella_bombicola_JCM9596"	512	137	3.73722627737226
"yHMPu5000034607_Saccharomycopsis_capsularis"	607	79	7.68354430379747
"Metschnikowia_hibisci"	4025	50	80.5
"Hanseniaspora_uvarum"	515	107	4.81308411214953
"yHMPu5000034933_Kuraishia_molischiana"	574	92	6.23913043478261
"yHAB147_Kazachstania_taianensis"	537	363	1.47933884297521
"Ogataea_polymorpha"	531	275	1.93090909090909
"yHAB154_Kazachstania_transvaalensis"	521	294	1.77210884353742
"yHMPu5000035684_Kloeckera_hatyaiensis"	513	77	6.66233766233766
"yHMPu5000041678_Debaryomyces_prosopidis"	1366	256	5.3359375
"yHMPu5000034760_Lipomyces_kononenkoae"	55	93	0.591397849462366
"yHMPu5000035297_Priceomyces_castillae"	1134	180	6.3
"Lachancea_fermentati"	540	132	4.09090909090909
"yHMPu5000034613_Saturnispora_serradocipensis"	593	154	3.85064935064935
"yHMPu5000035301_Pichia_terricola"	616	109	5.65137614678899
"Saccharomyces_kudriavzevii"	539	462	1.16666666666667
"yHMPu5000041693_Debaryomyces_nepalensis"	1145	299	3.82943143812709
"yHMPu5000035271_Wickerhamomyces_bovis"	568	205	2.77073170731707
"Torulaspora_delbrueckii"	528	238	2.21848739495798
"yHMPu5000035640_Yamadazyma_philogaea"	1014	325	3.12
"yHMPu5000026197_Brettanomyces_custersianus"	577	301	1.91694352159468
"yHMPu5000034637_Ogataea_populiabae"	586	204	2.87254901960784
"Candida_infanticola"	513	210	2.44285714285714
"Candida_boidinii_JCM9604"	611	359	1.70194986072423
"Zygosaccharomyces_rouxii"	531	238	2.23109243697479
"yHMPu5000034761_Lipomyces_lipofer"	276	82	3.36585365853659
"yHMPu5000034999_Cephaloascus_fragrans"	714	134	5.32835820895522
"yHMPu5000034604_Sporopachydermia_lactativora"	549	66	8.31818181818182
"yHMPu5000034988_Candida_fructus"	1945	133	14.6240601503759
"yHMPu5000035667_Kurtzmaniella_cleridarum"	1122	70	16.0285714285714
"Saccharomyces_arboricola"	546	424	1.2877358490566
"Wickerhamomyces_anomalus"	631	138	4.57246376811594
"Candida_glabrata"	532	124	4.29032258064516
"yHMPu5000035296_Priceomyces_carsonii"	1163	312	3.7275641025641
"yHMPu5000034610_Saturnispora_hagleri"	628	68	9.23529411764706
"yHMPu5000035641_Yamadazyma_scolyti"	1036	528	1.96212121212121
"Ambrosiozyma_kashinagacola"	598	153	3.90849673202614
"yHMPu5000034623_Pichia_norvegensis"	630	297	2.12121212121212
"yHMPu5000034749_Lipomyces_mesembrius"	17	88	0.193181818181818
"Lachancea_mirantina"	542	326	1.66257668711656
"yHMPu5000034671_Blastobotrys_peoriensis"	571	74	7.71621621621622
"Metschnikowia_shivogae"	3939	32	123.09375
"Candida_arabinofermentans"	580	273	2.12454212454212
"yHMPu5000034974_Deakozyma_indianensis"	543	128	4.2421875
"Kuraishia_capsulata"	577	112	5.15178571428571
"yHMPu5000034978_Cyberlindnera_mrakii"	561	153	3.66666666666667
"yHMPu5000034891_Ogataea_pini"	571	114	5.00877192982456
"yHMPu5000035318_Hyphopichia_heimii"	1665	81	20.5555555555556
"yHAB132_Kazachstania_martiniae"	612	247	2.47773279352227
"yHMPu5000041840_Candida_wancherniae"	2568	188	13.6595744680851
"yHMPu5000035695_Hanseniaspora_pseudoguilliermondii"	497	90	5.52222222222222
"Eremothecium_coryli"	509	151	3.37086092715232
"yHMPu5000035011_Candida_pyralidae"	1125	286	3.93356643356643
"yHMPu5000034673_Blastobotrys_nivea"	864	143	6.04195804195804
"Pichia_membranifaciens"	596	445	1.33932584269663
"yHMPu5000034998_Cephaloascus_albidus"	781	172	4.5406976744186
"yHAB166_Kazachstania_yakushimaensis"	610	110	5.54545454545455
"yHMPu5000035261_Candida_ponderosae"	689	344	2.00290697674419
"Kazachstania_africana"	570	207	2.7536231884058
"yHMPu5000034892_Ogataea_pilisensis"	604	117	5.16239316239316
"yHMPu5000034660_Diddensiella_caesifluorescens"	568	184	3.08695652173913
"Alloascoidea_hylecoeti"	1135	1745	0.650429799426934
"Metschnikowia_similis"	4047	20	202.35
"Wickerhamiella_domercqiae"	489	485	1.00824742268041
"Metschnikowia_kipukae"	3967	70	56.6714285714286
"yHMPu5000034973_Danielozyma_ontarioensis"	1593	321	4.96261682242991
"yHMPu5000026274_Komagataella_populi"	525	53	9.90566037735849
"Tetrapisispora_blattae"	582	108	5.38888888888889
"Lodderomyces_elongisporus"	1135	113	10.0442477876106
"yHMPu5000026137_Ambrosiozyma_ambrosiae"	583	136	4.28676470588235
"Lachancea_fantastica"	539	82	6.57317073170732
"Yarrowia_lipolytica"	550	44	12.5
"yHMPu5000035047_Barnettozyma_pratensis"	580	188	3.08510638297872
"Lachancea_dasiensis"	547	222	2.46396396396396
"yHMPu5000035703_Cyberlindnera_americana"	561	107	5.24299065420561
"yHMPu5000034605_Spencermartinsiella_europaea"	599	160	3.74375
"yHMPu5000034952_Citeromyces_siamensis"	2185	169	12.9289940828402
"Zygosaccharomyces_bailii"	535	176	3.03977272727273
"yHMPu5000034963_Hanseniaspora_clermontiae"	507	93	5.45161290322581
"Kluyveromyces_marxianus"	561	120	4.675
"yHMPu5000034950_Citeromyces_hawaiiensis"	664	283	2.34628975265018
"yHMPu5000035032_Candida_gatunensis"	1084	375	2.89066666666667
"Tortispora_caseinolytica"	482	235	2.05106382978723
"yHMPu5000035022_Candida_emberorum"	1146	168	6.82142857142857
"Candida_homilentoma"	1648	121	13.6198347107438
"Wickerhamia_fluorescens"	1106	275	4.02181818181818
"yHMPu5000034881_Torulaspora_pretoriensis"	1079	104	10.375
"Lachancea_thermotolerans"	535	105	5.09523809523809
"Scheffersomyces_stipitis"	1193	112	10.6517857142857
"Lipomyces_starkeyi"	48	57	0.842105263157895
"Spathaspora_hagerdaliae"	1200	117	10.2564102564103
"yHMPu5000035689_Candida_mycetangii"	569	174	3.27011494252874
"yHMPu5000035629_Yueomyces_sinensis"	531	196	2.70918367346939
"yHMPu5000034674_Blastobotrys_muscicola"	572	268	2.13432835820896
"yHMPu5000035252_Yamadazyma_nakazawae"	1057	173	6.10982658959538
"Metschnikowia_cerradonensis"	4848	13	372.923076923077
"yHMPu5000026142_Citeromyces_matritensis"	741	249	2.97590361445783
"yHMPu5000034883_Peterozyma_xylosa"	579	90	6.43333333333333
"yHMPu5000035650_Trigonopsis_variabilis"	559	106	5.27358490566038
"yHAB153_Kazachstania_rosinii"	561	136	4.125
"yHMPu5000035268_Wickerhamomyces_hampshirensis"	605	226	2.67699115044248
"Sporopachydermia_quercuum"	559	44	12.7045454545455
"yHMPu5000035242_Zygoascus_ofunaensis"	549	124	4.42741935483871
"Scheffersomyces_lignosus"	1206	66	18.2727272727273
"Metschnikowia_borealis"	4777	17	281
