Botrytis_cinerea@Seq_9429	EC:3.4.23.20
yHMPu5000035686_Cyberlindnera_saturnus@Seq_4558	EC:3.6.3.7
Neurospora_crassa@Seq_347	EC:4.2.1.76
Aspergillus_nidulans@Seq_8297	EC:4.1.2.54
Saccharomyces_cerevisiae@YLR186W	EC:2.1.1.260
yHMPu5000034950_Citeromyces_hawaiiensis@Seq_431	EC:1.2.1.47
yHMPu5000034952_Citeromyces_siamensis@Seq_3606	EC:6.2.1.45
Stagonospora_nodorum@Seq_3431	EC:2.4.1.321
yHMPu5000035011_Candida_pyralidae@Seq_3854	EC:1.1.1.289
Saccharomyces_cerevisiae@YFR044C	EC:3.4.13.20
yHAB160_Kazachstania_kunashirensis@Seq_5180	EC:1.1.1.119
Saccharomyces_cerevisiae@YGL063W	EC:5.4.99.44
yHAB160_Kazachstania_kunashirensis@Seq_726	EC:2.6.1.4
yHMPu5000034952_Citeromyces_siamensis@Seq_9393	EC:6.3.4.6
yHMPu5000034605_Spencermartinsiella_europaea@Seq_5977	EC:1.1.1.353
yHAB134_Kazachstania_turicensis@Seq_4798	EC:2.4.1.34
yHMPu5000035633_Candida_hispaniensis@Seq_1152	EC:1.6.5.7
Saccharomyces_cerevisiae@YKL209C	EC:3.6.3.48
Saccharomyces_cerevisiae@YGL039W	EC:1.1.1.265
yHMPu5000034655_Botryozyma_nematodophila@Seq_6484	EC:6.3.4.6
yHAB134_Kazachstania_turicensis@Seq_540	EC:1.1.1.265
yHAB166_Kazachstania_yakushimaensis@Seq_3626	EC:1.1.1.n12
yHAB153_Kazachstania_rosinii@Seq_3257	EC:3.1.3.21
yHMPu5000035271_Wickerhamomyces_bovis@Seq_2574	EC:1.1.1.n12
yHMPu5000034952_Citeromyces_siamensis@Seq_4010	EC:1.8.1.16
Saccharomyces_cerevisiae@YBR115C	EC:1.2.1.31
yHMPu5000034952_Citeromyces_siamensis@Seq_7484	EC:3.6.3.1
yHMPu5000035274_Wickerhamomyces_alni@Seq_4936	EC:3.6.3.1
Saccharomyces_cerevisiae@YMR069W	EC:2.3.1.257
yHMPu5000034978_Cyberlindnera_mrakii@Seq_2842	EC:1.7.1.2
yHMPu5000034866_Zygosaccharomyces_bisporus@Seq_1251	EC:4.1.1.43
Saccharomyces_cerevisiae@YMR041C	EC:1.1.1.116
Metschnikowia_similis@Seq_4973	EC:1.4.7.1
Aspergillus_nidulans@Seq_10447	EC:1.1.1.119
yHMPu5000034631_Martiniozyma_abiesophila@Seq_11034	EC:6.2.1.45
Spathaspora_hagerdaliae@Seq_782	EC:3.6.3.1
yHMPu5000035282_Trigonopsis_vinaria@Seq_479	EC:6.3.4.16
yHMPu5000035684_Kloeckera_hatyaiensis@Seq_2441	EC:4.1.1.43
Saccharomyces_cerevisiae@YBL024W	EC:2.1.1.202
Metschnikowia_hamakuensis@Seq_4046	EC:6.3.4.16
Metschnikowia_bowlesiae@Seq_2609	EC:3.5.2.9
Metschnikowia_borealis@Seq_5440	EC:2.6.1.66
Spathaspora_girioi@Seq_3366	EC:2.7.4.21
yHMPu5000026142_Citeromyces_matritensis@Seq_626	EC:1.14.19.47
yHAB153_Kazachstania_rosinii@Seq_2095	EC:3.1.3.21
yHAB159_Kazachstania_solicola@Seq_2024	EC:3.6.3.7
Zygosaccharomyces_bailii@Seq_3435	EC:1.1.1.265
Arxula_adeninivorans@Seq_2722	EC:1.7.1.2
yHAB155_Kazachstania_spencerorum@Seq_2510	EC:1.1.1.101
Saccharomyces_cerevisiae@YLR259C	EC:3.6.4.9
yHMPu5000034625_Pichia_kudriavzevii@Seq_2162	EC:3.6.3.7
Metschnikowia_matae@Seq_2267	EC:1.8.1.16
yHAB159_Kazachstania_solicola@Seq_3558	EC:3.4.13.20
yHMPu5000035673_Candida_orba@Seq_2858	EC:3.6.3.1
Nakaseomyces_castellii@Seq_3471	EC:1.11.1.22
Saccharomyces_cerevisiae@YOR120W	EC:1.1.1.156
yHMPu5000035335_Candida_blattae@Seq_4440	EC:1.2.1.47
Metschnikowia_continentalis@Seq_3306	EC:1.4.7.1
yHMPu5000034952_Citeromyces_siamensis@Seq_5416	EC:2.5.1.22
Fusarium_graminearum@Seq_9384	EC:1.2.1.47
yHMPu5000034952_Citeromyces_siamensis@Seq_2629	EC:1.1.1.n12
Meyerozyma_guilliermondii@Seq_2291	EC:1.2.1.47
yHMPu5000034661_Dipodascus_albidus@Seq_1269	EC:1.1.1.381
Spathaspora_gorwiae@Seq_1857	EC:3.5.2.9
yHMPu5000035675_Kregervanrija_fluxuum@Seq_3708	EC:1.2.1.31
Metschnikowia_cerradonensis@Seq_5499	EC:1.1.1.168
yHMPu5000034952_Citeromyces_siamensis@Seq_11878	EC:1.1.1.n12
yHMPu5000034933_Kuraishia_molischiana@Seq_4868	EC:1.1.1.168
Aspergillus_nidulans@Seq_10124	EC:1.5.3.19
yHMPu5000034952_Citeromyces_siamensis@Seq_8587	EC:3.4.11.22
