Query ID	Predicted EC number
Saccharomyces_cerevisiae@YDR232W	EC:2.3.1.37
Candida_apicola@Seq_2877	EC:2.3.2.27
Saccharomyces_cerevisiae@YHR068W	EC:2.5.1.46
yHMPu5000035671_Phaffomyces_antillensis@Seq_1446	EC:3.2.1.23
Saccharomyces_cerevisiae@YPL266W	EC:2.1.1.183
Saccharomyces_cerevisiae@YAR008W	EC:4.6.1.16
yHMPu5000041822_Dipodascus_geniculatus@Seq_2903	EC:2.3.2.27
yHMPu5000026142_Citeromyces_matritensis@Seq_7346	EC:2.7.1.33
Metschnikowia_arizonensis@Seq_5273	EC:3.1.3.48
Saccharomyces_cerevisiae@YFL045C	EC:5.4.2.8
Fusarium_graminearum@Seq_4869	EC:2.3.2.27
Arthrobotrys_oligospora@Seq_3622	EC:6.3.2.8
Saccharomyces_cerevisiae@YHR205W	EC:2.7.11.1
yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_3796	EC:3.1.1.3
yHMPu5000034646_Wickerhamiella_cacticola@Seq_2723	EC:3.1.1.3
Lachancea_fermentati@Seq_1522	EC:1.1.1.27
yHMPu5000034761_Lipomyces_lipofer@Seq_951	EC:2.7.7.68
yHMPu5000034990_Candida_corydali@Seq_3855	EC:2.3.1.1
yHMPu5000034990_Candida_corydali@Seq_3855	EC:2.3.1.108
yHMPu5000034607_Saccharomycopsis_capsularis@Seq_2732	EC:2.7.11.1
yHMPu5000035650_Trigonopsis_variabilis@Seq_882	EC:3.1.27.1
Nadsonia_fulvescens_var_elongata@Seq_4748	EC:2.7.11.1
Metschnikowia_matae_maris@Seq_1638	EC:1.6.99.3
Saccharomyces_cerevisiae@YLR142W	EC:1.5.5.2
yHMPu5000034988_Candida_fructus@Seq_1363	EC:1.2.1.12
Sclerotinia_sclerotiorum@Seq_11729	EC:2.7.7.6
Coccidioides_immitis@Seq_4086	EC:2.7.11.1
yHMPu5000034607_Saccharomycopsis_capsularis@Seq_5288	EC:2.3.2.27
yHMPu5000035689_Candida_mycetangii@Seq_3075	EC:1.2.1.12
yHMPu5000034604_Sporopachydermia_lactativora@Seq_6191	EC:2.3.2.27
Saccharomyces_cerevisiae@YCL017C	EC:2.8.1.7
yHMPu5000034866_Zygosaccharomyces_bisporus@Seq_4414	EC:1.9.3.1
yHMPu5000034670_Blastobotrys_proliferans@Seq_3381	EC:2.3.3.14
Schizosaccharomyces_pombe@Seq_1747	EC:1.1.1.49
Sclerotinia_sclerotiorum@Seq_6291	EC:5.2.1.8
Saprochaete_clavata@Seq_2797	EC:5.2.1.8
yHMPu5000035687_Cyberlindnera_suaveolens@Seq_2678	EC:3.2.1.4
yHMPu5000034918_Nakazawaea_holstii@Seq_5984	EC:1.1.1.1
yHMPu5000034990_Candida_corydali@Seq_2779	EC:3.6.4.13
Neurospora_crassa@Seq_8553	EC:2.3.2.27
Fusarium_graminearum@Seq_4631	EC:2.3.2.27
Candida_homilentoma@Seq_5231	EC:1.6.2.2
yHMPu5000034918_Nakazawaea_holstii@Seq_443	EC:2.3.2.23
Saccharomyces_cerevisiae@YGR088W	EC:1.11.1.6
Metschnikowia_aberdeeniae@Seq_3252	EC:2.7.11.24
Saccharomyces_cerevisiae@YKR038C	EC:2.3.1.234
yHMPu5000034877_Tetrapisispora_namnaonensis@Seq_3680	EC:1.15.1.1
Saccharomyces_cerevisiae@YEL024W	EC:1.10.2.2
yHMPu5000034952_Citeromyces_siamensis@Seq_8133	EC:3.1.3.48
Saccharomyces_cerevisiae@YGR208W	EC:3.1.3.3
yHMPu5000035022_Candida_emberorum@Seq_366	EC:3.2.1.17
yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_2826	EC:2.7.7.48
Nadsonia_fulvescens_var_elongata@Seq_4901	EC:2.4.1.131
Candida_sorboxylosa@Seq_3107	EC:5.2.1.8
Saccharomyces_cerevisiae@YOR236W	EC:1.5.1.3
