Neurospora_crassa@Seq_2538	EC:3.2.1.155
Metschnikowia_borealis@Seq_4333	EC:2.6.1.66
Botrytis_cinerea@Seq_16078	EC:1.4.3.22
Sclerotinia_sclerotiorum@Seq_11605	EC:1.3.99.30
Saccharomyces_cerevisiae@YKL182W	EC:2.3.1.86
yHMPu5000035244_Candida_incommunis@Seq_2064	EC:3.6.3.1
yHMPu5000034607_Saccharomycopsis_capsularis@Seq_6469	EC:1.1.1.353
yHAB158_Kazachstania_viticola@Seq_3243	EC:1.2.1.97
yHMPu5000034631_Martiniozyma_abiesophila@Seq_2206	EC:2.4.1.34
Saccharomyces_cerevisiae@YHR204W	EC:3.2.1.24
Botrytis_cinerea@Seq_2553	EC:1.17.3.2
Saccharomyces_cerevisiae@YEL066W	EC:2.3.1.36
yHMPu5000034952_Citeromyces_siamensis@Seq_139	EC:3.1.4.2
yHMPu5000034761_Lipomyces_lipofer@Seq_2244	EC:1.5.1.8
Metschnikowia_matae_maris@Seq_1710	EC:6.3.4.16
yHAB158_Kazachstania_viticola@Seq_5207	EC:2.7.7.83
yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_1809	EC:2.7.11.27
Metschnikowia_bowlesiae@Seq_3761	EC:1.1.1.289
yHMPu5000034655_Botryozyma_nematodophila@Seq_10629	EC:6.3.4.16
yHMPu5000034631_Martiniozyma_abiesophila@Seq_2761	EC:4.1.1.43
yHMPu5000034986_Candida_oregonensis@Seq_1841	EC:1.5.1.8
yHMPu5000034946_Ambrosiozyma_oregonensis@Seq_2344	EC:1.4.7.1
yHMPu5000034952_Citeromyces_siamensis@Seq_4037	EC:3.5.3.17
yHMPu5000035641_Yamadazyma_scolyti@Seq_524	EC:1.2.1.97
yHMPu5000034952_Citeromyces_siamensis@Seq_11351	EC:1.1.1.168
yHMPu5000034952_Citeromyces_siamensis@Seq_3293	EC:1.7.1.15
Aspergillus_nidulans@Seq_10090	EC:1.1.1.72
yHMPu5000034950_Citeromyces_hawaiiensis@Seq_4131	EC:1.3.1.90
Nakaseomyces_nivariensis@Seq_4444	EC:1.11.1.22
Saccharomyces_cerevisiae@YPR184W	EC:3.2.1.33
yHMPu5000035675_Kregervanrija_fluxuum@Seq_3345	EC:3.6.3.1
yHMPu5000034673_Blastobotrys_nivea@Seq_9181	EC:2.3.1.86
yHAB147_Kazachstania_taianensis@Seq_3641	EC:6.3.4.16
yHMPu5000035297_Priceomyces_castillae@Seq_2859	EC:1.1.1.265
yHMPu5000034952_Citeromyces_siamensis@Seq_6533	EC:6.3.4.6
Saccharomyces_cerevisiae@YML080W	EC:1.3.1.88
yHMPu5000034952_Citeromyces_siamensis@Seq_3176	EC:1.3.1.90
yHAB153_Kazachstania_rosinii@Seq_1716	EC:1.1.1.303
yHMPu5000034631_Martiniozyma_abiesophila@Seq_12580	EC:1.1.1.156
yHMPu5000034932_Kuraishia_ogatae@Seq_741	EC:1.1.1.381
yHAB155_Kazachstania_spencerorum@Seq_5586	EC:3.2.1.33
yHMPu5000034902_Ogataea_minuta@Seq_2235	EC:3.1.3.53
Arthrobotrys_oligospora@Seq_9004	EC:2.3.1.165
Sclerotinia_sclerotiorum@Seq_14489	EC:1.1.1.117
Ascoidea_rubescens@Seq_2171	EC:1.6.5.7
yHMPu5000035274_Wickerhamomyces_alni@Seq_4536	EC:1.6.5.7
Candida_parapsilosis@Seq_3886	EC:1.1.1.168
Saccharomyces_cerevisiae@YIL053W	EC:3.1.3.21
Saccharomyces_cerevisiae@YDL171C	EC:1.4.7.1
Hanseniaspora_valbyensis@Seq_2829	EC:3.6.3.1
yHMPu5000034952_Citeromyces_siamensis@Seq_3520	EC:3.4.11.14
Schizosaccharomyces_pombe@Seq_605	EC:2.4.1.134
yHMPu5000026142_Citeromyces_matritensis@Seq_1154	EC:3.4.13.20
yHAB160_Kazachstania_kunashirensis@Seq_1136	EC:1.1.1.265
yHMPu5000034661_Dipodascus_albidus@Seq_6616	EC:3.4.21.48
Ashbya_aceri@Seq_244	EC:1.1.1.381
yHAB153_Kazachstania_rosinii@Seq_2393	EC:3.1.3.21
yHMPu5000035261_Candida_ponderosae@Seq_1463	EC:1.3.1.108
Metschnikowia_borealis@Seq_2825	EC:1.4.7.1
Lachancea_waltii@Seq_105	EC:1.1.1.289
Saccharomyces_cerevisiae@YCL054W	EC:2.1.1.167
Saccharomyces_cerevisiae@YML042W	EC:2.3.1.7
Metschnikowia_ipomoeae@Seq_2976	EC:6.3.4.16
yHMPu5000034952_Citeromyces_siamensis@Seq_10588	EC:2.6.1.3
yHAB153_Kazachstania_rosinii@Seq_1216	EC:3.1.3.21
yHMPu5000034631_Martiniozyma_abiesophila@Seq_10929	EC:1.1.1.156
yHMPu5000026142_Citeromyces_matritensis@Seq_499	EC:6.3.4.16
Stagonospora_nodorum@Seq_2853	EC:1.1.1.372
yHMPu5000035296_Priceomyces_carsonii@Seq_2580	EC:1.1.1.353
yHMPu5000034918_Nakazawaea_holstii@Seq_5932	EC:1.1.1.117
