ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
RXN-1623	lysophosphatidate acyltransferase;acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase;1-acyl-sn-glycerol-3-phosphate acyltransferase gamma;1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon;1-acyl-sn-glycerol-3-phosphate acyl transferase;1-acyl-sn-glycerol-3-phosphate acyltransferase delta;1-acyl-sn-glycerol-3-phosphate acyltransferase beta;1-acyl-sn-glycero-3-phosphate acyltransferase	ACYL-COA[s] + ACYL-SN-GLYCEROL-3P[s] => coenzyme A[s] + L-PHOSPHATIDATE[s]	ec-code/2.3.1.51	augustus_masked-flattened_line_72-processed-gene-0.90-mRNA-1_1	0	1000			rhea/19710;kegg.reaction/R02241	diacylglycerol and triacylglycerol biosynthesis;CDP-diacylglycerol biosynthesis I				2
LEUKOTRIENE-A4-HYDROLASE-RXN	leukotriene A-4 hydrolase	leukotriene A4[s] + H2O[s] => leukotriene B4[s]	ec-code/3.3.2.6	genemark-flattened_line_0-processed-gene-0.94-mRNA-1_1	0	1000			rhea/22325;kegg.reaction/R03057	leukotriene biosynthesis				2
LANOSTEROL-SYNTHASE-RXN	2,3-oxidosqualene-lanosterol cyclase;lanosterol synthase	(3S)-2,3-epoxy-2,3-dihydrosqualene[s] => lanosterol[s]	ec-code/5.4.99.7	genemark-flattened_line_16-processed-gene-0.55-mRNA-1_1	0	1000			rhea/14622;kegg.reaction/R03199	lanosterol biosynthesis				2
LACTALDDEHYDROG-RXN	lactaldehyde dehydrogenase;NAD+ L-lactaldehyde dehydrogenase	(S)-lactaldehyde[s] + NAD+[s] + H2O[s] => (S)-lactate[s] + NADH[s] + 2 H+[s]	ec-code/1.2.1.22	genemark-flattened_line_10-processed-gene-1.138-mRNA-1_1 or genemark-flattened_line_6-processed-gene-0.59-mRNA-1_1	0	1000			rhea/14278;kegg.reaction/R01446	L-rhamnose degradation II;methylglyoxal degradation V;lactate biosynthesis (archaea);L-lactaldehyde degradation (aerobic)				2
RXN4FS-2	phosphatidyl-N-dimethylethanolamine N-methyltransferase	CPD-160[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + PHOSPHATIDYLCHOLINE[s] + H+[s]	ec-code/2.1.1.71	genemark-flattened_line_14-processed-gene-1.121-mRNA-1_1	0	1000			rhea/32740	phosphatidylcholine biosynthesis V;phosphatidylcholine biosynthesis IV;phosphatidylcholine biosynthesis III				2
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	glutamine:fructose-6-phosphate amidotransferase;D-glucosamine-6-phosphate synthase;glutaminemdashfructose-6-phosphate transaminase;glucosamine:fructose-6-phosphate aminotransferase;L-glutaminemdashD-fructose-6-phosphate aminotransferase;glucosamine-fructose-6-phosphate aminotransferase	beta-D-fructofuranose 6-phosphate[s] + L-glutamine[s] <=> D-GLUCOSAMINE-6-P[s] + L-glutamate[s]	ec-code/2.6.1.16	genemark-flattened_line_10-processed-gene-3.64-mRNA-1_1	-1000	1000			rhea/13237;kegg.reaction/R00768	UDP-N-acetyl-D-galactosamine biosynthesis III;UDP-N-acetyl-D-glucosamine biosynthesis II;UDP-N-acetyl-D-glucosamine biosynthesis I;CMP-legionaminate biosynthesis I				2
RXN3O-9783	alpha-D-mannosyl-[protein] alpha-1,2 mannosyltransferase	GDP-alpha-D-mannose[s] + O-D-MANNOSYL-PROTEIN[s] => GDP[s] + Man-12-Man-Proteins[s] + H+[s]	ec-code/2.4.1	genemark-flattened_line_0-processed-gene-1.17-mRNA-1_1 or genemark-flattened_line_0-processed-gene-9.80-mRNA-1_1 or maker-flattened_line_18-snap-gene-2.227-mRNA-1_1 or genemark-flattened_line_24-processed-gene-1.330-mRNA-1_1 or genemark-flattened_line_4-processed-gene-3.20-mRNA-1_1	0	1000				protein O-mannosylation I (yeast)				2
RXN3O-9782	ergosteryl-beta-D-glucosidase	ergosterol 3-O-beta-D-glucoside[s] + H2O[s] => ergosterol[s] + Glucopyranose[s]	ec-code/3.2.1.104	genemark-flattened_line_10-processed-gene-1.119-mRNA-1_1	0	1000								2
RXN3O-75	5-demethoxyubiquinol hydroxylase	6-methoxy-3-methyl-2-all-trans-hexaprenyl-1,4-benzoquinol[s] + Donor-H2[s] + oxygen[s] => 3-demethylubiquinol-6[s] + Acceptor[s] + H2O[s]	ec-code/1.14.99.60	genemark-flattened_line_2-processed-gene-0.63-mRNA-1_1	0	1000				ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast);ubiquinol-6 bypass biosynthesis (eukaryotic)				2
RXN-161	butanol dehydrogenase;butyraldehyde reductase	butan-1-ol[s] + NAD+[s] <=> butan-1-al[s] + NADH[s] + H+[s]	ec-code/1.1.1	genemark-flattened_line_16-processed-gene-2.122-mRNA-1_1	-1000	1000			rhea/33199;kegg.reaction/R03544	butanol and isobutanol biosynthesis (engineered);pyruvate fermentation to butanol II (engineered);pyruvate fermentation to butanol I				2
RXN3O-663	inositol phosphorylceramide mannosyltransferase	GDP-alpha-D-mannose[s] + IPC[s] => GDP[s] + MIPC[s] + H+[s]	ec-code/2.4.1	genemark-flattened_line_78-processed-gene-0.72-mRNA-1_1	0	1000				sphingolipid biosynthesis (yeast)				2
RXN3O-581	inositol phosphorylceramide synthase	Alpha-hydroxyphytoceramides[s] + L-1-phosphatidyl-inositols[s] => DIACYLGLYCEROL[s] + IPC[s]	ec-code/2.7.1	genemark-flattened_line_14-processed-gene-2.87-mRNA-1_1 or genemark-flattened_line_2-processed-gene-3.6-mRNA-1_1 or augustus_masked-flattened_line_44-processed-gene-0.89-mRNA-1_1	0	1000				sphingolipid biosynthesis (yeast)				2
RXN3O-58	3-hexaprenyl-4-hydroxybenzoate monooxygenase	3-hexaprenyl-4-hydroxybenzoate[s] + oxygen[s] + 2 H+[s] + 2 Reduced-ferredoxins[s] => 3,4-dihydroxy-5-all-trans-hexaprenylbenzoate[s] + 2 Oxidized-ferredoxins[s] + H2O[s]	ec-code/1.14.15.M7	genemark-flattened_line_44-processed-gene-0.156-mRNA-1_1	0	1000				ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);superpathway of ubiquinol-6 biosynthesis (eukaryotic)				2
RXN3O-54	2-hexaprenyl-6-methoxy-1,4-benzoquinol C-methyltransferase	2-methoxy-6-all trans-hexaprenyl-1,4-benzoquinol[s] + S-ADENOSYLMETHIONINE[s] => 6-methoxy-3-methyl-2-all-trans-hexaprenyl-1,4-benzoquinol[s] + S-adenosyl-L-homocysteine[s] + H+[s]	ec-code/2.1.1.201	genemark-flattened_line_100-processed-gene-0.8-mRNA-1_1	0	1000			kegg.reaction/R04990;rhea/28286	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast);ubiquinol-6 bypass biosynthesis (eukaryotic)				2
RXN3O-470	acetoin synthase	2 acetaldehyde[s] => ACETOIN[s]		genemark-flattened_line_0-processed-gene-1.32-mRNA-1_1	0	1000				pyruvate fermentation to acetoin III				2
KYNURENINE-3-MONOOXYGENASE-RXN	kynurenine 3-monooxygenase	L-kynurenine[s] + NADPH[s] + oxygen[s] + H+[s] => 3-hydroxy-L-kynurenine[s] + NADP+[s] + H2O[s]	ec-code/1.14.13.9	genemark-flattened_line_0-processed-gene-7.16-mRNA-1_1	0	1000			rhea/20546;kegg.reaction/R01960	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde;3-hydroxy-4-methyl-anthranilate biosynthesis II;3-hydroxy-4-methyl-anthranilate biosynthesis I;L-tryptophan degradation XI (mammalian, via kynurenine)				2
RXN3O-458	phytosphingosine kinase	ATP[s] + phytosphingosine[s] => ADP[s] + phytosphingosine 1-phosphate[s] + H+[s]	ec-code/2.7.1.91	maker-flattened_line_16-augustus-gene-0.0-mRNA-1_1 or genemark-flattened_line_2-processed-gene-4.59-mRNA-1_1	0	1000			rhea/33564	sphingolipid recycling and degradation (yeast)				2
RXN3O-4113	tyrosol dehydrogenase;tyrosol:NAD+oxidoreductase	(4-hydroxyphenyl)acetaldehyde[s] + NADH[s] + H+[s] => 4-tyrosol[s] + NAD+[s]	ec-code/1.1.1.1	genemark-flattened_line_0-processed-gene-5.144-mRNA-1_1 or genemark-flattened_line_32-processed-gene-0.165-mRNA-1_1 or genemark-flattened_line_58-processed-gene-0.59-mRNA-1_1	0	1000			kegg.reaction/R04304	salidroside biosynthesis;L-tyrosine degradation III				2
KETOGLUTREDUCT-RXN	2-oxoglutarate reductase;2-oxoglutarate reductase ((R)-2-hydroxyglutarate-forming)	NAD+[s] + (R)-2-hydroxyglutarate[s] <=> 2-oxoglutarate[s] + NADH[s] + H+[s]	ec-code/1.1.1.399	genemark-flattened_line_42-processed-gene-0.70-mRNA-1_1	-1000	1000			kegg.reaction/R11337;rhea/49615	L-glutamate degradation V (via hydroxyglutarate)				2
RXN3O-227	C-22 sterol desaturase	ergosta-5,7,24(28)-trien-3beta-ol[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => ergosta-5,7,22,24(28)-tetraen-3-beta-ol[s] + Ox-NADPH-Hemoprotein-Reductases[s] + 2 H2O[s]	ec-code/1.14.19.41	genemark-flattened_line_18-processed-gene-2.134-mRNA-1_1	0	1000			rhea/33468;kegg.reaction/R07506	ergosterol biosynthesis I				2
RXN3O-218	C-5 sterol desaturase;episterol C-5 desaturase;epi-sterol-desaturase	episterol[s] + 2 FERROCYTOCHROME-B5[s] + oxygen[s] + 2 H+[s] => ergosta-5,7,24(28)-trien-3beta-ol[s] + 2 FERRICYTOCHROME-B5[s] + 2 H2O[s]	ec-code/1.14.19.20	genemark-flattened_line_46-processed-gene-0.71-mRNA-1_1	0	1000			rhea/33464;kegg.reaction/R07505;kegg.reaction/R07491	plant sterol biosynthesis;ergosterol biosynthesis I				2
RXN3O-203	C-8 sterol isomerase	fecosterol[s] => episterol[s]		genemark-flattened_line_2-processed-gene-0.62-mRNA-1_1	0	1000			rhea/33436;kegg.reaction/R07497	ergosterol biosynthesis I				2
RXN3O-178	SAM:C-24 sterol methyltransferase	S-ADENOSYLMETHIONINE[s] + zymosterol[s] => S-adenosyl-L-homocysteine[s] + fecosterol[s] + H+[s]	ec-code/2.1.1.41	genemark-flattened_line_2-processed-gene-2.59-mRNA-1_1	0	1000			rhea/21129;kegg.reaction/R04427	ergosterol biosynthesis I				2
RXN-16062	2-aceto-2-hydroxy-butanoate:NADP+ oxidoreductase (isomerizing);2-aceto-2-hydroxy-butanoate isomeroreductase	(S)-2-aceto-2-hydroxybutanoate[s] + NADH-P-OR-NOP[s] + H+[s] => (R)-2,3-dihydroxy-3-methylpentanoate[s] + NAD-P-OR-NOP[s]	ec-code/1.1.1.383	genemark-flattened_line_20-processed-gene-0.7-mRNA-1_1	0	1000				L-isoleucine biosynthesis IV;L-isoleucine biosynthesis II				2
RXN-16061	2,3-dihydroxy-isovalerate:NADP+ oxidoreductase (isomerizing);2,3-dihydroxy-isovalerate isomeroreductase	(2R)-2,3-dihydroxy-3-methylbutanoate[s] + NAD-P-OR-NOP[s] <=> (S)-2-acetolactate[s] + NADH-P-OR-NOP[s] + H+[s]	ec-code/1.1.1.383	genemark-flattened_line_20-processed-gene-0.7-mRNA-1_1	-1000	1000							pubmed/Kiritani66;pubmed/Hill79	2
RXN3O-1380	sphinganine 4-hydroxylase;sphinganine C4-hydroxylase	D-erythro-sphinganine[s] + 2 FERROCYTOCHROME-B5[s] + oxygen[s] + 2 H+[s] => 2 FERRICYTOCHROME-B5[s] + phytosphingosine[s] + H2O[s]	ec-code/1.14.18.5	genemark-flattened_line_6-processed-gene-1.123-mRNA-1_1	0	1000			rhea/33522;kegg.reaction/R06525	sphingolipid biosynthesis (plants);sphingolipid biosynthesis (yeast)				2
RXN3O-102	2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase	3-demethylubiquinol-6[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + H+[s] + ubiquinol-6[s]	ec-code/2.1.1.64	genemark-flattened_line_4-processed-gene-3.46-mRNA-1_1	0	1000			rhea/44401;kegg.reaction/R02175	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast);ubiquinol-6 bypass biosynthesis (eukaryotic)				2
RXN-16000	L-allo-threonine dehydrogenase	L-allo-threonine[s] + NADP+[s] => L-2-amino-3-oxobutanoate[s] + NADPH[s] + H+[s]		genemark-flattened_line_58-processed-gene-0.63-mRNA-1_1	0	1000			rhea/30056					2
ISOCITRATE-DEHYDROGENASE-NAD+-RXN	isocitrate dehydrogenase;NAD+-dependent isocitrate dehydrogenase	NAD+[s] + D-threo-isocitrate[s] => 2-oxoglutarate[s] + CO2[s] + NADH[s]	ec-code/1.1.1.286;ec-code/1.1.1.41	genemark-flattened_line_12-processed-gene-0.87-mRNA-1_1 or augustus_masked-flattened_line_4-processed-gene-0.103-mRNA-1_1	0	1000			rhea/23632;kegg.reaction/R00709	TCA cycle II (plants and fungi);TCA cycle III (animals);L-glutamine biosynthesis III				2
ISOCIT-CLEAV-RXN	isocitrate lyase	D-threo-isocitrate[s] <=> glyoxylate[s] + succinate[s]	ec-code/4.1.3.1	genemark-flattened_line_14-processed-gene-0.74-mRNA-1_1	-1000	1000			rhea/13248;kegg.reaction/R00479	TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase);TCA cycle IV (2-oxoglutarate decarboxylase);glyoxylate cycle				2
IPPISOM-RXN	isopentenyl-diphosphate Delta-isomerase;isopentenyl-diphosphate delta-isomerase;isopentenyl diphosphate isomerase;isopentenyl pyrophosphate isomerase;IPP isomerase	isopentenyl diphosphate[s] <=> dimethylallyl diphosphate[s]	ec-code/5.3.3.2	genemark-flattened_line_52-processed-gene-0.58-mRNA-1_1	-1000	1000			rhea/23287;kegg.reaction/R01123	mono-trans, poly-cis decaprenyl phosphate biosynthesis;mevalonate pathway III (archaea);mevalonate pathway I;trans, trans-farnesyl diphosphate biosynthesis;all-trans-farnesol biosynthesis;methylerythritol phosphate pathway I;methylerythritol phosphate pathway II;isoprene biosynthesis II (engineered);bisabolene biosynthesis (engineered);mevalonate pathway II (archaea)				2
INOPHOSPHOR-RXN	inosine phosphorylase	inosine[s] + phosphate[s] <=> hypoxanthine[s] + alpha-D-ribose-1-phosphate[s]	ec-code/2.4.2.1	genemark-flattened_line_68-processed-gene-0.41-mRNA-1_1	-1000	1000			rhea/27649;kegg.reaction/R01863	purine ribonucleosides degradation;adenosine nucleotides degradation II;adenine and adenosine salvage III			pubmed/11337031	2
IMPCYCLOHYDROLASE-RXN	inosine monophosphate cyclohydrolase;IMP cyclohydrolase	IMP[s] + H2O[s] <=> 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide[s]	ec-code/3.5.4.10	genemark-flattened_line_12-processed-gene-2.84-mRNA-1_1	-1000	1000			rhea/18448;kegg.reaction/R01127	inosine-5'-phosphate biosynthesis III;inosine-5'-phosphate biosynthesis I;inosine-5'-phosphate biosynthesis II				2
IMP-DEHYDROG-RXN	IMP dehydrogenase;inosine-5'-monophosphate dehydrogenase;inosine 5'-monophosphate dehydrogenase	IMP[s] + NAD+[s] + H2O[s] <=> NADH[s] + H+[s] + XMP[s]	ec-code/1.1.1.205	genemark-flattened_line_0-processed-gene-5.128-mRNA-1_1	-1000	1000			rhea/11711;kegg.reaction/R01130	guanosine ribonucleotides de novo biosynthesis;inosine 5'-phosphate degradation;adenosine nucleotides degradation I				2
IMIDPHOSDEHYD-RXN	imidazoleglycerol-phosphate dehydratase;imidazoleglycerolphosphate dehydratase;imidazoleglycerol phosphate dehydratase	D-erythro-imidazole-glycerol-phosphate[s] => imidazole acetol-phosphate[s] + H2O[s]	ec-code/4.2.1.19	genemark-flattened_line_2-processed-gene-0.73-mRNA-1_1	0	1000			rhea/11041;kegg.reaction/R03457	L-histidine biosynthesis				2
HYPOXANPRIBOSYLTRAN-RXN	hypoxanthine phosphoribosyltransferase	hypoxanthine[s] + 5-phospho-alpha-D-ribose 1-diphosphate[s] => IMP[s] + diphosphate[s]	ec-code/2.4.2.8	genemark-flattened_line_4-processed-gene-5.3-mRNA-1_1 or maker-flattened_line_48-augustus-gene-0.1-mRNA-1_1	0	1000			rhea/17973;kegg.reaction/R01132	adenine salvage;adenine and adenosine salvage III				2
RXN-15881	cysteine desulfurase;L-cysteine desulfurase	L-cysteine[s] + L-Cysteine-Desulfurases[s] => L-alanine[s] + Persulfurated-L-cysteine-desulfurases[s]	ec-code/2.8.1.7	genemark-flattened_line_28-processed-gene-0.90-mRNA-1_1	0	1000				[2Fe-2S] iron-sulfur cluster biosynthesis				2
HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN	hydroxymethylglutaryl CoA synthase;hydroxymethylglutaryl-CoA synthase;hydroxymethyl glutaryl-CoA synthase	acetoacetyl-CoA[s] + acetyl-CoA[s] + H2O[s] <=> (S)-3-hydroxy-3-methylglutaryl-CoA[s] + coenzyme A[s] + H+[s]	ec-code/2.3.3.10	genemark-flattened_line_14-processed-gene-2.71-mRNA-1_1	-1000	1000			rhea/10191;kegg.reaction/R01978	mevalonate pathway III (archaea);mevalonate pathway I;ferrichrome A biosynthesis;isoprene biosynthesis II (engineered);ketogenesis;mevalonate pathway II (archaea)				2
RXN-15844	25S rRNA (cytosine2278-C5)-methyltransferase	Cytosine2278-in-25S-rRNA[s] + S-ADENOSYLMETHIONINE[s] => 5-methylcytosine2278-in-25S-rRNA[s] + S-adenosyl-L-homocysteine[s] + H+[s]	ec-code/2.1.1.311	genemark-flattened_line_20-processed-gene-0.22-mRNA-1_1	0	1000			rhea/43181					2
