"Pathways"	"Common-Name"
PWY-8024	"4-hydroxyindole-3-carbonyl nitrile biosynthesis"
PWY-6690	"cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate"
HCAMHPDEG-PWY	"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate"
PWY-5415	"catechol degradation I (<I>meta</I>-cleavage pathway)"
PWY-5473	"hydroxycinnamic acid serotonin amides biosynthesis"
PWY-6080	"4-ethylphenol degradation (anaerobic)"
PWY-5420	"catechol degradation II (<I>meta</I>-cleavage pathway)"
PWY-7757	"bisphenol A degradation"
P183-PWY	"catechol degradation to 2-hydroxypentadienoate I"
PWY-6448	"hordatine biosynthesis"
PWY-5419	"catechol degradation to 2-hydroxypentadienoate II"
CATECHOL-ORTHO-CLEAVAGE-PWY	"catechol degradation to &beta;-ketoadipate"
PWY-8055	"palmitoyl ethanolamide biosynthesis"
PWY-7627	"2,4,6-trinitrophenol and 2,4-dinitrophenol degradation"
PWY-5417	"catechol degradation III (ortho-cleavage pathway)"
PWY-5431	"aromatic compounds degradation via &beta;-ketoadipate"
PWY-3181	"L-tryptophan degradation VI (via tryptamine)"
PWY-7886	"cell-surface glycoconjugate-linked phosphocholine biosynthesis"
PWY-6308	"L-cysteine biosynthesis II (tRNA-dependent)"
PWY-6442	"spermidine hydroxycinnamic acid conjugates biosynthesis"
PWY-5921	"glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation"
TRNA-CHARGING-PWY	"tRNA charging"
PWY-7270	"L-methionine salvage cycle II (plants)"
PWY-5441	"S-methyl-L-methionine cycle"
PWY-7528	"L-methionine salvage cycle I (bacteria and plants)"
PWY-5889	"rhodoquinone-9 biosynthesis"
ADENOSYLHOMOCYSCAT-PWY	"L-methionine salvage from L-homocysteine"
PWY-5888	"rhodoquinone-10 biosynthesis"
PWY-7527	"L-methionine salvage cycle III"
PWY-7448	"galloylated catechin biosynthesis"
PWY-7174	"<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II"
PWY-7137	"quercetin gentiotetraside biosynthesis"
PWY-4361	"<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I"
PWY-7149	"superpathway of polymethylated quercetin/quercetagetin glucoside biosynthesis (Chrysosplenium)"
PWY-3101	"flavonol biosynthesis"
PWY-6048	"methylthiopropanoate degradation I (cleavage)"
PWY-7157	"eupatolitin 3-<i>O</i>-glucoside biosynthesis"
PWY-6045	"methylthiopropanonate degradation II (demethylation)"
PWY-5321	"quercetin glycoside biosynthesis (Arabidopsis)"
PWY-6932	"selenate reduction"
PWY-7166	"kaempferide triglycoside biosynthesis"
PWY-6931	"seleno-amino acid detoxification and volatilization I"
PWY-5390	"rutin biosynthesis"
PWY-6935	"seleno-amino acid detoxification and volatilization II"
PWY-7172	"flavonol acylglucoside biosynthesis III - quercetin derivatives"
PWY-6933	"seleno-amino acid detoxification and volatilization III"
PWY-6064	"methylquercetin biosynthesis"
PWY-5600	"pyruvate fermentation to acetate VII"
PWY-7192	"quercetin diglycoside biosynthesis (pollen-specific)"
PWY-6805	"cellulose degradation I (cellulosome)"
PWY-7129	"quercetin glucoside biosynthesis (<i>Allium</i>)"
PWY-5096	"pyruvate fermentation to acetate and alanine"
PWY-5483	"pyruvate fermentation to acetate III"
PWY-7143	"kaempferol gentiobioside biosynthesis"
PWY-6788	"cellulose degradation II (fungi)"
PWY-6784	"cellulose and hemicellulose degradation (cellulolosome)"
PWY-7995	"tricin biosynthesis"
PWY-5538	"pyruvate fermentation to acetate VI"
P41-PWY	"pyruvate fermentation to acetate and (<i>S</i>)-lactate I"
PWY-7151	"polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)"
PWY-5482	"pyruvate fermentation to acetate II"
PWY-6503	"superpathway of ergotamine biosynthesis"
PWY-5320	"kaempferol glycoside biosynthesis (Arabidopsis)"
PWY-5537	"pyruvate fermentation to acetate V"
PWY0-662	"PRPP biosynthesis"
PWY-7163	"polymethylated kaempferol biosynthesis"
PWY-5768	"pyruvate fermentation to acetate VIII"
PWY-7607	"meleagrin biosynthesis"
PWY-5363	"chrysin biosynthesis"
P142-PWY	"pyruvate fermentation to acetate I"
PWY-7171	"flavonol acylglucoside biosynthesis II - isorhamnetin derivatives"
PWY-5100	"pyruvate fermentation to acetate and lactate II"
PWY-7138	"noscapine biosynthesis"
PWY-6035	"2,3-<i>cis</i>-flavanols biosynthesis"
PWY-5485	"pyruvate fermentation to acetate IV"
PWY-7191	"kaempferol diglycoside biosynthesis (pollen-specific)"
PWY-7612	"chaetoglobosin A biosynthesis"
PWY-6631	"tricetin methylation"
PWY-7495	"gossypetin metabolism"
PWY-5048	"rosmarinic acid biosynthesis I"
PWY-7526	"fumitremorgin A biosynthesis"
PWY-7140	"myricetin gentiobioside biosynthesis"
PWY-5049	"rosmarinic acid biosynthesis II"
PWY-7150	"polymethylated quercetin glucoside biosynthesis I - quercetin series (Chrysosplenium)"
PWY-7705	"4'-methoxyviridicatin biosynthesis"
PWY-5059	"pinobanksin biosynthesis"
PLPSAL-PWY	"pyridoxal 5'-phosphate salvage I"
PWY-3581	"(<i>S</i>)-reticuline biosynthesis I"
PWY-7160	"polymethylated myricetin biosynthesis (tomato)"
PWY-6133	"(S)-reticuline biosynthesis II"
PWY-5315	"N-methyl-&Delta;<sup>1</sup>-pyrrolinium cation biosynthesis"
PWY-5862	"superpathway of demethylmenaquinol-9 biosynthesis"
PWY-7204	"pyridoxal 5'-phosphate salvage II (plants)"
PWY-5851	"demethylmenaquinol-9 biosynthesis"
PWY-5852	"demethylmenaquinol-8 biosynthesis I"
PWY-5348	"kaempferol triglucoside biosynthesis"
PWY-6262	"demethylmenaquinol-8 biosynthesis II"
PWY-7168	"flavonol acylglucoside biosynthesis I - kaempferol derivatives"
PWY-7549	"asperlicin E biosynthesis"
PWY-5861	"superpathway of demethylmenaquinol-8 biosynthesis I"
PWY-6466	"pyridoxal 5'-phosphate biosynthesis II"
PWY-5027	"phylloquinol biosynthesis"
PWY-5391	"syringetin biosynthesis"
PWY-7173	"quercetin triglucoside biosynthesis"
PWY-6845	"nitric oxide biosynthesis I (plants)"
PWY-7860	"nitric oxide biosynthesis III (bacteria)"
PWY18C3-3	"&alpha;-tomatine biosynthesis"
PWY-6199	"quercetin sulfate biosynthesis"
PYRIDOXSYN-PWY	"pyridoxal 5'-phosphate biosynthesis I"
PWY-7999	"vitamin K-epoxide cycle"
QUINATEDEG-PWY	"quinate degradation I"
PWY-6416	"quinate degradation II"
PWY-0	"putrescine degradation III"
PWY0-1221	"putrescine degradation II"
PWY-5748	"&gamma;-coniciene and coniine biosynthesis"
PWY-5116	"sakuranetin biosynthesis"
PWY-7372	"demethylmenaquinol-6 biosynthesis II"
PANTOSYN-PWY	"superpathway of coenzyme A biosynthesis I (bacteria)"
PWY-5860	"superpathway of demethylmenaquinol-6 biosynthesis I"
PUTDEG-PWY	"putrescine degradation I"
PWY-7997	"demethylmenaquinol-4 biosynthesis"
PWY-3	"putrescine degradation V"
PWY-7600	"peramine biosynthesis"
PWY-5853	"demethylmenaquinol-6 biosynthesis I"
PWY-7373	"superpathway of demethylmenaquinol-6 biosynthesis II"
PWY3O-6	"dehydro-D-arabinono-1,4-lactone biosynthesis"
PWY-7133	"quercetin glucoside degradation (<i>Allium</i>)"
PWY-7134	"rutin degradation (plants)"
PWY-7177	"UTP and CTP dephosphorylation II"
PWY0-901	"L-selenocysteine biosynthesis I (bacteria)"
PWY-6027	"capsiconiate biosynthesis"
PWY-6996	"daidzin and daidzein degradation"
PWY-6523	"nitrite-dependent anaerobic methane oxidation"
PWY-6281	"L-selenocysteine biosynthesis II (archaea and eukaryotes)"
PWY-7445	"luteolin triglucuronide degradation"
PWY-7185	"UTP and CTP dephosphorylation I"
PWY-2	"putrescine degradation IV"
PWY-7605	"roquefortine C biosynthesis"
PWY-6848	"rutin degradation"
PWY-7135	"emetine biosynthesis"
1CMET2-PWY	"<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis"
PWY-5411	"abietic acid biosynthesis"
PWY-5414	"palustric acid biosynthesis"
PWY-7609	"superpathway of roquefortine, meleagrin and neoxaline biosynthesis"
PWY-6894	"thiamine diphosphate biosynthesis I (E. coli)"
FOLSYN-PWY	"superpathway of tetrahydrofolate biosynthesis and salvage"
PWY-5422	"isopimaric acid biosynthesis"
PWY-5413	"neoabietic acid biosynthesis"
PWY-7525	"fumitremorgin C biosynthesis"
PWY-5793	"maysin biosynthesis"
PWY-6893	"thiamine diphosphate biosynthesis II (Bacillus)"
PWY-2161	"folate polyglutamylation"
PWY-6024	"isovitexin glycosides biosynthesis"
PWY-5421	"dehydroabietic acid biosynthesis"
PWY-5412	"levopimaric acid biosynthesis"
PWY-7704	"viridicatin biosynthesis"
PWY-7188	"eriodictyol <I>C</i>-glucosylation"
PWY-6908	"thiamine diphosphate biosynthesis IV (eukaryotes)"
PWY-2161B	"glutamate removal from folates"
PWY-7213	"wogonin metabolism"
PWY-5416	"superpathway of diterpene resin acids biosynthesis"
PWY-7543	"5-<i>N</i>-acetylardeemin biosynthesis"
PWY-7444	"luteolin triglucuronide biosynthesis"
PWY-6907	"thiamine diphosphate biosynthesis III (Staphylococcus)"
PWY-6543	"4-aminobenzoate biosynthesis"
PWY-5119	"acacetin biosynthesis"
PWY-7614	"methiin metabolism"
PWY-5389	"3-methylthiopropanoate biosynthesis"
PWY18C3-2	"solasodine and soladulcidine biosynthesis"
PWY-6015	"vitexin and derivatives biosynthesis"
PWY-6327	"tetrathionate oxidation"
PWY-6612	"superpathway of tetrahydrofolate biosynthesis"
PWY-7161	"polymethylated quercetin biosynthesis"
PWY-5708	"ethiin metabolism"
PWY-6900	"(<i>Z</i>)-butanethial-<i>S</i>-oxide biosynthesis"
PWY-5710	"capsaicin biosynthesis"
PWY-7212	"baicalein metabolism"
PWY-6613	"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"
PWY-7325	"salvigenin biosynthesis"
PWY-8045	"cylindrospermopsin biosynthesis"
PWY-5707	"propanethial <i>S</i>-oxide biosynthesis"
PWY-7558	"&alpha;-cyclopiazonate detoxification"
PWY-5060	"luteolin biosynthesis"
PWY-6614	"tetrahydrofolate biosynthesis"
PWY-6010	"apigenin glycosides biosynthesis"
PWY-6539	"(<i>Z</i>)-phenylmethanethial <i>S</i>-oxide biosynthesis"
PWY-8001	"felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis"
PWY18C3-6	"superpathway of glycoalkaloid metabolism (Solanaceae)"
PWY-6239	"luteolin glycosides biosynthesis"
PWY-6797	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (<i>Methanocaldococcus</i>)"
PWY-7189	"pinocembrin <i>C</i>-glucosylation"
PWY-5706	"alliin metabolism"
PWY-6192	"3,4-dichlorotoluene degradation"
PWY-6176	"superpathway of Allium flavor precursors"
PWY-5958	"acridone alkaloid biosynthesis"
PWY-7298	"nevadensin biosynthesis"
P381-PWY	"adenosylcobalamin biosynthesis II (aerobic)"
PWY-7853	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (<i>Pyrococcus</i>)"
PWY-5507	"adenosylcobalamin biosynthesis I (anaerobic)"
PWY-6191	"2,5-dichlorotoluene degradation"
PWY-6190	"2,4-dichlorotoluene degradation"
PWY-7604	"notoamide C and D biosynthesis"
PWY-6147	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"
PWY-84	"resveratrol biosynthesis"
PWY-6923	"ricinine degradation"
PWY-7852	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)"
PWY-7608	"neoxaline biosynthesis"
PWY-5105	"hesperitin glycoside biosynthesis"
PWY-7539	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)"
PWY-6602	"naringenin <i>C</i>-glucosylation"
PWY-5775	"rotenoid biosynthesis I"
PWY-6427	"rot-2'-enonate biosynthesis"
PWY-7265	"lampranthin biosynthesis"
PWY-5094	"naringenin glycoside biosynthesis"
PWY-6425	"rotenoid biosynthesis II"
PWY-5118	"ponciretin biosynthesis"
PWY-7660	"tryptoquialanine biosynthesis"
PWY66-409	"superpathway of purine nucleotide salvage"
PWY-7542	"fumiquinazoline D biosynthesis"
PWY-7224	"purine deoxyribonucleosides salvage"
PWY-6687	"mannosylglucosylglycerate biosynthesis II"
PWY-7826	"<i>Amaryllidacea</i> alkaloids biosynthesis"
PWY-6686	"mannosylglucosylglycerate biosynthesis I"
PWY-7197	"pyrimidine deoxyribonucleotide phosphorylation"
SALVPURINE2-PWY	"xanthine and xanthosine salvage"
PWY-7210	"pyrimidine deoxyribonucleotides biosynthesis from CTP"
PWY-5666	"&alpha;-solanine/&alpha;-chaconine biosynthesis"
PWY-7696	"citreoisocoumarin and bikisocoumarin biosynthesis"
PWY-6611	"adenine and adenosine salvage V"
PWY-7801	"N-end rule pathway I (prokaryotic)"
PWY-7378	"aminopropanol phosphate biosynthesis II"
PWY-7555	"&alpha;-cyclopiazonate biosynthesis"
PWY-7184	"pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I"
PWY-6224	"salicylate degradation II"
PWY-6183	"salicylate degradation I"
P121-PWY	"adenine and adenosine salvage I"
PWY-6545	"pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III"
PWY-5443	"aminopropanol phosphate biosynthesis I"
PWY18C3-4	"solasodine glycosylation"
PWY-7206	"pyrimidine deoxyribonucleotides dephosphorylation"
PWY-6640	"salicylate degradation IV"
PWY-6636	"salicylate degradation III"
PWY-6610	"adenine salvage"
PWY-7800	"Ac/N-end rule pathway"
PWY-6361	"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)"
PWY-5883	"ephedrine biosynthesis"
PWY-5134	"superpathway of bitter acids biosynthesis"
PWY-6554	"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)"
PWY-6994	"L-pyrrolysine biosynthesis"
PWY-6609	"adenine and adenosine salvage III"
PWY-7198	"pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV"
PWY-4661	"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)"
PWY-6375	"desferrioxamine E biosynthesis"
PWY-7603	"stephacidin A biosynthesis"
PWY-7799	"Arg/N-end rule pathway (eukaryotic)"
PWY-6372	"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis IV (<i>Dictyostelium</i>)"
PWY-7988	"baumannoferrin biosynthesis"
PWY-6619	"adenine and adenosine salvage VI"
PWY-5045	"pinosylvin metabolism"
PWY-6362	"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)"
PWY-6379	"alcaligin biosynthesis"
PWY-6555	"superpathway of 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis (plants)"
PWY-7802	"N-end rule pathway II (prokaryotic)"
PWY-8008	"staphyloferrin B biosynthesis"
PWY-6605	"adenine and adenosine salvage II"
PWY-7615	"pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)"
PWY-6408	"pyochelin biosynthesis"
PWY18C3-24	"methylsalicylate degradation"
AEROBACTINSYN-PWY	"aerobactin biosynthesis"
PWY-7571	"ferrichrome A biosynthesis"
PWY-5912	"2'-deoxymugineic acid phytosiderophore biosynthesis"
PWY-7983	"pseudomonine biosynthesis"
PWY-6374	"vibriobactin biosynthesis"
PWY-7987	"vanchrobactin biosynthesis"
PWY-4984	"urea cycle"
PWY-6378	"putrebactin biosynthesis"
PWY-7446	"sulfoquinovose degradation I"
