"rxnID"	"Occur_num"	"formula"	"EC"	"keggID"	"biocycID"	"annote_method"
"MNXR95786"	325	"2 `CO2` + 2 `NH4(+)` = 3 `H(+)` + 1 `urea-1-carboxylate` + 1 `H2O`"	"3.5.1.54"	"kegg:R00005"	"ALLOPHANATE-HYDROLASE-RXN"	"MNX"
"MNXR96455"	331	"2 `H2O2` = 2 `H2O` + 1 `O2`"	"1.11.1.21;1.11.1.6"	"kegg:R00009"	"CATAL-RXN"	"MNX"
"MNXR102428"	332	"1 `CO2` + 1 `2-(1-hydroxyethyl)thiamine diphosphate` = 1 `H(+)` + 1 `pyruvate` + 1 `thiamine diphosphate`"	"1.2.4.1;2.2.1.6;4.1.1.1"	"kegg:R00014"	"RXN-12583"	"MNX"
"MNXR100245"	328	"2 `oxidized ferredoxin` + 2 `L-glutamate` = 2 `H(+)` + 2 `reduced ferredoxin` + 1 `2-oxoglutarate` + 1 `L-glutamine`"	"1.4.7.1"	"kegg:R00021"	"GLUTAMATE-SYNTHASE-FERREDOXIN-RXN"	"MNX"
"MNXR95628"	182	"2 `N-acetyl-D-glucosamine` = 1 `N,N'-diacetylchitobiose` + 1 `H2O`"	"3.2.1.52"	"kegg:R00022"	"RXN-12625"	"MNX"
"MNXR101350"	306	"1 `maltose` + 1 `H2O` = 2 `D-glucose`"	"3.2.1.20"	"kegg:R00028"	"RXN-15910"	"MNX"
"MNXR103095"	332	"1 `H(+)` + 2 `H2O` + 1 `porphobilinogen` = 2 `5-aminolevulinate`"	"4.2.1.24"	"kegg:R00036"	"PORPHOBILSYNTH-RXN"	"MNX"
"MNXR103430"	331	"1 `H(+)` + 2 `6,7-dimethyl-8-(1-D-ribityl)lumazine` = 1 `riboflavin` + 1 `5-amino-6-(D-ribitylamino)uracil`"	"2.5.1.9"	"kegg:R00066"	"RIBOFLAVIN-SYN-RXN"	"MNX"
"MNXR100658"	331	"4 `NH4(+)` + 1 `preuroporphyrinogen(8-)` = 1 `H2O` + 4 `porphobilinogen`"	"2.5.1.61;4.3.1.8"	"kegg:R00084"	"OHMETHYLBILANESYN-RXN"	"MNX"
"MNXR96131"	332	"1 `H(+)` + 1 `ADP` + 1 `phosphate` = 1 `H2O` + 1 `ATP`"	"3.6.1.15;3.6.1.3;3.6.1.5;3.6.1.8;3.6.3.1;3.6.3.10;3.6.3.11;3.6.3.12;3.6.3.14;3.6.3.15;3.6.3.16;3.6.3.17;3.6.3.18;3.6.3.19;3.6.3.2;3.6.3.20;3.6.3.21;3.6.3.22;3.6.3.23;3.6.3.24;3.6.3.25;3.6.3.26;3.6.3.27;3.6.3.28;3.6.3.29;3.6.3.3;3.6.3.30;3.6.3.31;3.6.3.32;3.6.3.33;3.6.3.34;3.6.3.35;3.6.3.36;3.6.3.37;3.6.3.38;3.6.3.39;3.6.3.4;3.6.3.40;3.6.3.41;3.6.3.42;3.6.3.43;3.6.3.44;3.6.3.46;3.6.3.47;3.6.3.48;3.6.3.49;3.6.3.5;3.6.3.50;3.6.3.51;3.6.3.52;3.6.3.53;3.6.3.54;3.6.3.6;3.6.3.7;3.6.3.8;3.6.3.9;3.6.4.1;3.6.4.10;3.6.4.11;3.6.4.12;3.6.4.13;3.6.4.2;3.6.4.3;3.6.4.4;3.6.4.5;3.6.4.6;3.6.4.7;3.6.4.8;3.6.4.9"	"kegg:R00086"	"ATPASE-RXN"	"MNX"
"MNXR102054"	272	"1 `H(+)` + 1 `diphosphate` + 1 `AMP` = 1 `H2O` + 1 `ATP`"	"3.6.1.8;3.6.1.9"	"kegg:R00087"	"ATP-PYROPHOSPHATASE-RXN"	"MNX"
