Experiment_id	Model_id	Essential_status
SPAC1002.04c	Schizosaccharomyces_pombe@Seq_4228	E
SPAC1002.08c	Schizosaccharomyces_pombe@Seq_3741	E
SPAC1002.09c	Schizosaccharomyces_pombe@Seq_3673	E
SPAC1002.10c	Schizosaccharomyces_pombe@Seq_3836	E
SPAC1002.11	Schizosaccharomyces_pombe@Seq_3961	E
SPAC1002.13c	Schizosaccharomyces_pombe@Seq_3646	E
SPAC1002.16c	Schizosaccharomyces_pombe@Seq_4569	E
SPAC1006.02	Schizosaccharomyces_pombe@Seq_3183	E
SPAC1006.07	Schizosaccharomyces_pombe@Seq_2437	E
SPAC1006.08	Schizosaccharomyces_pombe@Seq_2206	E
SPAC1071.01c	Schizosaccharomyces_pombe@Seq_4896	E
SPAC1071.10c	Schizosaccharomyces_pombe@Seq_5132	E
SPAC1093.04c	Schizosaccharomyces_pombe@Seq_2966	E
SPAC1093.05	Schizosaccharomyces_pombe@Seq_2264	E
SPAC10F6.02c	Schizosaccharomyces_pombe@Seq_2511	E
SPAC10F6.03c	Schizosaccharomyces_pombe@Seq_2608	E
SPAC10F6.09c	Schizosaccharomyces_pombe@Seq_84	E
SPAC10F6.10	Schizosaccharomyces_pombe@Seq_1720	E
SPAC110.03	Schizosaccharomyces_pombe@Seq_2370	E
SPAC110.04c	Schizosaccharomyces_pombe@Seq_1784	E
SPAC1142.04	Schizosaccharomyces_pombe@Seq_140	E
SPAC11E3.02c	Schizosaccharomyces_pombe@Seq_1379	E
SPAC11E3.07	Schizosaccharomyces_pombe@Seq_1799	E
SPAC11H11.06	Schizosaccharomyces_pombe@Seq_4518	E
SPAC1250.01	Schizosaccharomyces_pombe@Seq_5110	E
SPAC12B10.02c	Schizosaccharomyces_pombe@Seq_302	E
SPAC12B10.08c	Schizosaccharomyces_pombe@Seq_1449	E
SPAC12G12.02	Schizosaccharomyces_pombe@Seq_958	E
SPAC12G12.04	Schizosaccharomyces_pombe@Seq_4278	E
SPAC12G12.05c	Schizosaccharomyces_pombe@Seq_4030	E
SPAC12G12.06c	Schizosaccharomyces_pombe@Seq_233	E
SPAC12G12.08	Schizosaccharomyces_pombe@Seq_1213	E
SPAC12G12.14c	Schizosaccharomyces_pombe@Seq_3685	E
SPAC13A11.02c	Schizosaccharomyces_pombe@Seq_3016	E
SPAC13D6.05	Schizosaccharomyces_pombe@Seq_1931	E
SPAC13F5.02c	Schizosaccharomyces_pombe@Seq_2742	E
SPAC13F5.06c	Schizosaccharomyces_pombe@Seq_2948	E
SPAC13G6.05c	Schizosaccharomyces_pombe@Seq_715	E
SPAC13G6.11c	Schizosaccharomyces_pombe@Seq_4270	E
SPAC13G7.01c	Schizosaccharomyces_pombe@Seq_1467	E
SPAC13G7.08c	Schizosaccharomyces_pombe@Seq_3979	E
SPAC13G7.10	Schizosaccharomyces_pombe@Seq_2615	E
SPAC1420.02c	Schizosaccharomyces_pombe@Seq_5046	E
SPAC144.07c	Schizosaccharomyces_pombe@Seq_1910	E
SPAC144.09c	Schizosaccharomyces_pombe@Seq_5037	E
SPAC144.10c	Schizosaccharomyces_pombe@Seq_3094	E
SPAC144.12	Schizosaccharomyces_pombe@Seq_255	E
SPAC144.15c	Schizosaccharomyces_pombe@Seq_2358	E
SPAC144.16	Schizosaccharomyces_pombe@Seq_350	E
SPAC144.18	Schizosaccharomyces_pombe@Seq_4662	E
SPAC1486.03c	Schizosaccharomyces_pombe@Seq_4933	E
SPAC1486.05	Schizosaccharomyces_pombe@Seq_34	E
SPAC1486.06	Schizosaccharomyces_pombe@Seq_458	E
SPAC1486.07c	Schizosaccharomyces_pombe@Seq_1904	E
SPAC1486.09	Schizosaccharomyces_pombe@Seq_3813	E
SPAC14C4.02c	Schizosaccharomyces_pombe@Seq_2240	E
SPAC1556.07	Schizosaccharomyces_pombe@Seq_2046	E
SPAC1565.05	Schizosaccharomyces_pombe@Seq_2871	E
SPAC1565.08	Schizosaccharomyces_pombe@Seq_1489	E
SPAC15A10.01	Schizosaccharomyces_pombe@Seq_4476	E
SPAC15A10.02	Schizosaccharomyces_pombe@Seq_3208	E
SPAC15A10.12c	Schizosaccharomyces_pombe@Seq_3724	E
SPAC15E1.08	Schizosaccharomyces_pombe@Seq_2157	E
SPAC15F9.03c	Schizosaccharomyces_pombe@Seq_3252	E
SPAC16.02c	Schizosaccharomyces_pombe@Seq_68	E
SPAC167.02	Schizosaccharomyces_pombe@Seq_4088	E
SPAC167.03c	Schizosaccharomyces_pombe@Seq_583	E
SPAC1687.01	Schizosaccharomyces_pombe@Seq_4749	E
SPAC1687.02	Schizosaccharomyces_pombe@Seq_3505	E
SPAC1687.03c	Schizosaccharomyces_pombe@Seq_326	E
SPAC1687.04	Schizosaccharomyces_pombe@Seq_4806	E
SPAC1687.11	Schizosaccharomyces_pombe@Seq_1393	E
SPAC1687.18c	Schizosaccharomyces_pombe@Seq_1845	E
SPAC1687.20c	Schizosaccharomyces_pombe@Seq_2150	E
SPAC16A10.06c	Schizosaccharomyces_pombe@Seq_3060	E
SPAC16C9.03	Schizosaccharomyces_pombe@Seq_2386	E
SPAC16E8.02	Schizosaccharomyces_pombe@Seq_3203	E
SPAC16E8.03	Schizosaccharomyces_pombe@Seq_3824	E
SPAC16E8.04c	Schizosaccharomyces_pombe@Seq_4677	E
SPAC16E8.07c	Schizosaccharomyces_pombe@Seq_2107	E
SPAC16E8.10c	Schizosaccharomyces_pombe@Seq_4995	E
SPAC16E8.11c	Schizosaccharomyces_pombe@Seq_1324	E
SPAC16E8.15	Schizosaccharomyces_pombe@Seq_5031	E
SPAC16E8.16	Schizosaccharomyces_pombe@Seq_2217	E
SPAC1751.02c	Schizosaccharomyces_pombe@Seq_5010	E
SPAC1751.03	Schizosaccharomyces_pombe@Seq_2740	E
SPAC1782.03	Schizosaccharomyces_pombe@Seq_2836	E
SPAC1782.10c	Schizosaccharomyces_pombe@Seq_4929	E
SPAC1783.03	Schizosaccharomyces_pombe@Seq_3668	E
SPAC1786.03	Schizosaccharomyces_pombe@Seq_117	E
SPAC17A2.03c	Schizosaccharomyces_pombe@Seq_1333	E
SPAC17A2.04c	Schizosaccharomyces_pombe@Seq_2284	E
SPAC17A2.08c	Schizosaccharomyces_pombe@Seq_3275	E
SPAC17A5.03	Schizosaccharomyces_pombe@Seq_659	E
SPAC17A5.06	Schizosaccharomyces_pombe@Seq_3814	E
SPAC17A5.12	Schizosaccharomyces_pombe@Seq_640	E
SPAC17A5.13	Schizosaccharomyces_pombe@Seq_3826	E
SPAC17A5.15c	Schizosaccharomyces_pombe@Seq_3835	E
SPAC17C9.01c	Schizosaccharomyces_pombe@Seq_310	E
SPAC17C9.03	Schizosaccharomyces_pombe@Seq_3704	E
SPAC17C9.06	Schizosaccharomyces_pombe@Seq_210	E
SPAC17D4.02	Schizosaccharomyces_pombe@Seq_1201	E
SPAC17G6.07c	Schizosaccharomyces_pombe@Seq_828	E
SPAC17G6.09	Schizosaccharomyces_pombe@Seq_3015	E
SPAC17G6.10	Schizosaccharomyces_pombe@Seq_3205	E
SPAC17G6.11c	Schizosaccharomyces_pombe@Seq_4961	E
SPAC17G6.12	Schizosaccharomyces_pombe@Seq_2526	E
SPAC17G6.14c	Schizosaccharomyces_pombe@Seq_959	E
SPAC17G6.16c	Schizosaccharomyces_pombe@Seq_3385	E
SPAC17G8.01c	Schizosaccharomyces_pombe@Seq_4513	E
SPAC17G8.03c	Schizosaccharomyces_pombe@Seq_2478	E
SPAC17G8.04c	Schizosaccharomyces_pombe@Seq_737	E
SPAC17G8.12	Schizosaccharomyces_pombe@Seq_2426	E
SPAC17H9.02	Schizosaccharomyces_pombe@Seq_1701	E
SPAC17H9.05	Schizosaccharomyces_pombe@Seq_1526	E
SPAC17H9.07	Schizosaccharomyces_pombe@Seq_4871	E
SPAC17H9.16	Schizosaccharomyces_pombe@Seq_2034	E
SPAC17H9.17c	Schizosaccharomyces_pombe@Seq_4925	E
SPAC17H9.20	Schizosaccharomyces_pombe@Seq_3002	E
SPAC1805.17	Schizosaccharomyces_pombe@Seq_1027	E
SPAC1834.01	Schizosaccharomyces_pombe@Seq_4102	E
SPAC1834.02	Schizosaccharomyces_pombe@Seq_4558	E
SPAC1834.06c	Schizosaccharomyces_pombe@Seq_180	E
