Experiment_id	Model_id	Essential_status
PAS_chr2-1_0500	Komagataella_pastoris@Seq_11	E
PAS_chr4_0709	Komagataella_pastoris@Seq_2560	E
PAS_chr2-2_0044	Komagataella_pastoris@Seq_791	E
PAS_chr3_0376	Komagataella_pastoris@Seq_4404	E
PAS_chr3_0157	Komagataella_pastoris@Seq_3732	E
PAS_chr1-3_0238	Komagataella_pastoris@Seq_3069	E
PAS_chr2-1_0163	Komagataella_pastoris@Seq_1469	E
PAS_chr3_0568	Komagataella_pastoris@Seq_998	E
PAS_chr1-4_0463	Komagataella_pastoris@Seq_4023	E
PAS_chr3_0949	Komagataella_pastoris@Seq_1102	E
PAS_chr3_0166	Komagataella_pastoris@Seq_1110	E
PAS_chr2-2_0480	Komagataella_pastoris@Seq_3543	E
PAS_chr4_0906	Komagataella_pastoris@Seq_3142	E
PAS_chr2-2_0219	Komagataella_pastoris@Seq_2442	E
PAS_chr3_1115	Komagataella_pastoris@Seq_281	E
PAS_chr4_0398	Komagataella_pastoris@Seq_283	E
PAS_chr3_0890	Komagataella_pastoris@Seq_3265	E
PAS_chr4_0276	Komagataella_pastoris@Seq_4528	E
PAS_chr2-2_0053	Komagataella_pastoris@Seq_2293	E
PAS_chr1-4_0604	Komagataella_pastoris@Seq_1884	E
PAS_chr1-4_0598	Komagataella_pastoris@Seq_1338	E
PAS_chr3_0053	Komagataella_pastoris@Seq_4782	E
PAS_chr3_0754	Komagataella_pastoris@Seq_3304	E
PAS_chr3_0124	Komagataella_pastoris@Seq_491	E
PAS_chr4_0522	Komagataella_pastoris@Seq_463	E
PAS_chr2-1_0346	Komagataella_pastoris@Seq_1146	E
PAS_chr1-1_0390	Komagataella_pastoris@Seq_4313	E
PAS_chr1-1_0391	Komagataella_pastoris@Seq_332	E
PAS_chr2-1_0391	Komagataella_pastoris@Seq_3251	E
PAS_chr3_0317	Komagataella_pastoris@Seq_2890	E
PAS_chr4_0344	Komagataella_pastoris@Seq_1298	E
PAS_chr2-2_0238	Komagataella_pastoris@Seq_4013	E
PAS_chr4_0323	Komagataella_pastoris@Seq_3612	E
PAS_chr3_0222	Komagataella_pastoris@Seq_1697	E
PAS_chr1-4_0314	Komagataella_pastoris@Seq_2611	E
PAS_chr2-1_0395	Komagataella_pastoris@Seq_843	E
PAS_chr1-4_0458	Komagataella_pastoris@Seq_4726	E
PAS_chr2-2_0330	Komagataella_pastoris@Seq_206	E
PAS_chr2-1_0543	Komagataella_pastoris@Seq_4345	E
PAS_chr1-3_0122	Komagataella_pastoris@Seq_241	E
PAS_chr4_0735	Komagataella_pastoris@Seq_453	E
PAS_chr1-1_0008	Komagataella_pastoris@Seq_785	E
PAS_chr1-4_0095	Komagataella_pastoris@Seq_3859	E
PAS_chr3_0144	Komagataella_pastoris@Seq_4829	E
PAS_chr2-1_0628	Komagataella_pastoris@Seq_400	E
PAS_chr1-1_0432	Komagataella_pastoris@Seq_150	E
PAS_chr2-2_0329	Komagataella_pastoris@Seq_487	E
PAS_chr2-1_0191	Komagataella_pastoris@Seq_2117	E
PAS_chr1-3_0187	Komagataella_pastoris@Seq_3827	E
PAS_chr2-2_0318	Komagataella_pastoris@Seq_3137	E
PAS_chr2-2_0349	Komagataella_pastoris@Seq_853	E
PAS_chr1-4_0514	Komagataella_pastoris@Seq_3592	E
PAS_chr1-3_0083	Komagataella_pastoris@Seq_3520	E
PAS_chr4_0697	Komagataella_pastoris@Seq_1805	E
PAS_chr1-4_0249	Komagataella_pastoris@Seq_3376	E
PAS_chr1-4_0003	Komagataella_pastoris@Seq_3885	E
PAS_chr3_0244	Komagataella_pastoris@Seq_2342	E
PAS_chr3_0165	Komagataella_pastoris@Seq_4702	E
PAS_chr3_0996	Komagataella_pastoris@Seq_4611	E
PAS_chr4_0302	Komagataella_pastoris@Seq_943	E
PAS_chr2-1_0125	Komagataella_pastoris@Seq_757	E
PAS_chr3_0285	Komagataella_pastoris@Seq_2807	E
PAS_chr4_0239	Komagataella_pastoris@Seq_3082	E
PAS_chr2-1_0223	Komagataella_pastoris@Seq_417	E
PAS_chr2-2_0309	Komagataella_pastoris@Seq_1175	E
PAS_chr3_0462	Komagataella_pastoris@Seq_1120	E
PAS_chr3_0707	Komagataella_pastoris@Seq_3764	E
PAS_chr2-2_0387	Komagataella_pastoris@Seq_139	E
PAS_chr1-4_0304	Komagataella_pastoris@Seq_1569	E
PAS_chr1-4_0429	Komagataella_pastoris@Seq_1735	E
PAS_chr4_0393	Komagataella_pastoris@Seq_806	E
PAS_chr1-4_0295	Komagataella_pastoris@Seq_2578	E
PAS_chr1-4_0324	Komagataella_pastoris@Seq_1296	E
PAS_chr1-3_0244	Komagataella_pastoris@Seq_684	E
PAS_chr4_0785	Komagataella_pastoris@Seq_2186	E
PAS_chr4_0826	Komagataella_pastoris@Seq_495	E
PAS_chr2-1_0695	Komagataella_pastoris@Seq_958	E
PAS_chr3_0765	Komagataella_pastoris@Seq_1869	E
PAS_chr2-2_0431	Komagataella_pastoris@Seq_634	E
PAS_chr1-4_0292	Komagataella_pastoris@Seq_1640	E
