Query ID	Predicted EC number
Alloascoidea_hylecoeti@Seq_2673	EC:2.7.11.1
Alloascoidea_hylecoeti@Seq_2673	EC:2.3.2.27
Saccharomyces_cerevisiae@YMR189W	EC:1.4.4.2
Schizosaccharomyces_pombe@Seq_874	EC:2.3.2.27
Saprochaete_clavata@Seq_1484	EC:2.7.7.48
Candida_tropicalis@Seq_3181	EC:5.2.1.8
yHMPu5000034635_Nadsonia_fulvescens@Seq_4205	EC:2.7.11.1
Alloascoidea_hylecoeti@Seq_6353	EC:2.7.11.1
yHMPu5000034947_Ambrosiozyma_philentoma@Seq_3513	EC:1.11.1.9
Geotrichum_candidum@Seq_6861	EC:3.1.26.5
Geotrichum_candidum@Seq_351	EC:3.4.19.12
Botrytis_cinerea@Seq_8431	EC:2.7.7.6
Neurospora_crassa@Seq_6773	EC:2.7.13.3
Metschnikowia_hibisci@Seq_4338	EC:2.3.2.27
Saccharomyces_cerevisiae@YJL106W	EC:2.7.11.22
Wickerhamiella_domercqiae@Seq_1155	EC:2.3.2.27
Saccharomyces_cerevisiae@YGR194C	EC:2.7.1.17
Arthrobotrys_oligospora@Seq_10575	EC:3.2.1.78
yHMPu5000034918_Nakazawaea_holstii@Seq_5159	EC:2.7.7.6
Tetrapisispora_phaffii@Seq_4113	EC:2.7.11.1
Saccharomyces_cerevisiae@YMR095C	EC:4.3.3.6
Saccharomyces_cerevisiae@YMR095C	EC:3.5.1.2
yHMPu5000034892_Ogataea_pilisensis@Seq_1554	EC:2.2.1.2
Saccharomyces_cerevisiae@YGR092W	EC:2.7.11.1
Saccharomyces_cerevisiae@YMR108W	EC:2.2.1.6
yHMPu5000035022_Candida_emberorum@Seq_769	EC:3.2.2.n1
Sclerotinia_sclerotiorum@Seq_7117	EC:2.7.7.6
Saccharomyces_cerevisiae@YKL184W	EC:4.1.1.17
yHMPu5000041822_Dipodascus_geniculatus@Seq_5301	EC:1.6.5.3
Aspergillus_nidulans@Seq_10669	EC:3.1.1.74
Aspergillus_nidulans@Seq_729	EC:3.2.1.101
Arthrobotrys_oligospora@Seq_9789	EC:3.6.4.13
Saccharomyces_cerevisiae@YKL017C	EC:3.6.4.12
Arthrobotrys_oligospora@Seq_10285	EC:3.1.1.11
Saccharomyces_cerevisiae@YPL095C	EC:2.3.1.84
Saccharomyces_cerevisiae@YBR249C	EC:2.5.1.54
Saccharomyces_cerevisiae@YPR068C	EC:3.5.1.98
Arthrobotrys_oligospora@Seq_483	EC:5.2.1.8
Candida_dubliniensis@Seq_564	EC:1.11.1.15
yHMPu5000034661_Dipodascus_albidus@Seq_3901	EC:3.6.4.13
yHMPu5000034974_Deakozyma_indianensis@Seq_4046	EC:3.2.1.4
Kuraishia_capsulata@Seq_4632	EC:5.2.1.8
Tetrapisispora_blattae@Seq_2182	EC:3.6.4.13
Saccharomyces_cerevisiae@YML005W	EC:2.5.1.114
Komagataella_pastoris@Seq_365	EC:2.3.2.27
Saccharomyces_cerevisiae@YDL141W	EC:6.3.4.15
Sclerotinia_sclerotiorum@Seq_14042	EC:3.2.1.4
yHMPu5000034631_Martiniozyma_abiesophila@Seq_7991	EC:3.2.1.17
Coccidioides_immitis@Seq_9197	EC:3.1.26.5
yHMPu5000034671_Blastobotrys_peoriensis@Seq_1748	EC:2.3.2.27
yHMPu5000034890_Ogataea_ramenticola@Seq_5698	EC:2.5.1.18
Saccharomyces_cerevisiae@YCR068W	EC:3.1.1.3
Candida_boidinii_JCM9604@Seq_2241	EC:3.6.4.13
Stagonospora_nodorum@Seq_7898	EC:2.3.2.27
yHMPu5000034748_Lipomyces_oligophaga@Seq_3786	EC:2.7.7.48
Zygosaccharomyces_rouxii@Seq_482	EC:2.4.2.10
yHAB133_Kazachstania_unispora@Seq_5383	EC:2.3.1.199
Saccharomyces_cerevisiae@YPR037C	EC:1.8.3.2
Saccharomyces_cerevisiae@YKL150W	EC:1.6.2.2
yHMPu5000034754_Lipomyces_arxii@Seq_5516	EC:2.4.1.129
yHMPu5000034635_Nadsonia_fulvescens@Seq_1504	EC:2.3.2.27
yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_2219	EC:2.3.2.27
Xylona_heveae@Seq_1004	EC:3.2.1.17
yHMPu5000035629_Yueomyces_sinensis@Seq_4214	EC:2.7.11.1
yHMPu5000035261_Candida_ponderosae@Seq_5509	EC:3.1.2.4
Saccharomyces_cerevisiae@YGR244C	EC:6.2.1.5
yHMPu5000026197_Brettanomyces_custersianus@Seq_613	EC:2.6.1.9
yHAB158_Kazachstania_viticola@Seq_4314	EC:5.1.3.2
Saccharomyces_cerevisiae@YOL066C	EC:5.4.99.28
Saccharomyces_cerevisiae@YOL066C	EC:3.5.4.26
Sugiyamaella_lignohabitans@Seq_3980	EC:3.1.3.48
Saccharomyces_cerevisiae@YDL140C	EC:2.7.7.6
Saccharomyces_cerevisiae@YIR034C	EC:1.5.1.7
Botrytis_cinerea@Seq_2138	EC:1.9.3.1
yHMPu5000034876_Tetrapisispora_iriomotensis@Seq_3110	EC:2.7.7.6
Lachancea_kluyveri@Seq_2245	EC:2.1.1.72
Saccharomyces_cerevisiae@YOR245C	EC:2.3.1.20
Fusarium_graminearum@Seq_2373	EC:1.6.5.8
Saccharomyces_cerevisiae@YIL129C	EC:2.7.7.59
Saccharomyces_cerevisiae@YLR172C	EC:2.1.1.314
Saccharomyces_cerevisiae@YLR172C	EC:2.1.1.98
Vanderwaltozyma_polyspora@Seq_5622	EC:2.7.11.1
Saccharomyces_cerevisiae@YLR417W	EC:2.3.2.27
Saccharomyces_cerevisiae@YOL054W	EC:2.3.2.27
Saitoella_complicata@Seq_1312	EC:3.1.1.3
yHMPu5000035695_Hanseniaspora_pseudoguilliermondii@Seq_3981	EC:1.6.5.3
yHMPu5000034604_Sporopachydermia_lactativora@Seq_1714	EC:2.7.7.6
Saccharomyces_cerevisiae@YGL253W	EC:2.7.1.1
Neurospora_crassa@Seq_1564	EC:4.2.1.11
Arthrobotrys_oligospora@Seq_11289	EC:2.7.7.48
Pachysolen_tannophilus@Seq_3090	EC:2.3.2.27
Saccharomyces_cerevisiae@YDL104C	EC:2.3.1.234
yHMPu5000034754_Lipomyces_arxii@Seq_7880	EC:3.2.1.22
Wickerhamiella_domercqiae@Seq_1793	EC:2.6.1.37
yHAB166_Kazachstania_yakushimaensis@Seq_1651	EC:2.7.7.6
Saccharomyces_cerevisiae@YAL039C	EC:4.4.1.17
Saprochaete_clavata@Seq_3068	EC:2.7.7.19
yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_2318	EC:1.9.3.1
Candida_tropicalis@Seq_2974	EC:3.1.26.5
Ascoidea_asiatica@Seq_6084	EC:2.3.2.27
Botrytis_cinerea@Seq_2568	EC:2.3.1.51
Saccharomyces_cerevisiae@YDR519W	EC:5.2.1.8
Botrytis_cinerea@Seq_15047	EC:2.3.2.27
Saccharomyces_cerevisiae@YNL330C	EC:3.5.1.98
Saccharomyces_cerevisiae@YNR001C	EC:2.3.3.16
Saccharomyces_cerevisiae@YOR221C	EC:2.3.1.39
Saccharomyces_cerevisiae@YJR153W	EC:3.2.1.15
Stagonospora_nodorum@Seq_10364	EC:1.14.13.22
Fusarium_graminearum@Seq_2038	EC:1.10.3.2
Saccharomyces_cerevisiae@YER069W	EC:2.7.2.8
