rxns	rxnNames	formulas	flux	grRules	subSystems
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(R)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c]	0	(C5DQS7_ZYGRC and C5DXI1_ZYGRC) or (C5DQS7_ZYGRC and YJR048W) or (C5DXI1_ZYGRC and YEL071W) or (YEL071W and YJR048W)	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(R)-lactate[m] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[m]	0	(C5DTK2_ZYGRC and C5DXI1_ZYGRC) or (C5DTK2_ZYGRC and YJR048W)	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism
r_0003	(R,R)-butanediol dehydrogenase	(R,R)-2,3-butanediol[c] + NAD[c] => (R)-acetoin[c] + H+[c] + NADH[c]	0	YAL060W	sce00650  Butanoate metabolism
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	(S)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c]	0	(C5DXI1_ZYGRC and C5DS44_ZYGRC) or (YJR048W and C5DS44_ZYGRC)	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism
r_0005	1,3-beta-glucan synthase	UDP-D-glucose[c] => (1->3)-beta-D-glucan[ce] + H+[c] + UDP[c]	0.113895947336943	C5DNY0_ZYGRC or YMR306W	sce00500  Starch and sucrose metabolism // sce04011  MAPK signaling pathway - yeast
r_0006	1,6-beta-glucan synthase	UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]	0.0380546351928695	C5DU14_ZYGRC or YPR159W	
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c] => 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c]	0.000150641035301295	C5DR28_ZYGRC	sce00740  Riboflavin metabolism
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine[c] + H+[c] + NADPH[c] => 2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + NADP(+)[c]	0.000150641035301295	C5DR70_ZYGRC	sce00740  Riboflavin metabolism
r_0016	2-aceto-2-hydroxybutanoate synthase	2-oxobutanoate[m] + H+[m] + pyruvate[m] => (S)-2-acetyl-2-hydroxybutanoate[m] + carbon dioxide[m]	0.0336812145902729	(C5E4D3_ZYGRC and C5E1C9_ZYGRC) or C5E1C9_ZYGRC	sce00290  Valine, leucine and isoleucine biosynthesis // sce00650  Butanoate metabolism // sce00660  C5-Branched dibasic acid metabolism // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol[m] + ATP[m] => (2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate[m] + AMP[m] + H+[m]	0	C5DYW0_ZYGRC	sce00790  Folate biosynthesis
