rxns	rxnNames	formulas	flux	grRules	subSystems
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	(R)-lactate[c] + 2 ferricytochrome c[m] => 2 ferrocytochrome c[m] + pyruvate[c]	0	(CYC_SCHPO and YEL071W) or (YEL071W and YJR048W)	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism
r_0006	1,6-beta-glucan synthase	UDP-D-glucose[c] => (1->6)-beta-D-glucan[ce] + H+[c] + UDP[c]	0.0222984831135394	YEPB_SCHPO or YPR159W	
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone[c] + H+[c] + H2O[c] => 5-amino-6-(5-phosphoribitylamino)uracil[c] + ammonium[c]	0.00012000540990719	YA32_SCHPO	sce00740  Riboflavin metabolism
r_0027	2-methylcitrate dehydratase	homocitrate[m] => but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]	0.038117786120793	NUP_SCHPO	sce00300  Lysine biosynthesis // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	(2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] => 4-methyl-2-oxopentanoate[c] + carbon dioxide[c]	0.0394762245200411	YJR148W	sce00270  Cysteine and methionine metabolism // sce00280  Valine, leucine and isoleucine degradation // sce00290  Valine, leucine and isoleucine biosynthesis // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids
r_0041	3-dehydrosphinganine reductase	3-ketosphinganine[er] + 2 H+[er] + NADPH[er] => NADP(+)[er] + sphinganine[er]	0	YCKF_SCHPO	sce00600  Sphingolipid metabolism
r_0059	3-isopropylmalate 3-methyltransferase	(2R,3S)-3-isopropylmalate[c] + S-adenosyl-L-methionine[c] => 3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate[c] + S-adenosyl-L-homocysteine[c]	0	YER175C	
r_0062	3-methyl-2-oxobutanoate decarboxylase	3-methyl-2-oxobutanoate[c] + H+[c] => carbon dioxide[c] + isobutyraldehyde[c]	0	YGR087C or YLR044C or YLR134W	Gluconeogenesis // sce00010  Glycolysis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics
r_0070	4-hydroxybenzoate formation	4-hydroxybenzoyl-CoA[m] + H2O[m] => 4-hydroxybenzoate[m] + coenzyme A[m] + H+[m]	0		
r_0076	5'-nucleotidase (CMP)	CMP[c] + H2O[c] => cytidine[c] + phosphate[c]	0	YAI5_SCHPO	sce00760  Nicotinate and nicotinamide metabolism
r_0078	5'-nucleotidase (UMP)	H2O[c] + UMP[c] => phosphate[c] + uridine[c]	0	YAI5_SCHPO	sce00760  Nicotinate and nicotinamide metabolism
