strains	clade	phenotype
Alloascoidea hylecoeti	Alloascoideaceae	Normal
Ambrosiozyma kashinagacola	Pichiaceae	Normal
Ambrosiozyma monospora	Pichiaceae	Normal
Arthrobotrys oligospora	Ascomycota	Normal
Arxula adeninivorans	Dipodascaceae/Trichomonascaceae	"Heat,Lipid"
Ascoidea asiatica	CUG-Ser2	Normal
Ascoidea rubescens	CUG-Ser2	Normal
Ashbya aceri	Saccharomycetaceae	Normal
Aspergillus nidulans	Ascomycota	Normal
Babjeviella inositovora	CUG-Ser1	Normal
Botrytis cinerea	Ascomycota	Normal
Brettanomyces anomalus	Pichiaceae	Normal
Candida albicans	CUG-Ser1	Pathogen
Candida apicola	Dipodascaceae/Trichomonascaceae	Normal
Candida arabinofermentans	Pichiaceae	Normal
Candida auris	CUG-Ser1	"Pathogen,Heat"
Candida boidinii JCM9604	Pichiaceae	Normal
Candida carpophila	CUG-Ser1	Normal
Candida dubliniensis	CUG-Ser1	Pathogen
Candida glabrata	Saccharomycetaceae	Pathogen
Candida homilentoma	CUG-Ser1	Normal
Candida infanticola	Dipodascaceae/Trichomonascaceae	Normal
Candida intermedia	CUG-Ser1	Pathogen
Candida orthopsilosis	CUG-Ser1	"Heat,Lipid,Pathogen"
Candida parapsilosis	CUG-Ser1	"Pathogen,Lipid"
Candida sojae	CUG-Ser1	Normal
Candida sorboxylosa	Pichiaceae	Normal
Candida succiphila	Pichiaceae	Normal
Candida tanzawaensis	CUG-Ser1	Normal
Candida tenuis	CUG-Ser1	Normal
Candida tropicalis	CUG-Ser1	Pathogen
Candida versatilis	Dipodascaceae/Trichomonascaceae	Normal
Clavispora lusitaniae	CUG-Ser1	Lipid
Coccidioides immitis	Ascomycota	Normal
Cyberlindnera fabianii JCM3601	Phaffomycetaceae	Normal
Cyberlindnera jadinii	Phaffomycetaceae	Normal
Debaryomyces hansenii	CUG-Ser1	Lipid
Dekkera bruxellensis	Pichiaceae	Normal
Eremothecium coryli	Saccharomycetaceae	Heat
Eremothecium cymbalariae	Saccharomycetaceae	Normal
Eremothecium gossypii	Saccharomycetaceae	Normal
Eremothecium sinecaudum	Saccharomycetaceae	Heat
Fusarium graminearum	Ascomycota	Normal
Geotrichum candidum	Dipodascaceae/Trichomonascaceae	Normal
Hanseniaspora uvarum	Saccharomycodaceae	Normal
