ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
RXN-1623	lysophosphatidate acyltransferase;acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase;1-acyl-sn-glycerol-3-phosphate acyltransferase gamma;1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon;1-acyl-sn-glycerol-3-phosphate acyl transferase;1-acyl-sn-glycerol-3-phosphate acyltransferase delta;1-acyl-sn-glycerol-3-phosphate acyltransferase beta;1-acyl-sn-glycero-3-phosphate acyltransferase	ACYL-COA[s] + ACYL-SN-GLYCEROL-3P[s] => coenzyme A[s] + L-PHOSPHATIDATE[s]	ec-code/2.3.1.51	augustus_masked-LAME0F-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-7.11&CDS=1-960	0	1000			rhea/19710;kegg.reaction/R02241	diacylglycerol and triacylglycerol biosynthesis;CDP-diacylglycerol biosynthesis I				2
LEUKOTRIENE-A4-HYDROLASE-RXN	leukotriene A-4 hydrolase	leukotriene A4[s] + H2O[s] => leukotriene B4[s]	ec-code/3.3.2.6	maker-LAME0G-augustus-gene-13.41-mRNA-1_1&gene=maker-LAME0G-augustus-gene-13.41&CDS=1-2388	0	1000			rhea/22325;kegg.reaction/R03057	leukotriene biosynthesis				2
LCYSDESULF-RXN	L-cysteine desulfhydrase;L-cysteine desulfidase	L-cysteine[s] + H2O[s] => ammonium[s] + hydrogen sulfide[s] + pyruvate[s]	ec-code/4.4.1.1;ec-code/4.4.1.28	augustus_masked-LAME0C-processed-gene-8.69-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-8.69&CDS=1-1194	0	1000			rhea/24932;kegg.reaction/R00782	hydrogen sulfide biosynthesis II (mammalian)				2
LANOSTEROL-SYNTHASE-RXN	2,3-oxidosqualene-lanosterol cyclase;lanosterol synthase	(3S)-2,3-epoxy-2,3-dihydrosqualene[s] => lanosterol[s]	ec-code/5.4.99.7	augustus_masked-LAME0E-processed-gene-12.20-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-12.20&CDS=1-2172	0	1000			rhea/14622;kegg.reaction/R03199	lanosterol biosynthesis				2
L-XYLULOSE-REDUCTASE-RXN	L-xylulose reductase	NADP+[s] + xylitol[s] <=> L-xylulose[s] + NADPH[s] + H+[s]	ec-code/1.1.1.10	augustus_masked-LAME0D-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-1.5&CDS=1-858	-1000	1000			rhea/17028;kegg.reaction/R01904	L-arabinose degradation II;D-glucuronate degradation I				2
RXN4FS-2	phosphatidyl-N-dimethylethanolamine N-methyltransferase	CPD-160[s] + S-ADENOSYLMETHIONINE[s] => S-adenosyl-L-homocysteine[s] + PHOSPHATIDYLCHOLINE[s] + H+[s]	ec-code/2.1.1.71	augustus_masked-LAME0C-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-1.105&CDS=1-660	0	1000			rhea/32740	phosphatidylcholine biosynthesis V;phosphatidylcholine biosynthesis IV;phosphatidylcholine biosynthesis III				2
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	glutamine:fructose-6-phosphate amidotransferase;D-glucosamine-6-phosphate synthase;glutaminemdashfructose-6-phosphate transaminase;glucosamine:fructose-6-phosphate aminotransferase;L-glutaminemdashD-fructose-6-phosphate aminotransferase;glucosamine-fructose-6-phosphate aminotransferase	beta-D-fructofuranose 6-phosphate[s] + L-glutamine[s] <=> D-GLUCOSAMINE-6-P[s] + L-glutamate[s]	ec-code/2.6.1.16	augustus_masked-LAME0G-processed-gene-16.21-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-16.21&CDS=1-2106	-1000	1000			rhea/13237;kegg.reaction/R00768	UDP-N-acetyl-D-galactosamine biosynthesis III;UDP-N-acetyl-D-glucosamine biosynthesis II;UDP-N-acetyl-D-glucosamine biosynthesis I;CMP-legionaminate biosynthesis I				2
RXN3O-9783	alpha-D-mannosyl-[protein] alpha-1,2 mannosyltransferase	GDP-alpha-D-mannose[s] + O-D-MANNOSYL-PROTEIN[s] => GDP[s] + Man-12-Man-Proteins[s] + H+[s]	ec-code/2.4.1	augustus_masked-LAME0D-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-7.7&CDS=1-1170 or genemark-LAME0G-processed-gene-5.47-mRNA-1_1&gene=genemark-LAME0G-processed-gene-5.47&CDS=1-1269 or maker-LAME0H-augustus-gene-8.99-mRNA-1_1&gene=maker-LAME0H-augustus-gene-8.99&CDS=1-2490 or augustus_masked-LAME0H-processed-gene-8.137-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.137&CDS=1-1353	0	1000				protein O-mannosylation I (yeast)				2
RXN3O-9782	ergosteryl-beta-D-glucosidase	ergosterol 3-O-beta-D-glucoside[s] + H2O[s] => ergosterol[s] + Glucopyranose[s]	ec-code/3.2.1.104	augustus_masked-LAME0F-processed-gene-9.0-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-9.0&CDS=1-2235	0	1000								2
RXN3O-75	5-demethoxyubiquinol hydroxylase	6-methoxy-3-methyl-2-all-trans-hexaprenyl-1,4-benzoquinol[s] + Donor-H2[s] + oxygen[s] => 3-demethylubiquinol-6[s] + Acceptor[s] + H2O[s]	ec-code/1.14.99.60	augustus_masked-LAME0D-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-3.106&CDS=1-693	0	1000				ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast);ubiquinol-6 bypass biosynthesis (eukaryotic)				2
