Query ID	Predicted EC number
Neurospora_crassa@Seq_5424	EC:2.7.7.48
Neurospora_crassa@Seq_5424	EC:5.99.1.2
yHMPu5000034947_Ambrosiozyma_philentoma@Seq_3245	EC:3.1.3.16
Saccharomyces_cerevisiae@YHR042W	EC:1.6.2.4
Saccharomyces_cerevisiae@YOL093W	EC:2.1.1.221
yHMPu5000034631_Martiniozyma_abiesophila@Seq_2793	EC:3.6.4.12
Candida_sojae@Seq_554	EC:1.6.5.2
Saccharomyces_cerevisiae@YIL116W	EC:2.6.1.9
Schizosaccharomyces_pombe@Seq_2348	EC:2.7.11.1
yHMPu5000034884_Peterozyma_toletana@Seq_5324	EC:2.7.11.1
yHMPu5000034614_Saturnispora_silvae@Seq_39	EC:2.3.2.27
Saccharomyces_cerevisiae@YDL017W	EC:2.7.11.1
Botrytis_cinerea@Seq_3286	EC:1.9.3.1
Saccharomyces_cerevisiae@YKL166C	EC:2.7.11.11
yHMPu5000035645_Yarrowia_divulgata@Seq_389	EC:1.6.5.3
Saccharomyces_cerevisiae@YKL148C	EC:1.3.5.1
Candida_tenuis@Seq_3375	EC:2.7.11.24
Wickerhamiella_domercqiae@Seq_3613	EC:2.7.7.6
yHMPu5000034611_Saturnispora_mendoncae@Seq_1097	EC:1.6.5.3
Saccharomyces_cerevisiae@YFL017C	EC:2.3.1.4
Saccharomyces_cerevisiae@YER051W	EC:1.14.11.27
yHMPu5000035261_Candida_ponderosae@Seq_252	EC:2.7.11.1
Coccidioides_immitis@Seq_6636	EC:2.7.11.1
Metschnikowia_hamakuensis@Seq_2035	EC:1.6.99.3
Metschnikowia_hamakuensis@Seq_2035	EC:1.6.5.3
Saccharomyces_cerevisiae@YLR244C	EC:3.4.11.18
Saccharomyces_cerevisiae@YOL088C	EC:5.3.4.1
yHMPu5000034957_Hanseniaspora_osmophila@Seq_1584	EC:2.3.2.27
yHMPu5000034661_Dipodascus_albidus@Seq_7253	EC:2.3.2.27
yHMPu5000034952_Citeromyces_siamensis@Seq_9407	EC:2.7.7.6
Neurospora_crassa@Seq_4770	EC:2.3.2.27
Metschnikowia_bicuspidata@Seq_1129	EC:3.1.2.12
Saccharomyces_cerevisiae@YMR101C	EC:2.5.1.87
Fusarium_graminearum@Seq_5938	EC:3.6.4.13
yHMPu5000034654_Aciculoconidium_aculeatum@Seq_7056	EC:2.3.2.27
yHMPu5000034667_Blastobotrys_serpentis@Seq_5312	EC:3.5.4.1
Saccharomyces_cerevisiae@YNL229C	EC:1.11.1.9
yHMPu5000034660_Diddensiella_caesifluorescens@Seq_5911	EC:2.7.7.6
Saccharomyces_cerevisiae@YPL270W	EC:3.6.3.44
Saccharomyces_cerevisiae@YIL107C	EC:2.7.1.105
Saccharomyces_cerevisiae@YBR286W	EC:3.4.11.15
yHMPu5000035651_Torulaspora_microellipsoides@Seq_4349	EC:2.3.2.27
Ogataea_parapolymorpha@Seq_4381	EC:3.1.26.5
Geotrichum_candidum@Seq_4470	EC:3.6.4.12
yHAB147_Kazachstania_taianensis@Seq_3052	EC:3.1.26.5
Stagonospora_nodorum@Seq_4699	EC:3.4.19.12
yHMPu5000034754_Lipomyces_arxii@Seq_6891	EC:2.3.2.27
Nakaseomyces_bracarensis@Seq_2294	EC:2.7.11.1
Saccharomyces_cerevisiae@YDR069C	EC:3.4.19.12
Ascoidea_rubescens@Seq_2675	EC:6.3.4.19
Aspergillus_nidulans@Seq_933	EC:3.2.1.55
Coccidioides_immitis@Seq_8081	EC:2.7.11.1
Spathaspora_gorwiae@Seq_1207	EC:2.7.7.19
Saccharomyces_cerevisiae@YNL316C	EC:4.2.1.51
yHAB143_Kazachstania_siamensis@Seq_4816	EC:3.1.3.48
Saccharomyces_cerevisiae@YKL060C	EC:4.1.2.13
Candida_boidinii_JCM9604@Seq_3123	EC:2.2.1.2
Saccharomyces_cerevisiae@YMR223W	EC:3.4.19.12
Saitoella_complicata@Seq_4101	EC:1.1.1.21
Saitoella_complicata@Seq_4101	EC:1.1.1.2
yHMPu5000034918_Nakazawaea_holstii@Seq_1659	EC:1.11.1.15
Lachancea_waltii@Seq_3253	EC:2.7.11.1
Arthrobotrys_oligospora@Seq_7407	EC:3.4.14.5
Arthrobotrys_oligospora@Seq_1193	EC:3.2.1.4
Saccharomyces_cerevisiae@YNL183C	EC:2.7.11.1
