"ID"	"NAME"	"EQUATION"	"EC.NUMBER"	"GENE.ASSOCIATION"	"LOWER.BOUND"	"UPPER.BOUND"	"OBJECTIVE"	"COMPARTMENT"	"MIRIAM"	"SUBSYSTEM"	"REPLACEMENT.ID"	"NOTE"	"REFERENCE"	"CONFIDENCE.SCORE"
"RXN66-2"	"ethanol monooxygenase"	"ethanol[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => acetaldehyde[s] + Ox-NADPH-Hemoprotein-Reductases[s] + 2 H2O[s]"	"ec-code/1.14.14"	"Fusarium_graminearum@Seq_3909"	0	1000	NA	NA	""	"ethanol degradation III"	NA	NA	"pubmed/3304205"	2
"LIGNOSTILBENE-ALPHA-BETA-DIOXYGENASE-RXN"	"4,4'-dihydroxy-3,3'-dimethoxystilbene alphabeta-dioxygenase"	"4,4'-dihydroxy-3,3'-dimethoxystilbene[s] + oxygen[s] => 2 vanillin[s]"	"ec-code/1.13.11.43"	"Botrytis_cinerea@Seq_8682"	0	1000	NA	NA	"rhea/21341;kegg.reaction/R00043"	""	NA	NA	""	2
"RXN-16226"	"L-cystein oxidase (3-oxo-L-alanine-forming)"	"oxygen[s] + Sulfatase-L-cysteine[s] + 2 Thiols[s] => Disulfides[s] + hydrogen sulfide[s] + Protein-formylglycine[s] + H2O[s]"	"ec-code/1.8.3.7"	"Candida_versatilis@Seq_2109"	0	1000	NA	NA	""	""	NA	NA	""	2
"RXN-16217"	"pisatin demethylase"	"(+)-pisatin[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => (+)-6a-hydroxymaackiain[s] + formaldehyde[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]"	"ec-code/1.14.14"	"Stagonospora_nodorum@Seq_6162 or Aspergillus_nidulans@Seq_442"	0	1000	NA	NA	""	"pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)"	NA	NA	"pubmed/8076822"	2
"RXN-16216"	"medicarpin 1alpha-hydroxylase"	"(-)-medicarpin[s] + NADH-P-OR-NOP[s] + oxygen[s] + H+[s] => 1alpha-hydroxy-medicarpin[s] + NAD-P-OR-NOP[s] + H2O[s]"	"ec-code/1.14.13"	"Fusarium_graminearum@Seq_3888"	0	1000	NA	NA	""	"pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)"	NA	NA	"pubmed/11485199"	2
"RXN-16215"	"maackiain 1alpha-hydroxylase"	"(-)-maackiain[s] + NADH-P-OR-NOP[s] + oxygen[s] + H+[s] => 1alpha-hydroxy-maackiain[s] + NAD-P-OR-NOP[s] + H2O[s]"	"ec-code/1.14.13"	"Fusarium_graminearum@Seq_3888"	0	1000	NA	NA	""	"pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)"	NA	NA	"pubmed/8709942"	2
"L-XYLULOSE-REDUCTASE-RXN"	"L-xylulose reductase"	"NADP+[s] + xylitol[s] <=> L-xylulose[s] + NADPH[s] + H+[s]"	"ec-code/1.1.1.10"	"Arthrobotrys_oligospora@Seq_5310 or yHMPu5000026142_Citeromyces_matritensis@Seq_5255 or Arthrobotrys_oligospora@Seq_2650"	-1000	1000	NA	NA	"rhea/17028;kegg.reaction/R01904"	"L-arabinose degradation II;D-glucuronate degradation I"	NA	NA	""	2
"L-RHAMNOSE-1-DEHYDROGENASE-RXN"	"NAD+-dependent L-rhamnofuranose 1-dehydrogenase;(NAD+) L-rhamnofuranose 1-dehydrogenase"	"L-RHAMNOFURANOSE[s] + NAD+[s] <=> L-rhamnono-1,4-lactone[s] + NADH[s] + H+[s]"	"ec-code/1.1.1.173"	"Arthrobotrys_oligospora@Seq_5787 or Aspergillus_nidulans@Seq_2214 or yHMPu5000034605_Spencermartinsiella_europaea@Seq_4922 or yHMPu5000034605_Spencermartinsiella_europaea@Seq_3484"	-1000	1000	NA	NA	"rhea/12652;kegg.reaction/R03942"	"L-rhamnose degradation II;L-rhamnose degradation III"	NA	NA	""	2
"RXN-16148"	"oleate 12-hydroxylase;oleoyl-[lipid] 12-hydroxylase;oleoyl-lipid 12-hydroxylase"	"2 FERROCYTOCHROME-B5[s] + oxygen[s] + Oleoyl-lipid[s] + 2 H+[s] => CPD-17396[s] + 2 FERRICYTOCHROME-B5[s] + H2O[s]"	"ec-code/1.14.18.4"	"Sclerotinia_sclerotiorum@Seq_1922 or Ascoidea_asiatica@Seq_5152"	0	1000	NA	NA	""	"hydroxylated fatty acid biosynthesis (plants)"	NA	NA	""	2
"L-RHAMNONO-14-LACTONASE-RXN"	"L-rhamnono-gamma-lactonase"	"L-rhamnono-1,4-lactone[s] + H2O[s] => L-rhamnonate[s] + H+[s]"	"ec-code/3.1.1.65"	"yHMPu5000034918_Nakazawaea_holstii@Seq_2059 or Nakazawaea_peltata@Seq_3739 or yHMPu5000034660_Diddensiella_caesifluorescens@Seq_3003"	0	1000	NA	NA	"rhea/10289;kegg.reaction/R03772"	"L-rhamnose degradation II;L-rhamnose degradation III"	NA	NA	""	2
