"query_id"	"subject_id"	"perc_identity"	"num_ident_matches"	"alig_length"	"mismatches"	"gap_openings"	"n_gaps"	"pos_match"	"ppos"	"q_start"	"q_end"	"q_len"	"qcov"	"qcovhsp"	"s_start"	"s_end"	"s_len"	"evalue"	"bit_score"	"score_raw"
"1a0a.B"	"YFR034C"	98.39	61	62	1	0	0	61	98.39	2	63	63	98	98	251	312	313	4e-37	126	316
"1a3x.B"	"YAL038W"	97.4	487	500	0	2	13	487	97.4	1	487	487	100	100	1	500	501	0	964	2493
"1a4e.D"	"YDR256C"	100	488	488	0	0	0	488	100	1	488	488	100	100	15	502	516	0	1028	2658
"1a6r.A"	"YNL239W"	99.56	452	454	2	0	0	453	99.78	6	459	459	99	99	1	454	455	0	938	2424
"1ac5.A"	"YGL203C"	100	483	483	0	0	0	483	100	1	483	483	100	100	23	505	730	0	998	2580
"1afw.B"	"YIL160C"	100	393	393	0	0	0	393	100	1	393	393	100	100	25	417	418	0	800	2065
"1ajy.B"	"YKL015W"	100	70	70	0	0	0	70	100	2	71	71	99	99	31	100	980	1e-43	149	376
"1ap8.A"	"YOL139C"	100	213	213	0	0	0	213	100	1	213	213	100	100	1	213	214	3e-156	434	1115
"1asz.B"	"YLL018C"	100	490	490	0	0	0	490	100	1	490	490	100	100	68	557	558	0	1015	2624
"1ayz.C"	"YGL058W"	100	153	153	0	0	0	153	100	1	153	153	100	100	2	154	173	7e-113	319	818
"1b54.A"	"YBL036C"	94.65	230	243	0	2	13	230	94.65	1	230	230	100	100	4	246	258	9e-167	463	1191
"1c3g.A"	"YNL007C"	100	170	170	0	0	0	170	100	1	170	170	100	100	180	349	353	6e-121	347	891
"1ci0.A"	"YBR035C"	100	205	205	0	0	0	205	100	1	205	205	100	100	24	228	229	7e-152	423	1087
"1cof.A"	"YLL050C"	100	135	135	0	0	0	135	100	1	135	135	100	100	6	140	144	3e-96	275	704
"1cr5.A"	"YBR080C"	96.22	178	185	0	1	7	178	96.22	1	178	178	100	100	26	210	759	9e-125	370	951
"1d1q.A"	"YPR073C"	99.37	158	159	1	0	0	158	99.37	1	159	159	100	100	3	161	162	2e-116	328	842
"1d66.B"	"YPL248C"	100	57	57	0	0	0	57	100	1	57	57	100	100	8	64	882	1e-35	125	315
"1d8b.A"	"YMR190C"	100	81	81	0	0	0	81	100	1	81	81	100	100	1271	1351	1448	4e-50	169	428
"1d8i.C"	"YPL228W"	95.65	286	299	0	2	13	286	95.65	3	288	288	99	99	241	539	550	0	580	1496
"1dl2.A"	"YJR131W"	98.84	510	516	0	2	6	510	98.84	1	510	510	100	100	34	549	550	0	1050	2716
"1dp5.B"	"YMR174C"	100	29	29	0	0	0	29	100	1	29	31	94	94	2	30	69	4e-14	58.9	141
"1dpj.A"	"YPL154C"	99.09	326	329	0	1	3	326	99.09	1	326	326	100	100	77	405	406	0	664	1713
"1dqx.D"	"YEL021W"	98.88	264	267	3	0	0	266	99.63	1	267	267	100	100	1	267	268	0	543	1400
"1ee9.A"	"YKR080W"	100	317	317	0	0	0	317	100	1	317	317	100	100	3	319	321	0	653	1685
"1ejb.E"	"YOL143C"	100	168	168	0	0	0	168	100	1	168	168	100	100	2	169	170	3e-123	347	889
"1ek0.A"	"YOR089C"	98.82	168	170	0	2	2	168	98.82	1	168	168	100	100	5	174	211	9e-118	334	856
"1eq6.A"	"YJR074W"	100	189	189	0	0	0	189	100	1	189	189	100	100	30	218	219	2e-138	387	995
"1erj.C"	"YCR084C"	81.31	348	428	9	3	71	349	81.54	1	357	357	100	100	283	710	714	0	687	1774
