"Query.ID"	"Predicted.EC.number"
"yHMPu5000034667_Blastobotrys_serpentis@Seq_4791"	"1.6.5.3"
"Candida_versatilis@Seq_5346"	"3.1.1.1"
"Sclerotinia_sclerotiorum@Seq_13335"	"2.7.7.48"
"yHMPu5000041693_Debaryomyces_nepalensis@Seq_3752"	"2.7.1.191"
"Botrytis_cinerea@Seq_13668"	"1.10.3.2"
"Sclerotinia_sclerotiorum@Seq_3214"	"3.1.1.53"
"Candida_carpophila@Seq_2926"	"1.6.5.3"
"Candida_apicola@Seq_2135"	"1.11.1.21"
"yHMPu5000034667_Blastobotrys_serpentis@Seq_284"	"3.2.1.21"
"yHMPu5000034661_Dipodascus_albidus@Seq_3608"	"4.2.1.17"
"Spathaspora_girioi@Seq_5326"	"3.2.1.23"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_4491"	"1.6.5.3"
"Sclerotinia_sclerotiorum@Seq_11967"	"3.4.24.39"
"Lipomyces_starkeyi@Seq_4086"	"6.2.1.16"
"Fusarium_graminearum@Seq_9889"	"2.4.1.12"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_3527"	"1.6.5.3"
"Arthrobotrys_oligospora@Seq_411"	"3.2.1.8"
"yHMPu5000034999_Cephaloascus_fragrans@Seq_538"	"1.6.5.3"
"yHMPu5000034952_Citeromyces_siamensis@Seq_8509"	"2.1.1.98"
"Aspergillus_nidulans@Seq_6967"	"1.13.11.24"
"Aspergillus_nidulans@Seq_8276"	"3.2.1.4"
"Coccidioides_immitis@Seq_7329"	"5.1.1.1"
"yHMPu5000034635_Nadsonia_fulvescens@Seq_953"	"1.6.5.3"
"Aspergillus_nidulans@Seq_1422"	"3.2.1.99"
"Arthrobotrys_oligospora@Seq_9180"	"2.7.7.48"
"Debaryomyces_hansenii@Seq_542"	"3.2.1.52"
"Sclerotinia_sclerotiorum@Seq_9694"	"1.1.1.40"
"yHMPu5000035274_Wickerhamomyces_alni@Seq_2357"	"3.1.1.1"
"Stagonospora_nodorum@Seq_11472"	"3.4.11.5"
"Ambrosiozyma_monospora@Seq_6825"	"3.2.1.4"
"Stagonospora_nodorum@Seq_8425"	"3.2.1.4"
"Kluyveromyces_marxianus@Seq_3438"	"1.6.5.3"
"Aspergillus_nidulans@Seq_6958"	"3.2.1.18"
"Sclerotinia_sclerotiorum@Seq_13076"	"5.4.3.2"
"Xylona_heveae@Seq_1961"	"1.6.5.3"
"Metschnikowia_santaceciliae@Seq_5463"	"1.6.5.3"
"Lipomyces_starkeyi@Seq_1511"	"2.7.7.48"
"yHMPu5000034754_Lipomyces_arxii@Seq_4372"	"3.2.1.39"
"Neurospora_crassa@Seq_8162"	"2.1.1.79"
"yHMPu5000034760_Lipomyces_kononenkoae@Seq_6927"	"1.6.5.2"
"Nakaseomyces_delphensis@Seq_1267"	"1.6.5.3"
"yHMPu5000034606_Priceomyces_medius@Seq_444"	"3.2.1.17"
"Fusarium_graminearum@Seq_1817"	"3.2.1.17"
"yHMPu5000034674_Blastobotrys_muscicola@Seq_6239"	"3.2.1.17"
"Aspergillus_nidulans@Seq_1082"	"3.2.1.21"
"Botrytis_cinerea@Seq_16137"	"3.4.11.5"
"Wickerhamia_fluorescens@Seq_2673"	"3.11.1.1"
"Aspergillus_nidulans@Seq_8722"	"4.2.2.2"
"Metschnikowia_matae_maris@Seq_3761"	"1.6.5.3"
"Sclerotinia_sclerotiorum@Seq_1019"	"1.1.1.62"
"Sugiyamaella_lignohabitans@Seq_6204"	"1.2.1.24"
"Geotrichum_candidum@Seq_2298"	"6.2.1.26"
"Arxula_adeninivorans@Seq_4284"	"3.2.1.37"
"Neurospora_crassa@Seq_4609"	"1.11.1.7"
"yHMPu5000034671_Blastobotrys_peoriensis@Seq_3239"	"1.10.3.2"
"yHMPu5000034998_Cephaloascus_albidus@Seq_6450"	"1.6.5.3"
"Botrytis_cinerea@Seq_15477"	"3.1.1.74"
"Arxula_adeninivorans@Seq_5198"	"1.10.3.2"
"Arthrobotrys_oligospora@Seq_2283"	"3.2.2.22"
"Fusarium_graminearum@Seq_5209"	"3.1.1.32"
"Arthrobotrys_oligospora@Seq_9260"	"3.2.1.8"
"Wickerhamiella_domercqiae@Seq_4121"	"2.7.7.48"
"Arthrobotrys_oligospora@Seq_1429"	"6.3.2.13"
"Botrytis_cinerea@Seq_12871"	"3.2.1.39"
"Tetrapisispora_phaffii@Seq_1419"	"1.6.5.3"
"yHMPu5000034675_Blastobotrys_mokoenaii@Seq_5559"	"1.6.5.3"
"Sclerotinia_sclerotiorum@Seq_39"	"2.1.1.197"
"yHAB132_Kazachstania_martiniae@Seq_288"	"1.6.5.3"
"Sclerotinia_sclerotiorum@Seq_8569"	"3.2.1.21"
"yHMPu5000034605_Spencermartinsiella_europaea@Seq_6109"	"3.2.1.4"
"yHMPu5000041822_Dipodascus_geniculatus@Seq_4323"	"3.6.4.6"
"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_1079"	"2.7.7.48"
"yHMPu5000035046_Barnettozyma_populi@Seq_3049"	"1.1.1.263"
"Ogataea_methanolica@Seq_238"	"1.1.1.263"
"Debaryomyces_hansenii@Seq_5326"	"1.1.1.289"
"yHMPu5000034952_Citeromyces_siamensis@Seq_4262"	"1.2.1.47"
"yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_4803"	"1.2.1.82"
"yHMPu5000034673_Blastobotrys_nivea@Seq_8130"	"1.8.1.16"
