ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
LIGNOSTILBENE-ALPHA-BETA-DIOXYGENASE-RXN	4,4'-dihydroxy-3,3'-dimethoxystilbene alphabeta-dioxygenase	4,4'-dihydroxy-3,3'-dimethoxystilbene[s] + oxygen[s] => 2 vanillin[s]	ec-code/1.13.11.43	XP_001587035.1	0	1000			rhea/21341;kegg.reaction/R00043					2
RXN-1623	lysophosphatidate acyltransferase;acyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase;1-acyl-sn-glycerol-3-phosphate acyltransferase gamma;1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon;1-acyl-sn-glycerol-3-phosphate acyl transferase;1-acyl-sn-glycerol-3-phosphate acyltransferase delta;1-acyl-sn-glycerol-3-phosphate acyltransferase beta;1-acyl-sn-glycero-3-phosphate acyltransferase	ACYL-COA[s] + ACYL-SN-GLYCEROL-3P[s] => coenzyme A[s] + L-PHOSPHATIDATE[s]	ec-code/2.3.1.51	XP_001590116.1	0	1000			rhea/19710;kegg.reaction/R02241	diacylglycerol and triacylglycerol biosynthesis;CDP-diacylglycerol biosynthesis I				2
RXN-16217	pisatin demethylase	(+)-pisatin[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => (+)-6a-hydroxymaackiain[s] + formaldehyde[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]	ec-code/1.14.14	XP_001597563.1 or XP_001597853.1	0	1000				pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)			pubmed/8076822	2
LEUKOTRIENE-B4-20-MONOOXYGENASE-RXN	leukotriene B4 omega-hydroxylase	leukotriene B4[s] + oxygen[s] + Red-NADPH-Hemoprotein-Reductases[s] => 20-hydroxy-leukotriene B4[s] + Ox-NADPH-Hemoprotein-Reductases[s] + H2O[s]	ec-code/1.14.14.94	XP_001594731.1	0	1000			rhea/22177;kegg.reaction/R03866					2
LEUKOTRIENE-A4-HYDROLASE-RXN	leukotriene A-4 hydrolase	leukotriene A4[s] + H2O[s] => leukotriene B4[s]	ec-code/3.3.2.6	XP_001594084.1	0	1000			rhea/22325;kegg.reaction/R03057	leukotriene biosynthesis				2
LANOSTEROL-SYNTHASE-RXN	2,3-oxidosqualene-lanosterol cyclase;lanosterol synthase	(3S)-2,3-epoxy-2,3-dihydrosqualene[s] => lanosterol[s]	ec-code/5.4.99.7	XP_001597334.1	0	1000			rhea/14622;kegg.reaction/R03199	lanosterol biosynthesis				2
LACTALDDEHYDROG-RXN	lactaldehyde dehydrogenase;NAD+ L-lactaldehyde dehydrogenase	(S)-lactaldehyde[s] + NAD+[s] + H2O[s] => (S)-lactate[s] + NADH[s] + 2 H+[s]	ec-code/1.2.1.22	XP_001585496.1 or XP_001598693.1	0	1000			rhea/14278;kegg.reaction/R01446	L-rhamnose degradation II;methylglyoxal degradation V;lactate biosynthesis (archaea);L-lactaldehyde degradation (aerobic)				2
L-XYLULOSE-REDUCTASE-RXN	L-xylulose reductase	NADP+[s] + xylitol[s] <=> L-xylulose[s] + NADPH[s] + H+[s]	ec-code/1.1.1.10	XP_001597306.1	-1000	1000			rhea/17028;kegg.reaction/R01904	L-arabinose degradation II;D-glucuronate degradation I				2
RXN66-1	ethanol peroxidase	ethanol[s] + hydrogen peroxide[s] => acetaldehyde[s] + 2 H2O[s]	ec-code/1.11.1.6	XP_001589787.1	0	1000				ethanol degradation IV				2
L-RHAMNOSE-1-DEHYDROGENASE-RXN	NAD+-dependent L-rhamnofuranose 1-dehydrogenase;(NAD+) L-rhamnofuranose 1-dehydrogenase	L-RHAMNOFURANOSE[s] + NAD+[s] <=> L-rhamnono-1,4-lactone[s] + NADH[s] + H+[s]	ec-code/1.1.1.173	XP_001588779.1	-1000	1000			rhea/12652;kegg.reaction/R03942	L-rhamnose degradation II;L-rhamnose degradation III				2
RXN-16148	oleate 12-hydroxylase;oleoyl-[lipid] 12-hydroxylase;oleoyl-lipid 12-hydroxylase	2 FERROCYTOCHROME-B5[s] + oxygen[s] + Oleoyl-lipid[s] + 2 H+[s] => CPD-17396[s] + 2 FERRICYTOCHROME-B5[s] + H2O[s]	ec-code/1.14.18.4	XP_001595349.1	0	1000				hydroxylated fatty acid biosynthesis (plants)				2
L-RHAMNONO-14-LACTONASE-RXN	L-rhamnono-gamma-lactonase	L-rhamnono-1,4-lactone[s] + H2O[s] => L-rhamnonate[s] + H+[s]	ec-code/3.1.1.65	XP_001598892.1	0	1000			rhea/10289;kegg.reaction/R03772	L-rhamnose degradation II;L-rhamnose degradation III				2
L-RHAMNONATE-DEHYDRATASE-RXN	L-rhamnoate dehydratase;L-rhamnonate dehydratase	L-rhamnonate[s] => 2-dehydro-3-deoxy-L-rhamnonate[s] + H2O[s]	ec-code/4.2.1.90	XP_001588778.1	0	1000			rhea/23080;kegg.reaction/R03774	L-rhamnose degradation II;L-rhamnose degradation III				2
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	glutamine:fructose-6-phosphate amidotransferase;D-glucosamine-6-phosphate synthase;glutaminemdashfructose-6-phosphate transaminase;glucosamine:fructose-6-phosphate aminotransferase;L-glutaminemdashD-fructose-6-phosphate aminotransferase;glucosamine-fructose-6-phosphate aminotransferase	beta-D-fructofuranose 6-phosphate[s] + L-glutamine[s] <=> D-GLUCOSAMINE-6-P[s] + L-glutamate[s]	ec-code/2.6.1.16	XP_001594263.1	-1000	1000			rhea/13237;kegg.reaction/R00768	UDP-N-acetyl-D-galactosamine biosynthesis III;UDP-N-acetyl-D-glucosamine biosynthesis II;UDP-N-acetyl-D-glucosamine biosynthesis I;CMP-legionaminate biosynthesis I				2
RXN3O-9783	alpha-D-mannosyl-[protein] alpha-1,2 mannosyltransferase	GDP-alpha-D-mannose[s] + O-D-MANNOSYL-PROTEIN[s] => GDP[s] + Man-12-Man-Proteins[s] + H+[s]	ec-code/2.4.1	XP_001587449.1 or XP_001595561.1 or XP_001597547.1	0	1000				protein O-mannosylation I (yeast)				2
RXN3O-9782	ergosteryl-beta-D-glucosidase	ergosterol 3-O-beta-D-glucoside[s] + H2O[s] => ergosterol[s] + Glucopyranose[s]	ec-code/3.2.1.104	XP_001586838.1	0	1000								2
RXN3O-75	5-demethoxyubiquinol hydroxylase	6-methoxy-3-methyl-2-all-trans-hexaprenyl-1,4-benzoquinol[s] + Donor-H2[s] + oxygen[s] => 3-demethylubiquinol-6[s] + Acceptor[s] + H2O[s]	ec-code/1.14.99.60	XP_001593538.1	0	1000				ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic);ubiquinol-6 biosynthesis from 4-aminobenzoate (yeast);ubiquinol-6 bypass biosynthesis (eukaryotic)				2
RXN3O-680	mannosyl-inositol-phosphoceramide inositolphosphotransferase	L-1-phosphatidyl-inositols[s] + MIPC[s] => DIACYLGLYCEROL[s] + MIP2C[s]	ec-code/2.7.1	XP_001596172.1	0	1000				sphingolipid biosynthesis (yeast)				2
RXN3O-663	inositol phosphorylceramide mannosyltransferase	GDP-alpha-D-mannose[s] + IPC[s] => GDP[s] + MIPC[s] + H+[s]	ec-code/2.4.1	XP_001598346.1	0	1000				sphingolipid biosynthesis (yeast)				2
L-ARABINITOL-4-DEHYDROGENASE-RXN	L-arabitol dehydrogenase;L-arabinitol 4-dehydrogenase	L-arabinitol[s] + NAD+[s] <=> L-xylulose[s] + NADH[s] + H+[s]	ec-code/1.1.1.12	XP_001593037.1	-1000	1000			rhea/16384;kegg.reaction/R01903	L-arabinose degradation II				2
